Week ending,Deaths within 28 days of being reported as case,Deaths attributable to COVID-19
2020-02-23,0,0
2020-03-01,0,0
2020-03-08,0,0
2020-03-15,0,0
2020-03-22,0,0
2020-03-29,1,1
2020-04-05,0,0
2020-04-12,4,4
2020-04-19,7,7
2020-04-26,7,7
2020-05-03,1,1
2020-05-10,1,1
2020-05-17,0,1
2020-05-24,0,1
2020-05-31,0,0
2020-06-07,0,0
2020-06-14,0,0
2020-06-21,0,0
2020-06-28,0,0
2020-07-05,0,0
2020-07-12,0,0
2020-07-19,0,0
2020-07-26,0,0
2020-08-02,0,0
2020-08-09,0,0
2020-08-16,0,0
2020-08-23,0,0
2020-08-30,0,0
2020-09-06,2,2
2020-09-13,0,0
2020-09-20,1,1
2020-09-27,0,0
2020-10-04,0,0
2020-10-11,0,0
2020-10-18,0,0
2020-10-25,0,0
2020-11-01,0,0
2020-11-08,0,0
2020-11-15,0,0
2020-11-22,0,0
2020-11-29,0,0
2020-12-06,0,0
2020-12-13,0,0
2020-12-20,0,0
2020-12-27,0,0
2021-01-03,0,0
2021-01-10,0,0
2021-01-17,0,1
2021-01-24,0,0
2021-01-31,0,0
2021-02-07,0,0
2021-02-14,1,1
2021-02-21,0,0
2021-02-28,0,0
2021-03-07,0,0
2021-03-14,0,0
2021-03-21,0,0
2021-03-28,0,0
2021-04-04,0,0
2021-04-11,0,0
2021-04-18,0,0
2021-04-25,0,0
2021-05-02,0,0
2021-05-09,0,0
2021-05-16,0,0
2021-05-23,0,0
2021-05-30,0,0
2021-06-06,0,0
2021-06-13,0,0
2021-06-20,0,0
2021-06-27,0,0
2021-07-04,0,0
2021-07-11,0,0
2021-07-18,0,0
2021-07-25,0,0
2021-08-01,0,0
2021-08-08,0,0
2021-08-15,0,0
2021-08-22,0,0
2021-08-29,0,0
2021-09-05,1,1
2021-09-12,0,0
2021-09-19,0,0
2021-09-26,0,0
2021-10-03,0,0
2021-10-10,0,1
2021-10-17,0,0
2021-10-24,0,0
2021-10-31,0,0
2021-11-07,5,5
2021-11-14,3,2
2021-11-21,8,6
2021-11-28,4,4
2021-12-05,0,0
2021-12-12,3,2
2021-12-19,1,1
2021-12-26,1,1
2022-01-02,1,4
2022-01-09,1,2
2022-01-16,0,1
2022-01-23,0,0
2022-01-30,1,1
2022-02-06,0,0
2022-02-13,0,0
2022-02-20,3,2
2022-02-27,15,13
2022-03-06,21,21
2022-03-13,48,40
2022-03-20,89,76
2022-03-27,121,100
2022-04-03,117,102
2022-04-10,94,80
2022-04-17,104,89
2022-04-24,96,77
2022-05-01,81,62
2022-05-08,80,67
2022-05-15,76,61
2022-05-22,79,70
2022-05-29,84,67
2022-06-05,82,66
2022-06-12,79,64
2022-06-19,85,63
2022-06-26,92,78
2022-07-03,98,79
2022-07-10,124,97
2022-07-17,158,137
2022-07-24,184,141
2022-07-31,230,186
2022-08-07,163,125
2022-08-14,133,108
2022-08-21,107,80
2022-08-28,77,60
2022-09-04,74,56
2022-09-11,57,42
2022-09-18,43,20
2022-09-25,39,25
2022-10-02,34,18
2022-10-09,26,17
2022-10-16,28,17
2022-10-23,24,16
2022-10-30,26,16
2022-11-06,57,40
2022-11-13,47,38
2022-11-20,43,30
2022-11-27,46,38
2022-12-04,36,29
2022-12-11,46,36
2022-12-18,73,51
2022-12-25,73,55
2023-01-01,60,38
2023-01-08,70,52
2023-01-15,48,32
2023-01-22,55,37
2023-01-29,34,20
2023-02-05,31,26
2023-02-12,18,11
2023-02-19,20,13
2023-02-26,31,13
2023-03-05,17,13
2023-03-12,22,14
2023-03-19,24,19
2023-03-26,31,27
2023-04-02,19,12
2023-04-09,30,22
2023-04-16,29,24
2023-04-23,54,43
2023-04-30,37,31
2023-05-07,61,38
2023-05-14,49,41
2023-05-21,48,41
2023-05-28,36,23
2023-06-04,37,18
2023-06-11,44,24
2023-06-18,37,23
2023-06-25,35,24
2023-07-02,25,16
2023-07-09,24,12
2023-07-16,19,12
2023-07-23,20,12
2023-07-30,19,9
2023-08-06,24,9
2023-08-13,27,16
2023-08-20,19,9
2023-08-27,28,12
2023-09-03,24,10
2023-09-10,28,15
2023-09-17,32,22
2023-09-24,21,13
2023-10-01,22,8
2023-10-08,17,10
2023-10-15,27,17
2023-10-22,34,25
2023-10-29,36,21
2023-11-05,48,34
2023-11-12,26,17
2023-11-19,36,23
2023-11-26,36,17
2023-12-03,40,22
2023-12-10,33,16
2023-12-17,31,19
2023-12-24,37,18
2023-12-31,51,32
2024-01-07,42,22
2024-01-14,39,17
2024-01-21,46,22
2024-01-28,29,14
2024-02-04,31,11
2024-02-11,32,13
2024-02-18,29,9
2024-02-25,32,19
2024-03-03,33,23
2024-03-10,32,17
2024-03-17,19,11
2024-03-24,13,4
2024-03-31,13,5
2024-04-07,24,10
2024-04-14,33,17
2024-04-21,20,10
2024-04-28,23,15
2024-05-05,32,14
2024-05-12,17,9
2024-05-19,26,10
2024-05-26,36,24
2024-06-02,55,24
2024-06-09,47,22
2024-06-16,49,30
2024-06-23,57,30
2024-06-30,47,22
2024-07-07,52,34
2024-07-14,39,14
2024-07-21,42,21
2024-07-28,39,15
2024-08-04,36,20
2024-08-11,31,10
