Date, Cumulative vaccinations planned , Cumulative vaccinations administered , Cumulative stock received , Original cumulative vaccinations model 
21/02/2021,0,163,"65,520",
28/02/2021,"4,491","6,716","141,570",
07/03/2021,"14,420","15,625","207,090",
14/03/2021,"21,715","23,161","271,440",
21/03/2021,"35,595","36,602","325,260",
28/03/2021,"56,290","56,318","396,630",
04/04/2021,"84,595","84,867","450,450",
11/04/2021,"117,992","121,395","528,840",
18/04/2021,"164,107","171,055","607,230",
25/04/2021,"216,158","226,567","685,620",
02/05/2021,"273,749","284,689","685,620",
09/05/2021,"338,813","366,269","746,460",
16/05/2021,"414,824","450,923","807,300",
23/05/2021,"493,606","534,985","868,140",
30/05/2021,"581,932","636,912","928,980",
06/06/2021,"680,290","750,573","1,055,790",
13/06/2021,"793,013","853,285","1,103,760",
20/06/2021,"909,422","981,463","1,252,900",
27/06/2021,"1,033,848","1,114,442","1,302,040",
04/07/2021,"1,161,952","1,236,734","1,351,180","1,161,952"
11/07/2021,"1,289,999","1,366,099","1,502,110","1,369,338"
18/07/2021,"1,425,371","1,502,004","1,682,290","1,576,724"
25/07/2021,"1,633,071","1,691,125","2,032,290","1,750,577"
01/08/2021,"1,887,555","1,945,509","2,411,370","2,063,064"
08/08/2021,"2,164,231","2,210,210","2,769,390","2,375,551"
15/08/2021,"2,451,622","2,509,908","3,157,830","2,654,505"
22/08/2021,"2,754,616","2,793,548","3,602,430","2,932,955"
29/08/2021,"3,056,599","3,343,436","3,985,020","3,226,921"
05/09/2021,,"3,893,188","4,307,940","3,520,887"
12/09/2021,,,"4,630,860","3,814,853"
19/09/2021,,,,"4,348,809"
26/09/2021,,,,"4,882,765"
03/10/2021,,,,"5,416,721"
10/10/2021,,,,"5,950,677"
17/10/2021,,,,"6,484,633"
24/10/2021,,,,"7,018,589"
31/10/2021,,,,"7,552,545"
07/11/2021,,,,"7,707,286"
14/11/2021,,,,"7,862,027"
21/11/2021,,,,"8,016,768"
28/11/2021,,,,"8,016,768"
05/12/2021,,,,"8,016,768"
