DHB,,To 4 April,11-April,18-April,25-April,02-May,09-May,16-May,23-May,30-May,06-June,13-June,20-June,27-June,04-July,11-July,18-July,25-July,01-August,08-August,15-August,22-August,29-August,Cumulative
Auckland Metro,Plan,"41,641","15,049","16,900","19,300","21,750","26,836","30,222","33,817","42,031","45,945","49,975","51,375","52,475","50,675","50,675","55,850","63,005","68,882","74,382","79,882","82,882","85,716","1,059,265"
Auckland Metro,Actual,"41,750","15,067","16,433","17,268","19,490","26,820","26,160","27,793","34,227","39,477","38,803","49,776","54,806","49,402","51,569","61,292","69,574","91,383","82,681","96,042","79,984","159,504","1,149,301"
Auckland Metro,Variance,109,18,-467,"-2,032","-2,260",-16,"-4,062","-6,024","-7,804","-6,468","-11,172","-1,599","2,331","-1,273",894,"5,442","6,569","22,501","8,299","16,160","-2,898","73,788","90,036"
Bay of Plenty,Plan,"1,545",462,804,"1,214","2,088","2,346","3,018","2,778","4,530","5,400","6,594","6,264","6,204","6,204","6,204","6,204","9,540","12,472","13,860","15,250","15,250","15,250","143,481"
Bay of Plenty,Actual,"1,544",838,"1,288","2,057","2,535","4,714","4,594","5,275","7,418","7,499","6,215","7,514","7,747","6,083","6,177","5,930","8,021","9,610","9,988","13,317","11,275","20,038","149,677"
Bay of Plenty,Variance,-1,376,484,843,447,"2,368","1,576","2,497","2,888","2,099",-379,"1,250","1,543",-121,-27,-274,"-1,519","-2,862","-3,872","-1,933","-3,975","4,788","6,196"
Canterbury,Plan,"5,414","1,465","3,364","3,759","3,999","6,399","6,939","7,927","9,346","9,898","10,618","10,618","10,618","10,618","10,617","10,618","17,773","24,495","31,018","33,123","37,653","37,653","303,932"
Canterbury,Actual,"5,431","1,488","6,072","7,133","5,932","7,085","8,915","8,708","8,721","6,703","6,824","9,423","10,416","9,688","10,801","10,957","19,941","24,136","28,540","32,674","32,515","60,912","323,015"
Canterbury,Variance,17,23,"2,708","3,374","1,933",686,"1,976",781,-625,"-3,195","-3,794","-1,195",-202,-930,184,339,"2,168",-359,"-2,478",-449,"-5,138","23,259","19,083"
Capital & Coast and Hutt Valley,Plan,"6,988","4,298","4,728","4,318","4,298","3,978","4,008","7,126","4,599","4,560","7,299","4,869","4,056","7,299","7,297","7,297","24,729","24,729","28,491","28,491","28,491","28,491","250,440"
Capital & Coast and Hutt Valley,Actual,"7,005","4,436","4,789","5,081","5,813","8,600","7,848","4,746","6,526","6,978","5,164","6,007","5,267","5,305","6,867","6,336","14,400","23,830","28,696","33,811","32,784","67,472","297,761"
Capital & Coast and Hutt Valley,Variance,17,138,61,763,"1,515","4,622","3,840","-2,380","1,927","2,418","-2,135","1,138","1,211","-1,994",-430,-961,"-10,329",-899,205,"5,320","4,293","38,981","47,321"
Hawke's Bay,Plan,"1,217",553,989,700,"3,668","3,268","4,682","3,128","3,128","3,128","3,128","4,128","4,008","3,688","3,690","3,690","6,896","13,500","13,500","13,500","13,500","12,000","119,689"
Hawke's Bay,Actual,"1,221",595,"1,254","1,463","2,143","3,049","2,784","2,880","5,372","7,047","4,746","4,769","4,232","3,924","2,971","3,696","6,208","11,379","9,145","10,239","11,991","20,876","121,984"
Hawke's Bay,Variance,4,42,265,763,"-1,525",-219,"-1,898",-248,"2,244","3,919","1,618",641,224,236,-719,6,-688,"-2,121","-4,355","-3,261","-1,509","8,876","2,295"
Lakes,Plan,"1,330","1,400","1,680","1,680","1,680","1,680","1,680","1,680","3,500","3,500","3,500","3,990","4,830","4,830","3,340","4,550","5,760","5,770","6,000","6,200","6,050","6,049","80,679"
Lakes,Actual,"1,332",831,901,"1,616","1,648","2,121","2,482","2,540","3,147","3,807","3,783","3,797","4,488","3,842","3,649","4,188","5,223","4,828","5,073","5,298","4,111","7,766","76,471"
Lakes,Variance,2,-569,-779,-64,-32,441,802,860,-353,307,283,-193,-342,-988,309,-362,-537,-942,-927,-902,"-1,939","1,717","-4,208"
MidCentral,Plan,120,126,270,690,726,"1,163","1,705","2,437","2,448","2,580","3,487","8,075","7,985","7,940","7,940","7,940","7,140","12,720","12,720","11,220","11,220","8,190","118,842"
MidCentral,Actual,120,178,367,996,"1,245","2,272","3,083","3,142","3,998","4,086","3,925","7,151","7,020","6,883","8,178","8,298","8,950","9,264","9,588","9,130","9,065","18,425","125,364"
MidCentral,Variance,0,52,97,306,519,"1,109","1,378",705,"1,550","1,506",438,-924,-965,"-1,057",238,358,"1,810","-3,456","-3,132","-2,090","-2,155","10,235","6,522"
Nelson Marlborough,Plan,"4,789","1,160","1,800","2,000","2,100","2,260","2,305","2,160","2,235","2,420","2,400","2,100","3,050","3,750","3,750","3,750","8,400","12,800","12,800","12,800","13,400","12,800","115,029"
Nelson Marlborough,Actual,"4,831","2,892","2,420","3,826","3,440","4,273","4,598","3,970","4,323","4,429","4,410","4,925","4,168","4,601","4,997","4,050","7,562","10,278","10,087","10,889","11,229","25,218","141,416"
Nelson Marlborough,Variance,42,"1,732",620,"1,826","1,340","2,013","2,293","1,810","2,088","2,009","2,010","2,825","1,118",851,"1,247",300,-838,"-2,522","-2,713","-1,911","-2,171","12,418","26,387"
Northland,Plan,"1,080","1,627","4,730","2,575","4,295","4,000","3,285","3,170","2,000","4,100","3,085","2,350","4,000","5,000","5,000","5,500","6,000","6,500","7,000","7,500","8,000","8,500","99,297"
