DHB of residence,Ethnic group,Age group,Gender,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people
Auckland Metro,Asian,12-15,Female,9127,5152,9507,960,542
Auckland Metro,Asian,12-15,Male,9725,5380,10290,945,523
Auckland Metro,Asian,12-15,Unknown/Other,14,7,8,1750,875
Auckland Metro,Asian,16-19,Female,9051,6171,8658,1045,713
Auckland Metro,Asian,16-19,Male,9631,6311,8838,1090,714
Auckland Metro,Asian,16-19,Unknown/Other,85,58,20,4250,2900
Auckland Metro,Asian,20-24,Female,13189,9241,13119,1005,704
Auckland Metro,Asian,20-24,Male,14558,9234,13140,1108,703
Auckland Metro,Asian,20-24,Unknown/Other,161,94,26,6192,3615
Auckland Metro,Asian,25-29,Female,19489,14256,22261,875,640
Auckland Metro,Asian,25-29,Male,22069,15268,21122,1045,723
Auckland Metro,Asian,25-29,Unknown/Other,240,175,52,4615,3365
Auckland Metro,Asian,30-34,Female,25089,18621,27585,910,675
Auckland Metro,Asian,30-34,Male,25225,18672,24463,1031,763
Auckland Metro,Asian,30-34,Unknown/Other,244,187,58,4207,3224
Auckland Metro,Asian,35-39,Female,23950,18282,26042,920,702
Auckland Metro,Asian,35-39,Male,23670,18248,23286,1016,784
Auckland Metro,Asian,35-39,Unknown/Other,134,102,39,3436,2615
Auckland Metro,Asian,40-44,Female,17668,14303,17625,1002,812
Auckland Metro,Asian,40-44,Male,18001,14637,16424,1096,891
Auckland Metro,Asian,40-44,Unknown/Other,146,121,30,4867,4033
Auckland Metro,Asian,45-49,Female,13900,11510,14609,951,788
Auckland Metro,Asian,45-49,Male,13013,10976,12775,1019,859
Auckland Metro,Asian,45-49,Unknown/Other,106,87,18,5889,4833
Auckland Metro,Asian,50-54,Female,12532,10759,13152,953,818
Auckland Metro,Asian,50-54,Male,10655,9270,10867,980,853
Auckland Metro,Asian,50-54,Unknown/Other,66,55,7,9429,7857
Auckland Metro,Asian,55-59,Female,11357,10121,12473,911,811
Auckland Metro,Asian,55-59,Male,9962,8878,10448,953,850
Auckland Metro,Asian,55-59,Unknown/Other,29,25,16,1812,1562
