Date,Trained Vaccinator,Active Vaccinator
2021-02-28,584,136
2021-03-07,905,251
2021-03-14,1048,324
2021-03-21,1252,420
2021-03-28,1479,586
2021-04-04,1792,748
2021-04-11,2072,923
2021-04-18,2505,1154
2021-04-25,2895,1377
2021-05-02,3389,1563
2021-05-09,4448,1785
2021-05-16,5166,1993
2021-05-23,6110,2218
2021-05-30,6511,2457
2021-06-06,7141,2717
2021-06-13,7678,2937
2021-06-20,8107,3217
2021-06-27,8453,3430
2021-07-04,8622,3645
2021-07-11,8984,3836
2021-07-18,9389,3987
2021-07-25,9785,4268
2021-08-01,10214,4707
2021-08-08,10663,5197
2021-08-15,11005,5652
2021-08-22,11523,6015
2021-08-29,12461,6641
2021-09-05,13105,7247
2021-09-12,13557,7690
2021-09-19,13776,8098
2021-09-26,14094,8456
2021-10-03,14224,8675
2021-10-10,14387,8979
