Week ending,Group,DHB of residence,Dose number,# doses administered
2021-02-21,Group 1,Auckland,1,20
2021-02-21,Group 1,Counties Manukau,1,62
2021-02-21,Group 1,Waitemata,1,16
2021-02-21,Group 2,Auckland,1,13
2021-02-21,Group 2,Counties Manukau,1,21
2021-02-21,Group 2,Waitemata,1,21
2021-02-28,Group 1,Auckland,1,957
2021-02-28,Group 1,Bay of Plenty,1,22
2021-02-28,Group 1,Canterbury,1,587
2021-02-28,Group 1,Capital and Coast,1,103
2021-02-28,Group 1,Counties Manukau,1,1017
2021-02-28,Group 1,Hawkes Bay,1,10
2021-02-28,Group 1,Hutt Valley,1,22
2021-02-28,Group 1,Lakes,1,63
2021-02-28,Group 1,MidCentral,1,72
2021-02-28,Group 1,Nelson Marlborough,1,11
2021-02-28,Group 1,Northland,1,31
2021-02-28,Group 1,Southern,1,27
2021-02-28,Group 1,Tairawhiti,1,40
2021-02-28,Group 1,Taranaki,1,5
2021-02-28,Group 1,Waikato,1,194
2021-02-28,Group 1,Waitemata,1,769
2021-02-28,Group 1,Whanganui,1,10
2021-02-28,Group 2,Auckland,1,991
2021-02-28,Group 2,Bay of Plenty,1,8
2021-02-28,Group 2,Canterbury,1,67
2021-02-28,Group 2,Capital and Coast,1,43
2021-02-28,Group 2,Counties Manukau,1,710
2021-02-28,Group 2,Hawkes Bay,1,26
2021-02-28,Group 2,Hutt Valley,1,6
2021-02-28,Group 2,Lakes,1,11
2021-02-28,Group 2,MidCentral,1,12
2021-02-28,Group 2,Nelson Marlborough,1,6
2021-02-28,Group 2,Northland,1,7
2021-02-28,Group 2,Tairawhiti,1,37
2021-02-28,Group 2,Waikato,1,35
2021-02-28,Group 2,Waitemata,1,610
2021-02-28,Group 3,Waitemata,1,5
2021-03-07,Group 1,Auckland,1,846
2021-03-07,Group 1,Bay of Plenty,1,209
2021-03-07,Group 1,Canterbury,1,947
2021-03-07,Group 1,Capital and Coast,1,119
2021-03-07,Group 1,Counties Manukau,1,1136
2021-03-07,Group 1,Hawkes Bay,1,200
2021-03-07,Group 1,Hutt Valley,1,54
2021-03-07,Group 1,Lakes,1,172
2021-03-07,Group 1,MidCentral,1,79
2021-03-07,Group 1,Nelson Marlborough,1,349
2021-03-07,Group 1,Northland,1,164
2021-03-07,Group 1,South Canterbury,1,113
2021-03-07,Group 1,Southern,1,404
2021-03-07,Group 1,Tairawhiti,1,43
2021-03-07,Group 1,Taranaki,1,88
2021-03-07,Group 1,Waikato,1,271
2021-03-07,Group 1,Waitemata,1,717
2021-03-07,Group 1,Whanganui,1,7
2021-03-07,Group 2,Auckland,1,665
2021-03-07,Group 2,Bay of Plenty,1,33
2021-03-07,Group 2,Canterbury,1,119
2021-03-07,Group 2,Capital and Coast,1,15
2021-03-07,Group 2,Counties Manukau,1,499
2021-03-07,Group 2,Hawkes Bay,1,22
2021-03-07,Group 2,Hutt Valley,1,6
2021-03-07,Group 2,Lakes,1,52
2021-03-07,Group 2,Nelson Marlborough,1,66
2021-03-07,Group 2,Northland,1,9
2021-03-07,Group 2,South Canterbury,1,118
2021-03-07,Group 2,Southern,1,59
2021-03-07,Group 2,Tairawhiti,1,160
2021-03-07,Group 2,Taranaki,1,68
2021-03-07,Group 2,Waikato,1,766
2021-03-07,Group 2,Waitemata,1,319
2021-03-14,Group 1,Auckland,1,524
2021-03-14,Group 1,Bay of Plenty,1,242
2021-03-14,Group 1,Canterbury,1,857
2021-03-14,Group 1,Capital and Coast,1,61
2021-03-14,Group 1,Counties Manukau,1,1279
2021-03-14,Group 1,Hawkes Bay,1,120
2021-03-14,Group 1,Hutt Valley,1,28
2021-03-14,Group 1,Lakes,1,61
2021-03-14,Group 1,MidCentral,1,99
2021-03-14,Group 1,Nelson Marlborough,1,216
2021-03-14,Group 1,Northland,1,144
2021-03-14,Group 1,Southern,1,18
2021-03-14,Group 1,Taranaki,1,133
2021-03-14,Group 1,Waikato,1,176
2021-03-14,Group 1,Waitemata,1,450
2021-03-14,Group 1,Whanganui,1,7
2021-03-14,Group 2,Auckland,1,526
2021-03-14,Group 2,Bay of Plenty,1,33
2021-03-14,Group 2,Canterbury,1,135
2021-03-14,Group 2,Capital and Coast,1,39
2021-03-14,Group 2,Counties Manukau,1,531
2021-03-14,Group 2,Counties Manukau,2,6
2021-03-14,Group 2,Hawkes Bay,1,11
2021-03-14,Group 2,Hutt Valley,1,16
2021-03-14,Group 2,Lakes,1,36
2021-03-14,Group 2,MidCentral,1,70
2021-03-14,Group 2,Nelson Marlborough,1,164
2021-03-14,Group 2,Northland,1,13
2021-03-14,Group 2,South Canterbury,1,6
2021-03-14,Group 2,Southern,1,11
2021-03-14,Group 2,Taranaki,1,130
2021-03-14,Group 2,Waikato,1,606
2021-03-14,Group 2,Waitemata,1,753
2021-03-14,Group 2,Waitemata,2,7
2021-03-14,Group 2,Whanganui,1,5
2021-03-21,Group 1,Auckland,1,1088
2021-03-21,Group 1,Auckland,2,699
2021-03-21,Group 1,Bay of Plenty,1,231
2021-03-21,Group 1,Bay of Plenty,2,9
2021-03-21,Group 1,Canterbury,1,307
2021-03-21,Group 1,Canterbury,2,15
2021-03-21,Group 1,Capital and Coast,1,18
2021-03-21,Group 1,Capital and Coast,2,91
2021-03-21,Group 1,Counties Manukau,1,1179
2021-03-21,Group 1,Counties Manukau,2,727
2021-03-21,Group 1,Hawkes Bay,1,38
2021-03-21,Group 1,Hawkes Bay,2,6
2021-03-21,Group 1,Hutt Valley,1,42
2021-03-21,Group 1,Hutt Valley,2,15
2021-03-21,Group 1,Lakes,1,111
2021-03-21,Group 1,Lakes,2,27
2021-03-21,Group 1,MidCentral,1,68
2021-03-21,Group 1,Nelson Marlborough,1,59
2021-03-21,Group 1,Northland,1,66
2021-03-21,Group 1,Northland,2,5
2021-03-21,Group 1,South Canterbury,1,66
2021-03-21,Group 1,Southern,1,21
2021-03-21,Group 1,Southern,2,6
2021-03-21,Group 1,Tairawhiti,1,27
2021-03-21,Group 1,Tairawhiti,2,35
2021-03-21,Group 1,Taranaki,1,5
2021-03-21,Group 1,Waikato,1,128
2021-03-21,Group 1,Waikato,2,37
2021-03-21,Group 1,Waitemata,1,890
2021-03-21,Group 1,Waitemata,2,513
2021-03-21,Group 1,Whanganui,1,5
2021-03-21,Group 2,Auckland,1,291
2021-03-21,Group 2,Auckland,2,424
2021-03-21,Group 2,Bay of Plenty,1,58
2021-03-21,Group 2,Bay of Plenty,2,5
2021-03-21,Group 2,Canterbury,1,329
2021-03-21,Group 2,Canterbury,2,21
2021-03-21,Group 2,Capital and Coast,1,219
2021-03-21,Group 2,Capital and Coast,2,29
2021-03-21,Group 2,Counties Manukau,1,314
2021-03-21,Group 2,Counties Manukau,2,361
2021-03-21,Group 2,Hawkes Bay,1,66
