Date,First dose administered,Second dose administered
2021-02-18,1,0
2021-02-19,29,0
2021-02-20,65,0
2021-02-21,68,1
2021-02-22,447,0
2021-02-23,357,0
2021-02-24,812,0
2021-02-25,1100,0
2021-02-26,1604,0
2021-02-27,1340,0
2021-02-28,882,0
2021-03-01,1410,0
2021-03-02,1490,0
2021-03-03,1982,0
2021-03-04,1634,0
2021-03-05,1279,1
2021-03-06,602,1
2021-03-07,511,0
2021-03-08,1073,0
2021-03-09,1425,0
2021-03-10,1317,0
2021-03-11,1334,0
2021-03-12,1043,5
2021-03-13,750,5
2021-03-14,576,13
2021-03-15,1614,267
2021-03-16,1928,233
2021-03-17,1642,366
2021-03-18,1595,474
2021-03-19,1692,772
2021-03-20,558,715
2021-03-21,942,644
2021-03-22,1034,1216
2021-03-23,1587,1107
2021-03-24,1972,1585
2021-03-25,1822,1533
2021-03-26,3373,1290
2021-03-27,1155,873
2021-03-28,685,490
2021-03-29,3806,1124
2021-03-30,4169,1500
2021-03-31,5450,1344
2021-04-01,5201,1250
2021-04-02,1725,295
2021-04-03,1414,335
2021-04-04,759,196
2021-04-05,923,291
2021-04-06,3522,1438
2021-04-07,5120,2146
2021-04-08,6466,1766
2021-04-09,5420,1929
2021-04-10,3267,692
2021-04-11,2478,1081
2021-04-12,6046,1722
2021-04-13,6812,1625
2021-04-14,6626,1522
2021-04-15,6890,1843
2021-04-16,6859,2624
2021-04-17,3903,1143
2021-04-18,1480,587
2021-04-19,5094,2037
2021-04-20,6098,2988
2021-04-21,6753,3427
2021-04-22,6534,3874
2021-04-23,8140,3545
2021-04-24,3274,1382
2021-04-25,1472,908
2021-04-26,1390,862
2021-04-27,6802,3208
2021-04-28,7302,3664
2021-04-29,7527,4955
2021-04-30,8378,5026
2021-05-01,3491,1991
2021-05-02,1621,1918
2021-05-03,6251,4486
2021-05-04,8334,5300
2021-05-05,9203,5558
2021-05-06,9198,5828
2021-05-07,10141,6735
2021-05-08,4391,2850
2021-05-09,1729,1615
2021-05-10,6878,5116
2021-05-11,9226,5895
2021-05-12,9521,5767
2021-05-13,9782,5999
2021-05-14,8957,7113
2021-05-15,3419,2814
2021-05-16,2405,1805
2021-05-17,7301,3753
2021-05-18,9280,5507
2021-05-19,9055,6394
2021-05-20,8736,6741
2021-05-21,8270,7295
2021-05-22,4401,3566
2021-05-23,2265,1541
2021-05-24,7234,5754
2021-05-25,9837,7465
2021-05-26,10955,7758
2021-05-27,9867,7004
2021-05-28,10833,9858
2021-05-29,5941,4294
2021-05-30,3324,1880
2021-05-31,8908,5563
2021-06-01,12020,7903
2021-06-02,12553,8411
2021-06-03,14157,9016
2021-06-04,12102,8348
2021-06-05,6204,3348
2021-06-06,3535,1680
2021-06-07,3938,1370
2021-06-08,13096,8754
2021-06-09,7113,4313
2021-06-10,13946,9461
2021-06-11,11982,9578
2021-06-12,7454,4488
2021-06-13,4407,2897
2021-06-14,10364,7556
2021-06-15,13083,9148
2021-06-16,14401,10017
2021-06-17,12993,10297
2021-06-18,11354,9460
2021-06-19,7383,4896
2021-06-20,3967,3344
2021-06-21,9068,8440
2021-06-22,11451,11282
2021-06-23,13123,11876
2021-06-24,11445,12989
2021-06-25,10030,11704
2021-06-26,8356,6276
2021-06-27,3591,3441
2021-06-28,9928,6455
2021-06-29,10938,10027
2021-06-30,12948,9937
2021-07-01,13110,9844
2021-07-02,9770,10310
2021-07-03,7388,5322
2021-07-04,3493,2918
2021-07-05,7785,7963
2021-07-06,9597,11326
2021-07-07,11286,11861
2021-07-08,12717,11894
2021-07-09,11088,10514
2021-07-10,9330,6475
2021-07-11,4395,3239
2021-07-12,9585,8158
2021-07-13,12070,10479
2021-07-14,13422,11442
2021-07-15,12869,10899
2021-07-16,11941,9910
2021-07-17,9457,7071
2021-07-18,5639,3070
2021-07-19,13158,9181
2021-07-20,18768,11916
2021-07-21,20813,13174
2021-07-22,19842,12508
2021-07-23,19771,11287
2021-07-24,17108,7724
2021-07-25,9054,4924
2021-07-26,20558,9968
2021-07-27,27611,11364
2021-07-28,29422,12145
2021-07-29,28234,11972
2021-07-30,31504,10622
2021-07-31,29532,9047
2021-08-01,17980,4666
2021-08-02,25703,9431
2021-08-03,30311,12520
2021-08-04,32565,12913
2021-08-05,29298,12992
