dhb_of_service_grp,type,To 4 April,11-April,18-April,25-April,02-May,09-May,16-May,23-May,30-May,06-June,13-June,20-June,27-June,04-July,11-July,18-July,25-July,01-August,08-August,15-August,22-August,29-August,Cumulative
Auckland Metro,plan,41641,15049,16900,19300,21750,26836,30222,33817,42031,45945,49975,51375,52475,50675,50675,55850,63005,68882,74382,79882,82882,85716,1059265
Auckland Metro,actual,41773,15068,16437,17265,19495,26831,26168,27799,34244,39497,38818,49788,54824,49429,51578,61316,69604,91468,82753,96144,80112,159890,1150301
Auckland Metro,variance,132,19,-463,-2035,-2255,-5,-4054,-6018,-7787,-6448,-11157,-1587,2349,-1246,903,5466,6599,22586,8371,16262,-2770,74174,91036
Bay of Plenty,plan,1545,462,804,1214,2088,2346,3018,2778,4530,5400,6594,6264,6204,6204,6204,6204,9540,12472,13860,15250,15250,15250,143481
Bay of Plenty,actual,1547,839,1291,2057,2535,4718,4597,5279,7456,7503,6216,7521,7752,6085,6192,5968,8031,9616,10000,13371,11310,20196,150080
Bay of Plenty,variance,2,377,487,843,447,2372,1579,2501,2926,2103,-378,1257,1548,-119,-12,-236,-1509,-2856,-3860,-1879,-3940,4946,6599
Canterbury,plan,5414,1465,3364,3759,3999,6399,6939,7927,9346,9898,10618,10618,10618,10618,10617,10618,17773,24495,31018,33123,37653,37653,303932
Canterbury,actual,5433,1488,6075,7137,5933,7093,8923,8716,8725,6703,6827,9425,10418,9701,10807,10959,19946,24141,28552,32695,32561,61293,323551
Canterbury,variance,19,23,2711,3378,1934,694,1984,789,-621,-3195,-3791,-1193,-200,-917,190,341,2173,-354,-2466,-428,-5092,23640,19619
Capital & Coast and Hutt Valley,plan,6988,4298,4728,4318,4298,3978,4008,7126,4599,4560,7299,4869,4056,7299,7297,7297,24729,24729,28491,28491,28491,28491,250440
Capital & Coast and Hutt Valley,actual,7008,4441,4792,5086,5822,8603,7855,4751,6530,6981,5167,6009,5269,5306,6868,6336,14405,23841,28725,33844,32951,67764,298354
Capital & Coast and Hutt Valley,variance,20,143,64,768,1524,4625,3847,-2375,1931,2421,-2132,1140,1213,-1993,-429,-961,-10324,-888,234,5353,4460,39273,47914
Hawke's Bay,plan,1217,553,989,700,3668,3268,4682,3128,3128,3128,3128,4128,4008,3688,3690,3690,6896,13500,13500,13500,13500,12000,119689
Hawke's Bay,actual,1223,595,1256,1465,2143,3049,2787,2881,5372,7048,4750,4772,4232,3925,2974,3698,6209,11381,9152,10246,12022,20930,122110
Hawke's Bay,variance,6,42,267,765,-1525,-219,-1895,-247,2244,3920,1622,644,224,237,-716,8,-687,-2119,-4348,-3254,-1478,8930,2421
Lakes,plan,1330,1400,1680,1680,1680,1680,1680,1680,3500,3500,3500,3990,4830,4830,3340,4550,5760,5770,6000,6200,6050,6049,80679
Lakes,actual,1332,831,902,1620,1649,2124,2488,2540,3150,3808,3785,3799,4491,3843,3648,4188,5229,4830,5075,5311,4121,7797,76561
Lakes,variance,2,-569,-778,-60,-31,444,808,860,-350,308,285,-191,-339,-987,308,-362,-531,-940,-925,-889,-1929,1748,-4118
MidCentral,plan,120,126,270,690,726,1163,1705,2437,2448,2580,3487,8075,7985,7940,7940,7940,7140,12720,12720,11220,11220,8190,118842
MidCentral,actual,120,178,367,997,1247,2273,3089,3145,4006,4116,3946,7158,7022,6903,8188,8301,8961,9275,9605,9167,9110,18519,125693
MidCentral,variance,0,52,97,307,521,1110,1384,708,1558,1536,459,-917,-963,-1037,248,361,1821,-3445,-3115,-2053,-2110,10329,6851
Nelson Marlborough,plan,4789,1160,1800,2000,2100,2260,2305,2160,2235,2420,2400,2100,3050,3750,3750,3750,8400,12800,12800,12800,13400,12800,115029
