Territorial Authority,Population,First Dose,Second Dose,% First Dose,% Second Dose
Ashburton District,"27,424","25,641","23,146",93%,84%
Auckland,"1,383,804","1,285,552","1,207,035",93%,87%
Buller District,"8,272","7,088","6,203",86%,75%
Carterton District,"8,259","7,599","6,833",92%,83%
Central Hawke's Bay District,"11,838","10,661","9,580",90%,81%
Central Otago District,"19,636","18,298","17,001",93%,87%
Chatham Islands Territory,180,222,212,123%,118%
Christchurch City,"322,365","306,035","277,819",95%,86%
Clutha District,"14,979","13,267","11,788",89%,79%
Dunedin City,"110,495","105,323","98,303",95%,89%
Far North District,"56,422","45,819","39,841",81%,71%
Gisborne District,"40,638","34,561","29,924",85%,74%
Gore District,"10,754","9,416","8,476",88%,79%
Grey District,"11,412","9,985","8,840",87%,77%
Hamilton City,"137,530","128,242","117,288",93%,85%
Hastings District,"69,386","62,357","55,464",90%,80%
Hauraki District,"17,324","14,524","13,014",84%,75%
Horowhenua District,"28,824","25,253","22,492",88%,78%
Hurunui District,"10,818","9,675","8,773",89%,81%
Invercargill City,"45,988","41,131","37,120",89%,81%
Kaikoura District,"3,473","2,947","2,690",85%,77%
Kaipara District,"20,198","16,694","14,719",83%,73%
Kapiti Coast District,"47,238","42,922","39,784",91%,84%
Kawerau District,"6,115","4,766","3,936",78%,64%
Lower Hutt City,"90,426","82,610","76,008",91%,84%
Mackenzie District,"4,141","3,664","3,269",88%,79%
Manawatu District,"25,555","23,490","21,223",92%,83%
Marlborough District,"41,136","38,362","35,264",93%,86%
Masterton District,"22,673","20,536","18,096",91%,80%
Matamata-Piako District,"29,220","26,008","23,558",89%,81%
Napier City,"54,392","48,774","43,887",90%,81%
Nelson City,"44,843","40,595","37,123",91%,83%
New Plymouth District,"68,211","60,656","54,337",89%,80%
Opotiki District,"7,289","5,806","5,016",80%,69%
Otorohanga District,"7,960","6,758","5,960",85%,75%
Palmerston North City,"70,542","65,407","59,568",93%,84%
Porirua City,"47,711","43,247","39,187",91%,82%
Queenstown-Lakes District,"35,862","36,113","33,132",101%,92%
Rangitikei District,"12,700","10,990","9,951",87%,78%
Rotorua District,"58,120","50,479","44,583",87%,77%
Ruapehu District,"9,938","7,975","6,921",80%,70%
Selwyn District,"53,318","53,850","49,252",101%,92%
South Taranaki District,"20,389","17,715","15,660",87%,77%
South Waikato District,"19,634","16,441","14,066",84%,72%
South Wairarapa District,"9,607","8,942","8,153",93%,85%
Southland District,"25,076","21,675","19,169",86%,76%
Stratford District,"7,523","6,455","5,731",86%,76%
Tararua District,"15,008","12,926","11,410",86%,76%
Tasman District,"45,613","40,270","36,551",88%,80%
Taupo District,"32,192","28,023","24,971",87%,78%
Tauranga City,"121,638","110,669","99,464",91%,82%
Thames-Coromandel District,"26,266","22,955","20,993",87%,80%
Timaru District,"41,101","37,102","34,108",90%,83%
Unknown,"127,342","114,024","99,938",90%,78%
Upper Hutt City,"36,899","34,480","31,588",93%,86%
Waikato District,"63,219","56,910","51,742",90%,82%
Waimakariri District,"52,773","48,324","43,458",92%,82%
Waimate District,"6,937","6,129","5,511",88%,79%
Waipa District,"46,645","43,114","39,921",92%,86%
Wairoa District,"6,304","5,172","4,564",82%,72%
Waitaki District,"19,323","17,139","15,589",89%,81%
Waitomo District,"7,762","6,591","5,781",85%,74%
Wellington City,"178,565","171,773","162,961",96%,91%
Western Bay of Plenty District,"45,702","40,714","36,533",89%,80%
Westland District,"7,100","6,266","5,571",88%,78%
Whakatane District,"30,432","24,336","21,182",80%,70%
Whanganui District,"39,902","34,032","30,513",85%,76%
Whangarei District,"78,696","68,116","60,905",87%,77%
Grand Total,"4,209,057","3,853,591","3,532,649",92%,84%
