Date,First doses,Second doses,Third primary doses,Boosters
2021-02-14,1,0,0,0
2021-02-18,1,0,0,0
2021-02-19,29,0,0,0
2021-02-20,65,0,0,0
2021-02-21,68,1,0,0
2021-02-22,447,0,0,0
2021-02-23,358,0,0,0
2021-02-24,812,0,0,0
2021-02-25,1101,0,0,0
2021-02-26,1604,0,0,0
2021-02-27,1339,0,0,0
2021-02-28,882,0,0,0
2021-03-01,1412,0,0,0
2021-03-02,1490,0,0,0
2021-03-03,1981,0,0,0
2021-03-04,1634,0,0,0
2021-03-05,1280,1,0,0
2021-03-06,602,1,0,0
2021-03-07,511,0,0,0
2021-03-08,1073,0,0,0
2021-03-09,1426,0,0,0
2021-03-10,1317,0,0,0
2021-03-11,1335,0,0,0
2021-03-12,1043,6,0,0
2021-03-13,750,6,0,0
2021-03-14,576,13,0,0
2021-03-15,1614,267,0,0
2021-03-16,1928,233,0,0
2021-03-17,1641,366,0,0
2021-03-18,1595,474,0,0
2021-03-19,1693,772,0,0
2021-03-20,557,715,0,0
2021-03-21,942,645,0,0
2021-03-22,1035,1220,0,0
2021-03-23,1587,1108,0,0
2021-03-24,1970,1585,0,0
2021-03-25,1822,1532,0,0
2021-03-26,3377,1290,0,0
2021-03-27,1158,873,0,0
2021-03-28,685,491,0,0
2021-03-29,3809,1127,0,0
2021-03-30,4170,1500,0,0
2021-03-31,5452,1347,0,0
2021-04-01,5205,1254,0,0
2021-04-02,1725,295,0,0
2021-04-03,1415,335,0,0
2021-04-04,760,196,0,0
2021-04-05,922,291,0,0
2021-04-06,3522,1440,0,0
2021-04-07,5125,2146,0,0
2021-04-08,6466,1766,0,0
2021-04-09,5423,1929,0,0
2021-04-10,3267,692,0,0
2021-04-11,2478,1081,0,0
2021-04-12,6047,1724,0,0
2021-04-13,6814,1625,0,0
2021-04-14,6627,1522,0,0
2021-04-15,6893,1843,0,0
2021-04-16,6870,2628,0,0
2021-04-17,3906,1144,0,0
2021-04-18,1480,591,0,0
2021-04-19,5095,2038,0,0
2021-04-20,6098,2988,0,0
2021-04-21,6759,3429,0,0
2021-04-22,6537,3877,0,0
2021-04-23,8146,3544,0,0
2021-04-24,3274,1382,0,0
2021-04-25,1471,909,0,0
2021-04-26,1390,862,0,0
2021-04-27,6799,3212,0,0
2021-04-28,7299,3668,0,0
2021-04-29,7528,4956,0,0
2021-04-30,8375,5029,0,0
2021-05-01,3492,1992,0,0
2021-05-02,1622,1920,0,0
2021-05-03,6251,4487,0,0
2021-05-04,8337,5303,0,0
2021-05-05,9207,5560,0,0
2021-05-06,9201,5830,0,0
2021-05-07,10138,6752,0,0
2021-05-08,4393,2854,0,0
2021-05-09,1729,1615,0,0
2021-05-10,6877,5117,0,0
2021-05-11,9229,5897,0,0
2021-05-12,9524,5769,0,0
2021-05-13,9781,6010,0,0
2021-05-14,8958,7118,0,0
2021-05-15,3418,2815,0,0
2021-05-16,2408,1805,0,0
2021-05-17,7301,3757,0,0
2021-05-18,9281,5511,0,0
2021-05-19,9059,6397,0,0
2021-05-20,8736,6746,0,0
2021-05-21,8271,7296,0,0
2021-05-22,4402,3567,0,0
2021-05-23,2265,1541,0,0
2021-05-24,7232,5763,0,0
2021-05-25,9838,7466,0,0
2021-05-26,10958,7763,0,0
2021-05-27,9865,7021,1,0
2021-05-28,10830,9867,0,0
2021-05-29,5942,4294,0,0
2021-05-30,3325,1881,0,0
2021-05-31,8909,5562,0,1
2021-06-01,12024,7909,2,0
2021-06-02,12555,8411,0,0
2021-06-03,14153,9020,0,0
2021-06-04,12101,8354,0,0
2021-06-05,6205,3349,0,0
2021-06-06,3535,1682,0,0
2021-06-07,3940,1370,0,0
2021-06-08,13095,8758,1,0
2021-06-09,7114,4317,0,0
2021-06-10,13951,9464,0,0
2021-06-11,11987,9579,0,0
2021-06-12,7453,4490,0,0
2021-06-13,4407,2898,0,0
2021-06-14,10362,7558,0,0
2021-06-15,13082,9154,0,0
2021-06-16,14402,10022,0,0
2021-06-17,12994,10302,0,0
2021-06-18,11357,9464,0,0
2021-06-19,7381,4897,0,0
2021-06-20,3969,3344,0,0
2021-06-21,9071,8444,0,0
2021-06-22,11451,11284,0,0
2021-06-23,13122,11884,0,0
2021-06-24,11446,12991,0,0
2021-06-25,10028,11709,0,0
2021-06-26,8354,6283,0,0
