SA2 CODE 2018,SA2 2018,DHB, POPULATION , FIRST DOSE , SECOND DOSE , FIRST DOSE UPTAKE , SECOND DOSE UPTAKE 
100100,North Cape,Northland,1459,1304,1194, 894 , 818 
100200,Rangaunu Harbour,Northland,1877,1525,1339, 812 , 713 
100400,Karikari Peninsula,Northland,1263,1075,936, 851 , 741 
100500,Tangonge,Northland,950,802,732, 844 , 771 
100600,Ahipara,Northland,1045,853,748, 816 , 716 
100700,Kaitaia East,Northland,1985,1631,1309, 822 , 659 
100800,Kaitaia West,Northland,2939,2387,1953, 812 , 665 
100900,Rangitihi,Northland,755,637,550, 844 , 728 
101000,Oruru-Parapara,Northland,778,615,518, 790 , 666 
101100,Taumarumaru,Northland,2106,1923,1747, 913 , 830 
101200,Herekino-Takahue,Northland,833,646,546, 776 , 655 
101300,Peria,Northland,1014,729,628, 719 , 619 
101400,Taemaro-Oruaiti,Northland,793,659,593, 831 , 748 
101500,Whakapaku,Northland,652,466,416, 715 , 638 
101600,Hokianga North,Northland,720,599,533, 832 , 740 
101700,Kohukohu-Broadwood,Northland,652,547,486, 839 , 745 
101800,Whakarara,Northland,1033,903,812, 874 , 786 
101900,Kaeo,Northland,982,750,669, 764 , 681 
102000,Omahuta Forest-Horeke,Northland,911,665,560, 730 , 615 
102100,Hokianga South,Northland,1090,794,680, 728 , 624 
102200,Lake Manuwai-Kapiro,Northland,1959,1711,1567, 873 , 800 
102300,Okaihau,Northland,957,809,720, 845 , 752 
102400,Rangitane-Purerua,Northland,1239,1047,954, 845 , 770 
102500,Waipapa,Northland,674,596,537, 884 , 797 
102600,Puketotara,Northland,1531,1369,1267, 894 , 828 
102700,Waima Forest,Northland,936,680,542, 726 , 579 
102800,Riverview,Northland,1851,Masked,1681, >950 , 908 
102900,Waipoua Forest,Northland,1032,798,691, 773 , 670 
103000,Kerikeri Central,Northland,2280,2081,1917, 913 , 841 
103100,Kerikeri South,Northland,2378,2212,2089, 930 , 878 
103200,Ohaeawai-Waimate North,Northland,1046,888,803, 849 , 768 
103300,Puketona-Waitangi,Northland,1223,1060,988, 867 , 808 
103400,Ngapuhi,Northland,1197,957,820, 799 , 685 
103500,Kaikohe,Northland,3575,2655,2232, 743 , 624 
103600,Pakaraka,Northland,533,456,394, 856 , 739 
103700,Haruru,Northland,951,834,784, 877 , 824 
103800,Russell,Northland,771,689,666, 894 , 864 
103900,Paihia,Northland,1462,1287,1191, 880 , 815 
104000,Mataraua Forest,Northland,459,343,284, 747 , 619 
104100,Matawaia-Taumarere,Northland,1184,917,765, 774 , 646 
104200,Russell Peninsula,Northland,566,508,482, 898 , 852 
104300,Opua (Far North District),Northland,1092,1004,939, 919 , 860 
104400,Russell Forest-Rawhiti,Northland,604,495,457, 820 , 757 
104500,Moerewa,Northland,1339,1046,894, 781 , 668 
104600,Kawakawa,Northland,1173,983,860, 838 , 733 
