SA2 CODE 2018,SA2 2018,DHB,ETHNICITY, POPULATION , FIRST DOSE , SECOND DOSE , FIRST DOSE UPTAKE , SECOND DOSE UPTAKE 
100100,North Cape,Northland,Maori,804,729,648, 907 , 806 
100200,Rangaunu Harbour,Northland,Maori,980,785,666, 801 , 680 
100400,Karikari Peninsula,Northland,Maori,495,383,291, 774 , 588 
100500,Tangonge,Northland,Maori,536,437,388, 815 , 724 
100600,Ahipara,Northland,Maori,579,456,385, 788 , 665 
100700,Kaitaia East,Northland,Maori,1297,1023,759, 789 , 585 
100700,Kaitaia East,Northland,Pacific Peoples,45,Masked,36, >950 , 800 
100800,Kaitaia West,Northland,Maori,1855,1461,1109, 788 , 598 
100800,Kaitaia West,Northland,Pacific Peoples,96,89,77, 927 , 802 
100900,Rangitihi,Northland,Maori,360,285,233, 792 , 647 
101000,Oruru-Parapara,Northland,Maori,292,232,175, 795 , 599 
101100,Taumarumaru,Northland,Maori,540,460,380, 852 , 704 
101200,Herekino-Takahue,Northland,Maori,401,311,244, 776 , 608 
101300,Peria,Northland,Maori,338,251,199, 743 , 589 
101400,Taemaro-Oruaiti,Northland,Maori,275,205,170, 745 , 618 
101500,Whakapaku,Northland,Maori,265,190,158, 717 , 596 
101600,Hokianga North,Northland,Maori,604,506,447, 838 , 740 
101700,Kohukohu-Broadwood,Northland,Maori,356,277,230, 778 , 646 
101800,Whakarara,Northland,Maori,500,449,386, 898 , 772 
101900,Kaeo,Northland,Maori,417,307,259, 736 , 621 
102000,Omahuta Forest-Horeke,Northland,Maori,584,397,319, 680 , 546 
102100,Hokianga South,Northland,Maori,648,463,371, 715 , 573 
102200,Lake Manuwai-Kapiro,Northland,Maori,239,181,149, 757 , 623 
102300,Okaihau,Northland,Maori,294,229,189, 779 , 643 
102400,Rangitane-Purerua,Northland,Maori,327,260,218, 795 , 667 
102500,Waipapa,Northland,Maori,118,90,67, 763 , 568 
102600,Puketotara,Northland,Maori,208,185,168, 889 , 808 
102700,Waima Forest,Northland,Maori,755,527,407, 698 , 539 
102800,Riverview,Northland,Maori,215,195,162, 907 , 753 
102900,Waipoua Forest,Northland,Maori,565,448,374, 793 , 662 
103000,Kerikeri Central,Northland,Maori,442,352,293, 796 , 663 
103000,Kerikeri Central,Northland,Pacific Peoples,59,Masked,Masked, >950 , >950 
103100,Kerikeri South,Northland,Maori,233,182,156, 781 , 670 
103200,Ohaeawai-Waimate North,Northland,Maori,403,334,291, 829 , 722 
103300,Puketona-Waitangi,Northland,Maori,255,225,203, 882 , 796 
103400,Ngapuhi,Northland,Maori,895,681,565, 761 , 631 
103500,Kaikohe,Northland,Maori,2772,1944,1567, 701 , 565 
103500,Kaikohe,Northland,Pacific Peoples,98,79,63, 806 , 643 
103600,Pakaraka,Northland,Maori,139,120,93, 863 , 669 
103700,Haruru,Northland,Maori,200,171,152, 855 , 760 
103800,Russell,Northland,Maori,146,121,116, 829 , 795 
103900,Paihia,Northland,Maori,465,366,305, 787 , 656 
104000,Mataraua Forest,Northland,Maori,344,243,193, 706 , 561 
104100,Matawaia-Taumarere,Northland,Maori,763,563,444, 738 , 582 
104200,Russell Peninsula,Northland,Maori,68,53,47, 779 , 691 
104300,Opua (Far North District),Northland,Maori,168,134,109, 798 , 649 
104400,Russell Forest-Rawhiti,Northland,Maori,380,295,266, 776 , 700 
