Vaccine,Dose number,Ethnic group,Number of doses administered
Pfizer BioNTech COVID-19,1,Pacific Peoples,268460
Pfizer BioNTech COVID-19,Third primary,Unknown,242
AstraZeneca,1,Unknown,34
Pfizer BioNTech COVID-19,1,Maori,496944
Pfizer BioNTech COVID-19,Boosters,Asian,33721
Pfizer BioNTech COVID-19,Boosters,Pacific Peoples,11619
AstraZeneca,Boosters,European or other,116
AstraZeneca,2,European or other,291
AstraZeneca,2,Pacific Peoples,93
Pfizer BioNTech COVID-19,2,Unknown,36525
Pfizer BioNTech COVID-19,2,Maori,447768
Pfizer BioNTech COVID-19,Boosters,Maori,20789
AstraZeneca,2,Maori,26
AstraZeneca,Boosters,Asian,20
Pfizer BioNTech COVID-19,Boosters,European or other,170596
Pfizer BioNTech COVID-19,1,European or other,2535355
AstraZeneca,1,European or other,1914
AstraZeneca,1,Maori,232
Pfizer BioNTech COVID-19,2,Pacific Peoples,253837
AstraZeneca,1,Pacific Peoples,56
AstraZeneca,2,Asian,17
AstraZeneca,Boosters,Unknown,16
Pfizer BioNTech COVID-19,2,European or other,2462863
Pfizer BioNTech COVID-19,Third primary,Asian,1895
Pfizer BioNTech COVID-19,Third primary,Maori,1980
AstraZeneca,1,Asian,164
AstraZeneca,Boosters,Maori,10
Pfizer BioNTech COVID-19,2,Asian,613967
Pfizer BioNTech COVID-19,1,Asian,625178
Pfizer BioNTech COVID-19,Third primary,European or other,21070
AstraZeneca,2,Unknown,32
Pfizer BioNTech COVID-19,1,Unknown,39658
Pfizer BioNTech COVID-19,Boosters,Unknown,2799
Pfizer BioNTech COVID-19,Third primary,Pacific Peoples,959
AstraZeneca,Third primary,European or other,22
