DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Population,At least partially vaccinated uptake per 1000 people,Fully vaccinated uptake per 1000 people
Auckland,Asian,12-15,Female,3117,2997,2947,1058,1017
Auckland,Asian,12-15,Male,3268,3127,3085,1059,1014
Auckland,Asian,16-19,Female,3262,3209,2904,1123,1105
Auckland,Asian,16-19,Male,3379,3316,2826,1196,1173
Auckland,Asian,16-19,Unknown/Other,42,42,9,4667,4667
Auckland,Asian,20-24,Female,5980,5899,5122,1168,1152
Auckland,Asian,20-24,Male,6218,6091,4850,1282,1256
Auckland,Asian,20-24,Unknown/Other,76,73,12,6333,6083
Auckland,Asian,25-29,Female,7959,7880,8392,948,939
Auckland,Asian,25-29,Male,9104,8986,7740,1176,1161
Auckland,Asian,25-29,Unknown/Other,133,129,25,5320,5160
Auckland,Asian,30-34,Female,8951,8833,9316,961,948
Auckland,Asian,30-34,Male,9053,8911,8382,1080,1063
Auckland,Asian,30-34,Unknown/Other,108,105,19,5684,5526
Auckland,Asian,35-39,Female,7675,7542,8154,941,925
Auckland,Asian,35-39,Male,7733,7643,7336,1054,1042
Auckland,Asian,35-39,Unknown/Other,65,63,14,4643,4500
Auckland,Asian,40-44,Female,5698,5616,5623,1013,999
Auckland,Asian,40-44,Male,5698,5630,5231,1089,1076
Auckland,Asian,40-44,Unknown/Other,43,41,15,2867,2733
Auckland,Asian,45-49,Female,4688,4623,4861,964,951
Auckland,Asian,45-49,Male,4260,4201,3985,1069,1054
Auckland,Asian,50-54,Female,4313,4249,4411,978,963
Auckland,Asian,50-54,Male,3417,3378,3467,986,974
Auckland,Asian,55-59,Female,3934,3877,4228,930,917
Auckland,Asian,55-59,Male,3365,3316,3468,970,956
Auckland,Asian,60-64,Female,3204,3168,3608,888,878
Auckland,Asian,60-64,Male,2691,2666,2922,921,912
Auckland,Asian,65-69,Female,2729,2700,2935,930,920
Auckland,Asian,65-69,Male,2280,2263,2584,882,876
Auckland,Asian,70-74,Female,1775,1755,1918,925,915
Auckland,Asian,70-74,Male,1643,1631,1743,943,936
Auckland,Asian,75-79,Female,1106,1096,1240,892,884
Auckland,Asian,75-79,Male,952,933,1080,881,864
Auckland,Asian,80-84,Female,818,801,943,867,849
Auckland,Asian,80-84,Male,702,696,819,857,850
Auckland,Asian,85-89,Female,407,391,441,923,887
Auckland,Asian,85-89,Male,397,384,420,945,914
Auckland,Asian,90+,Female,176,167,179,983,933
Auckland,Asian,90+,Male,109,106,126,865,841
Auckland,European or Other,12-15,Female,4914,4771,4934,996,967
Auckland,European or Other,12-15,Male,5027,4875,5110,984,954
Auckland,European or Other,12-15,Unknown/Other,7,7,5,1400,1400
