SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake
Unknown,Unknown,Unknown,Maori,"11,318","10,468","9,245",925,817
Unknown,Unknown,Unknown,Pacific Peoples,"2,820",Masked,Masked,>950,>950
100100,North Cape,Northland,Maori,842,757,713,899,847
100200,Rangaunu Harbour,Northland,Maori,"1,008",835,755,828,749
100400,Karikari Peninsula,Northland,Maori,517,413,363,799,702
100500,Tangonge,Northland,Maori,541,462,427,854,789
100600,Ahipara,Northland,Maori,589,478,449,812,762
100700,Kaitaia East,Northland,Maori,"1,320","1,104",956,836,724
100700,Kaitaia East,Northland,Pacific Peoples,54,Masked,Masked,>950,>950
100800,Kaitaia West,Northland,Maori,"1,857","1,560","1,357",840,731
100800,Kaitaia West,Northland,Pacific Peoples,101,93,84,921,832
100900,Rangitihi,Northland,Maori,383,305,279,796,728
101000,Oruru-Parapara,Northland,Maori,309,239,217,773,702
101100,Taumarumaru,Northland,Maori,581,504,451,867,776
101200,Herekino-Takahue,Northland,Maori,415,329,298,793,718
101300,Peria,Northland,Maori,348,268,231,770,664
101400,Taemaro-Oruaiti,Northland,Maori,302,226,196,748,649
101500,Whakapaku,Northland,Maori,267,204,179,764,670
101600,Hokianga North,Northland,Maori,645,538,494,834,766
101700,Kohukohu-Broadwood,Northland,Maori,363,283,254,780,700
101800,Whakarara,Northland,Maori,528,450,419,852,794
101900,Kaeo,Northland,Maori,456,340,305,746,669
102000,Omahuta Forest-Horeke,Northland,Maori,629,441,380,701,604
102100,Hokianga South,Northland,Maori,698,507,450,726,645
102200,Lake Manuwai-Kapiro,Northland,Maori,252,200,181,794,718
102300,Okaihau,Northland,Maori,295,248,227,841,769
102400,Rangitane-Purerua,Northland,Maori,340,288,258,847,759
102500,Waipapa,Northland,Maori,124,103,93,831,750
102600,Puketotara,Northland,Maori,223,194,181,870,812
102700,Waima Forest,Northland,Maori,766,570,502,744,655
102800,Riverview,Northland,Maori,222,210,189,946,851
102900,Waipoua Forest,Northland,Maori,622,484,435,778,699
103000,Kerikeri Central,Northland,Maori,448,381,339,850,757
103000,Kerikeri Central,Northland,Pacific Peoples,58,Masked,Masked,>950,>950
103100,Kerikeri South,Northland,Maori,227,192,180,846,793
103200,Ohaeawai-Waimate North,Northland,Maori,412,346,324,840,786
103300,Puketona-Waitangi,Northland,Maori,267,226,220,846,824
103400,Ngapuhi,Northland,Maori,943,726,655,770,695
103500,Kaikohe,Northland,Maori,"2,762","2,102","1,850",761,670
103500,Kaikohe,Northland,Pacific Peoples,102,83,76,814,745
103600,Pakaraka,Northland,Maori,143,123,110,860,769
103700,Haruru,Northland,Maori,215,189,175,879,814
103800,Russell,Northland,Maori,135,125,123,926,911
103900,Paihia,Northland,Maori,481,393,348,817,723
104000,Mataraua Forest,Northland,Maori,337,255,225,757,668
104100,Matawaia-Taumarere,Northland,Maori,794,611,541,770,681
104200,Russell Peninsula,Northland,Maori,74,56,53,757,716
104300,Opua (Far North District),Northland,Maori,180,137,123,761,683
104400,Russell Forest-Rawhiti,Northland,Maori,394,324,294,822,746
104500,Moerewa,Northland,Maori,"1,175",952,862,810,734
104600,Kawakawa,Northland,Maori,820,681,612,830,746
104700,Maromaku,Northland,Maori,246,188,165,764,671
104800,Mangakahia-Hukerenui,Northland,Maori,588,504,453,857,770
104900,Whangaruru,Northland,Maori,652,556,511,853,784
105100,Matarau,Northland,Maori,358,304,291,849,813
105200,Hikurangi,Northland,Maori,462,390,346,844,749
105300,Kauri,Northland,Maori,234,200,194,855,829
105400,Maungatapere,Northland,Maori,423,377,349,891,825
105500,Kamo West,Northland,Maori,381,341,315,895,827
105600,Matapouri-Tutukaka,Northland,Maori,222,199,185,896,833
105700,Kiripaka,Northland,Maori,185,155,141,838,762
105800,Kamo East,Northland,Maori,911,786,707,863,776
105800,Kamo East,Northland,Pacific Peoples,101,87,84,861,832
105900,Granfield Reserve,Northland,Maori,457,411,375,899,821
105900,Granfield Reserve,Northland,Pacific Peoples,40,36,33,900,825
106000,Kamo Central,Northland,Maori,408,363,331,890,811
106100,Whau Valley,Northland,Maori,601,532,491,885,817
106200,Tikipunga North,Northland,Maori,973,844,739,867,760
106200,Tikipunga North,Northland,Pacific Peoples,75,62,57,827,760
106300,Pukenui,Northland,Maori,176,153,146,869,830
106400,Otangarei,Northland,Maori,"1,269","1,008",833,794,656
106400,Otangarei,Northland,Pacific Peoples,53,38,37,717,698
106500,Tikipunga South,Northland,Maori,"1,179","1,039",954,881,809
106500,Tikipunga South,Northland,Pacific Peoples,81,Masked,69,>950,852
106600,Kensington (Whangarei District),Northland,Maori,698,594,532,851,762
106600,Kensington (Whangarei District),Northland,Pacific Peoples,57,Masked,Masked,>950,>950
106700,Abbey Caves-Glenbervie,Northland,Maori,139,121,105,871,755
106800,Mairtown,Northland,Maori,534,463,440,867,824
