Territorial Authority,Population,Partially or Fully Vaccinated,Fully Vaccinated,% Partially or Fully Vaccinated,% Fully Vaccinated
Christchurch City,322365,Masked,Masked,>95%,>95%
Tararua District,15008,13807,13159,0.919976012793177,0.876799040511727
Napier City,54392,51484,49558,0.946536255331666,0.91112663627004
Otorohanga District,7960,7190,6868,0.903266331658292,0.862814070351759
Marlborough District,41136,Masked,Masked,>95%,>95%
Ruapehu District,9938,8673,8101,0.872710807003421,0.815153954518012
Gisborne District,40638,37534,35508,0.92361828830159,0.873763472611841
Whanganui District,39902,36580,35094,0.916746027768032,0.879504786727482
Horowhenua District,28824,27143,26024,0.941680543991119,0.90285872883708
South Taranaki District,20389,Masked,18911,>95%,0.927509931825985
Kapiti Coast District,47238,Masked,43949,>95%,0.930373851560185
Whakatane District,30432,26661,25181,0.876084384858044,0.827451366982124
Tauranga City,121638,Masked,113373,>95%,0.932052483598875
Lower Hutt City,90426,Masked,84404,>95%,0.933404109437551
Matamata-Piako District,29220,27417,26438,0.93829568788501,0.904791238877481
Taupo District,32192,30045,28823,0.933306411530815,0.895346669980119
Porirua City,47711,Masked,44447,>95%,0.931588103372388
South Waikato District,19634,17761,16814,0.904604257919935,0.85637160028522
Timaru District,41101,38793,37656,0.943845648524367,0.916182088027055
Selwyn District,53318,Masked,Masked,>95%,>95%
Stratford District,7523,6930,6652,0.921175063139705,0.884221720058487
Ashburton District,27424,Masked,Masked,>95%,>95%
Clutha District,14979,13981,13503,0.933373389411843,0.901462046865612
Westland District,7100,6643,6370,0.935633802816901,0.897183098591549
Waimakariri District,52773,Masked,49439,>95%,0.936823754571466
Thames-Coromandel District,26266,24285,23484,0.92457930404325,0.894083606182898
Tasman District,45613,42972,41409,0.942099839957907,0.907833293140114
Waikato District,63219,Masked,58696,>95%,0.928455053069489
Unknown,127342,68215,64738,0.535683435158864,0.508379010852664
Opotiki District,7289,6521,6015,0.894635752503773,0.825216079023186
Kawerau District,6115,5341,4953,0.873426001635323,0.809975470155356
Invercargill City,45988,43586,42129,0.947768983213012,0.916086805253544
Hurunui District,10818,10215,9910,0.944259567387687,0.916065816232206
Mackenzie District,4141,3839,3738,0.927070755856073,0.902680511953634
Carterton District,8259,Masked,7703,>95%,0.93267950115026
Kaikoura District,3473,3131,3037,0.901526058162971,0.874460120932911
Dunedin City,110495,Masked,Masked,>95%,>95%
Whangarei District,78696,72349,69360,0.919347870285656,0.881366270204331
Waimate District,6937,6423,6235,0.925904569698717,0.898803517370621
Manawatu District,25555,Masked,23983,>95%,0.938485619252592
Far North District,56422,49339,46468,0.874463861614264,0.823579454822587
Waitaki District,19323,18118,17532,0.937639082958133,0.907312529110387
Nelson City,44843,Masked,41600,>95%,0.927681020449122
South Wairarapa District,9607,Masked,9086,>95%,0.945768710315395
Grey District,11412,10613,10161,0.929985979670522,0.890378548895899
Upper Hutt City,36899,Masked,Masked,>95%,>95%
Auckland,1383804,Masked,1306428,>95%,0.944084566889531
Rotorua District,58120,54426,51902,0.936441844459738,0.89301445285616
Masterton District,22673,Masked,20850,>95%,0.919595995236625
Queenstown-Lakes District,35862,Masked,Masked,>95%,>95%
Palmerston North City,70542,Masked,66963,>95%,0.949264268095603
Waitomo District,7762,7004,6610,0.902344756506055,0.851584643133213
Hauraki District,17324,15499,14849,0.894654814130686,0.857134610944355
Gore District,10754,9914,9584,0.921889529477404,0.891203273200669
Chatham Islands Territory,180,Masked,Masked,>95%,>95%
Hamilton City,137530,Masked,130188,>95%,0.94661528393805
Western Bay of Plenty District,45702,43248,41675,0.946304319285808,0.911885694280338
Central Otago District,19636,Masked,Masked,>95%,>95%
Wellington City,178565,Masked,Masked,>95%,>95%
New Plymouth District,68211,64674,62275,0.948146193429212,0.912975912975913
Southland District,25076,23092,22276,0.920880523209443,0.888339448077843
Central Hawke's Bay District,11838,Masked,10895,>95%,0.920341273863828
Wairoa District,6304,5772,5410,0.915609137055838,0.858185279187817
Buller District,8272,7622,7313,0.92142166344294,0.884066731141199
Hastings District,69386,Masked,64389,>95%,0.927982590147868
Waipa District,46645,Masked,43865,>95%,0.940400900418051
Kaipara District,20198,17698,16887,0.876225368848401,0.836072878502822
Rangitikei District,12700,11627,11189,0.915511811023622,0.881023622047244
Grand Total,4209057,3994333,3878367,0.948985247764523,0.921433708310436
