SA2 Code 2018,SA2 2018,DHB of residence,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake
Unknown,Unknown,Unknown,"66,039",Masked,Masked,>950,>950
100100,North Cape,Northland,"1,561","1,355","1,305",868,836
100200,Rangaunu Harbour,Northland,"1,933","1,609","1,507",832,780
100400,Karikari Peninsula,Northland,"1,342","1,132","1,084",844,808
100500,Tangonge,Northland,966,835,798,864,826
100600,Ahipara,Northland,"1,064",892,856,838,805
100700,Kaitaia East,Northland,"2,007","1,710","1,579",852,787
100800,Kaitaia West,Northland,"2,961","2,533","2,328",855,786
100900,Rangitihi,Northland,807,665,639,824,792
101000,Oruru-Parapara,Northland,811,642,607,792,748
101100,Taumarumaru,Northland,"2,244","1,999","1,927",891,859
101200,Herekino-Takahue,Northland,863,677,636,784,737
101300,Peria,Northland,"1,044",765,705,733,675
101400,Taemaro-Oruaiti,Northland,854,691,646,809,756
101500,Whakapaku,Northland,657,501,469,763,714
101600,Hokianga North,Northland,769,642,596,835,775
101700,Kohukohu-Broadwood,Northland,679,559,524,823,772
101800,Whakarara,Northland,"1,093",919,880,841,805
101900,Kaeo,Northland,"1,047",810,746,774,713
102000,Omahuta Forest-Horeke,Northland,971,724,662,746,682
102100,Hokianga South,Northland,"1,154",850,789,737,684
102200,Lake Manuwai-Kapiro,Northland,"1,982","1,780","1,718",898,867
102300,Okaihau,Northland,"1,002",856,825,854,823
102400,Rangitane-Purerua,Northland,"1,258","1,103","1,044",877,830
102500,Waipapa,Northland,711,623,597,876,840
102600,Puketotara,Northland,"1,592","1,403","1,364",881,857
102700,Waima Forest,Northland,957,723,664,755,694
102800,Riverview,Northland,"1,950","1,852","1,801",950,924
102900,Waipoua Forest,Northland,"1,130",849,784,751,694
103000,Kerikeri Central,Northland,"2,366","2,199","2,115",929,894
103100,Kerikeri South,Northland,"2,480","2,278","2,220",919,895
103200,Ohaeawai-Waimate North,Northland,"1,058",908,873,858,825
103300,Puketona-Waitangi,Northland,"1,254","1,084","1,050",864,837
103400,Ngapuhi,Northland,"1,270","1,029",951,810,749
103500,Kaikohe,Northland,"3,610","2,881","2,654",798,735
103600,Pakaraka,Northland,539,465,442,863,820
103700,Haruru,Northland,"1,021",870,848,852,831
103800,Russell,Northland,774,702,693,907,895
103900,Paihia,Northland,"1,510","1,348","1,291",893,855
104000,Mataraua Forest,Northland,457,358,327,783,716
104100,Matawaia-Taumarere,Northland,"1,249",985,919,789,736
104200,Russell Peninsula,Northland,617,528,517,856,838
104300,Opua (Far North District),Northland,"1,180","1,061","1,033",899,875
104400,Russell Forest-Rawhiti,Northland,628,536,503,854,801
104500,Moerewa,Northland,"1,338","1,109","1,031",829,771
104600,Kawakawa,Northland,"1,214","1,040",972,857,801
104700,Maromaku,Northland,590,463,440,785,746
104800,Mangakahia-Hukerenui,Northland,"1,572","1,329","1,249",845,795
104900,Whangaruru,Northland,"2,174","1,876","1,813",863,834
105100,Matarau,Northland,"2,767","2,476","2,420",895,875
105200,Hikurangi,Northland,"1,208","1,050",990,869,820
105300,Kauri,Northland,"1,547","1,368","1,339",884,866
105400,Maungatapere,Northland,"3,044","2,673","2,609",878,857
105500,Kamo West,Northland,"1,931","1,753","1,689",908,875
105600,Matapouri-Tutukaka,Northland,"1,623","1,462","1,427",901,879
105700,Kiripaka,Northland,878,770,743,877,846
105800,Kamo East,Northland,"2,459","2,229","2,121",906,863
105900,Granfield Reserve,Northland,"2,853","2,676","2,606",938,913
106000,Kamo Central,Northland,"1,382","1,269","1,231",918,891
106100,Whau Valley,Northland,"2,544","2,266","2,192",891,862
106200,Tikipunga North,Northland,"2,809","2,579","2,457",918,875
106300,Pukenui,Northland,"2,021","1,875","1,845",928,913
106400,Otangarei,Northland,"1,752","1,423","1,254",812,716
106500,Tikipunga South,Northland,"3,210","2,921","2,808",910,875
106600,Kensington (Whangarei District),Northland,"2,932","2,731","2,647",931,903
106700,Abbey Caves-Glenbervie,Northland,"1,179","1,078","1,052",914,892
106800,Mairtown,Northland,"2,210","2,025","1,978",916,895
106900,Maunu-Horahora,Northland,"3,001","2,755","2,678",918,892
107000,Woodhill-Vinetown,Northland,"2,498","2,248","2,169",900,868
107100,Whangarei Central,Northland,972,911,879,937,904
107200,Riverside,Northland,"1,893","1,670","1,626",882,859
107300,Raumanga,Northland,"2,703","2,312","2,108",855,780
107400,Tarewa,Northland,"1,522","1,290","1,194",848,784
107500,Morningside (Whangarei District),Northland,"1,930","1,753","1,666",908,863
107600,Ngunguru,Northland,"1,059",955,932,902,880
107700,Otaika-Portland,Northland,"1,172","1,011",972,863,829
