sa2_code,sa2,dhbresidence,ethnicity_priority,population,partially_vaccinated,fully_vaccinated,eligible_for_booster,boosted
0,Unknown,Unknown,Maori,10820,10458,9773,5955,2938
0,Unknown,Unknown,Pacific Peoples,2691,3993,3839,2890,1284
100100,North Cape,Northland,Maori,856,776,754,554,287
100100,North Cape,Northland,Pacific Peoples,22,20,20,15,8
100200,Rangaunu Harbour,Northland,Maori,1019,860,813,518,242
100200,Rangaunu Harbour,Northland,Pacific Peoples,33,30,28,18,9
100400,Karikari Peninsula,Northland,Maori,525,436,408,257,159
100400,Karikari Peninsula,Northland,Pacific Peoples,24,20,20,15,12
100500,Tangonge,Northland,Maori,546,472,456,325,146
100500,Tangonge,Northland,Pacific Peoples,16,14,14,9,5
100600,Ahipara,Northland,Maori,583,489,467,314,183
100600,Ahipara,Northland,Pacific Peoples,25,22,22,14,8
100700,Kaitaia East,Northland,Maori,1302,1120,1034,551,229
100700,Kaitaia East,Northland,Pacific Peoples,52,55,53,30,18
100800,Kaitaia West,Northland,Maori,1862,1635,1495,804,338
100800,Kaitaia West,Northland,Pacific Peoples,105,97,94,63,21
100900,Rangitihi,Northland,Maori,389,325,305,173,71
100900,Rangitihi,Northland,Pacific Peoples,13,13,13,7,4
101000,Oruru-Parapara,Northland,Maori,313,248,234,146,66
101000,Oruru-Parapara,Northland,Pacific Peoples,14,13,10,7,3
101100,Taumarumaru,Northland,Maori,573,508,479,306,171
101100,Taumarumaru,Northland,Pacific Peoples,36,36,34,23,11
101200,Herekino-Takahue,Northland,Maori,419,343,327,194,91
101200,Herekino-Takahue,Northland,Pacific Peoples,11,12,11,7,0
101300,Peria,Northland,Maori,345,271,249,145,65
101300,Peria,Northland,Pacific Peoples,15,14,13,8,6
101400,Taemaro-Oruaiti,Northland,Maori,299,230,211,131,76
101400,Taemaro-Oruaiti,Northland,Pacific Peoples,15,13,12,4,0
101500,Whakapaku,Northland,Maori,267,214,198,124,74
101500,Whakapaku,Northland,Pacific Peoples,8,5,5,2,0
101600,Hokianga North,Northland,Maori,637,541,515,391,198
101600,Hokianga North,Northland,Pacific Peoples,12,9,8,7,3
101700,Kohukohu-Broadwood,Northland,Maori,365,292,279,199,114
101700,Kohukohu-Broadwood,Northland,Pacific Peoples,11,9,8,5,1
101800,Whakarara,Northland,Maori,530,466,445,316,180
101800,Whakarara,Northland,Pacific Peoples,13,9,9,5,3
101900,Kaeo,Northland,Maori,459,363,331,227,123
101900,Kaeo,Northland,Pacific Peoples,16,14,13,8,5
102000,Omahuta Forest-Horeke,Northland,Maori,635,464,427,262,148
102000,Omahuta Forest-Horeke,Northland,Pacific Peoples,10,8,8,3,1
102100,Hokianga South,Northland,Maori,708,536,495,313,183
102100,Hokianga South,Northland,Pacific Peoples,16,13,13,6,3
102200,Lake Manuwai-Kapiro,Northland,Maori,253,210,193,119,73
102200,Lake Manuwai-Kapiro,Northland,Pacific Peoples,29,55,53,44,28
102300,Okaihau,Northland,Maori,303,260,244,151,87
102300,Okaihau,Northland,Pacific Peoples,35,32,31,29,6
102400,Rangitane-Purerua,Northland,Maori,343,306,283,191,102
102400,Rangitane-Purerua,Northland,Pacific Peoples,19,18,17,13,8
102500,Waipapa,Northland,Maori,123,107,102,64,32
102500,Waipapa,Northland,Pacific Peoples,10,7,7,4,3
102600,Puketotara,Northland,Maori,230,202,197,133,66
102600,Puketotara,Northland,Pacific Peoples,30,41,41,34,9
102700,Waima Forest,Northland,Maori,759,576,546,315,166
102700,Waima Forest,Northland,Pacific Peoples,18,13,12,11,4
102800,Riverview,Northland,Maori,217,208,200,123,73
102800,Riverview,Northland,Pacific Peoples,25,21,21,14,4
102900,Waipoua Forest,Northland,Maori,621,503,468,328,164
102900,Waipoua Forest,Northland,Pacific Peoples,17,14,14,12,8
103000,Kerikeri Central,Northland,Maori,458,401,380,220,101
103000,Kerikeri Central,Northland,Pacific Peoples,57,98,98,69,14
103100,Kerikeri South,Northland,Maori,231,202,191,123,67
103100,Kerikeri South,Northland,Pacific Peoples,35,31,30,19,13
103200,Ohaeawai-Waimate North,Northland,Maori,412,352,333,230,113
103200,Ohaeawai-Waimate North,Northland,Pacific Peoples,13,12,12,8,6
103300,Puketona-Waitangi,Northland,Maori,262,230,226,172,87
103300,Puketona-Waitangi,Northland,Pacific Peoples,4,7,7,7,6
103400,Ngapuhi,Northland,Maori,940,763,719,433,218
103400,Ngapuhi,Northland,Pacific Peoples,20,18,17,13,1
103500,Kaikohe,Northland,Maori,2753,2217,2045,1204,570
103500,Kaikohe,Northland,Pacific Peoples,102,90,80,52,25
103600,Pakaraka,Northland,Maori,144,129,119,80,48
103600,Pakaraka,Northland,Pacific Peoples,1,1,1,1,1
103700,Haruru,Northland,Maori,218,195,191,131,58
103700,Haruru,Northland,Pacific Peoples,17,15,15,12,4
103800,Russell,Northland,Maori,135,127,125,98,71
103800,Russell,Northland,Pacific Peoples,8,6,6,6,4
103900,Paihia,Northland,Maori,484,404,380,247,129
103900,Paihia,Northland,Pacific Peoples,26,24,22,18,10
104000,Mataraua Forest,Northland,Maori,329,259,236,148,78
104000,Mataraua Forest,Northland,Pacific Peoples,9,6,6,2,2
104100,Matawaia-Taumarere,Northland,Maori,802,642,608,359,191
104100,Matawaia-Taumarere,Northland,Pacific Peoples,20,14,12,8,4
104200,Russell Peninsula,Northland,Maori,74,56,56,40,30
104200,Russell Peninsula,Northland,Pacific Peoples,3,3,3,3,1
104300,Opua (Far North District),Northland,Maori,178,139,132,92,52
104300,Opua (Far North District),Northland,Pacific Peoples,16,16,13,9,5
104400,Russell Forest-Rawhiti,Northland,Maori,389,332,315,233,126
104400,Russell Forest-Rawhiti,Northland,Pacific Peoples,11,8,7,5,4
104500,Moerewa,Northland,Maori,1180,992,935,614,289
104500,Moerewa,Northland,Pacific Peoples,37,29,26,16,7
