SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,"10,820",Masked,"9,773",5955,"2,938",>95%,90%,49%
Unknown,Unknown,Unknown,Pacific Peoples,"2,691",Masked,Masked,2890,"1,284",>95%,>95%,44%
100100,North Cape,Northland,Maori,856,776,754,554,287,91%,88%,52%
100200,Rangaunu Harbour,Northland,Maori,"1,019",860,813,518,242,84%,80%,47%
100400,Karikari Peninsula,Northland,Maori,525,436,408,257,159,83%,78%,62%
100500,Tangonge,Northland,Maori,546,472,456,325,146,86%,84%,45%
100600,Ahipara,Northland,Maori,583,489,467,314,183,84%,80%,58%
100700,Kaitaia East,Northland,Maori,"1,302","1,120","1,034",551,229,86%,79%,42%
100700,Kaitaia East,Northland,Pacific Peoples,52,Masked,Masked,30,18,>95%,>95%,60%
100800,Kaitaia West,Northland,Maori,"1,862","1,635","1,495",804,338,88%,80%,42%
100800,Kaitaia West,Northland,Pacific Peoples,105,97,94,63,21,92%,90%,33%
100900,Rangitihi,Northland,Maori,389,325,305,173,71,84%,78%,41%
101000,Oruru-Parapara,Northland,Maori,313,248,234,146,66,79%,75%,45%
101100,Taumarumaru,Northland,Maori,573,508,479,306,171,89%,84%,56%
101200,Herekino-Takahue,Northland,Maori,419,343,327,194,91,82%,78%,47%
101300,Peria,Northland,Maori,345,271,249,145,65,79%,72%,45%
101400,Taemaro-Oruaiti,Northland,Maori,299,230,211,131,76,77%,71%,58%
101500,Whakapaku,Northland,Maori,267,214,198,124,74,80%,74%,60%
101600,Hokianga North,Northland,Maori,637,541,515,391,198,85%,81%,51%
101700,Kohukohu-Broadwood,Northland,Maori,365,292,279,199,114,80%,76%,57%
101800,Whakarara,Northland,Maori,530,466,445,316,180,88%,84%,57%
101900,Kaeo,Northland,Maori,459,363,331,227,123,79%,72%,54%
102000,Omahuta Forest-Horeke,Northland,Maori,635,464,427,262,148,73%,67%,56%
102100,Hokianga South,Northland,Maori,708,536,495,313,183,76%,70%,58%
102200,Lake Manuwai-Kapiro,Northland,Maori,253,210,193,119,73,83%,76%,61%
102300,Okaihau,Northland,Maori,303,260,244,151,87,86%,81%,58%
102400,Rangitane-Purerua,Northland,Maori,343,306,283,191,102,89%,83%,53%
102500,Waipapa,Northland,Maori,123,107,102,64,32,87%,83%,50%
102600,Puketotara,Northland,Maori,230,202,197,133,66,88%,86%,50%
102700,Waima Forest,Northland,Maori,759,576,546,315,166,76%,72%,53%
102800,Riverview,Northland,Maori,217,Masked,200,123,73,>95%,92%,59%
102900,Waipoua Forest,Northland,Maori,621,503,468,328,164,81%,75%,50%
103000,Kerikeri Central,Northland,Maori,458,401,380,220,101,88%,83%,46%
103000,Kerikeri Central,Northland,Pacific Peoples,57,Masked,Masked,69,14,>95%,>95%,20%
103100,Kerikeri South,Northland,Maori,231,202,191,123,67,87%,83%,54%
103200,Ohaeawai-Waimate North,Northland,Maori,412,352,333,230,113,85%,81%,49%
103300,Puketona-Waitangi,Northland,Maori,262,230,226,172,87,88%,86%,51%
103400,Ngapuhi,Northland,Maori,940,763,719,433,218,81%,76%,50%
103500,Kaikohe,Northland,Maori,"2,753","2,217","2,045",1204,570,81%,74%,47%
103500,Kaikohe,Northland,Pacific Peoples,102,90,80,52,25,88%,78%,48%
103600,Pakaraka,Northland,Maori,144,129,119,80,48,90%,83%,60%
103700,Haruru,Northland,Maori,218,195,191,131,58,89%,88%,44%
103800,Russell,Northland,Maori,135,127,125,98,71,94%,93%,72%
103900,Paihia,Northland,Maori,484,404,380,247,129,83%,79%,52%
104000,Mataraua Forest,Northland,Maori,329,259,236,148,78,79%,72%,53%
104100,Matawaia-Taumarere,Northland,Maori,802,642,608,359,191,80%,76%,53%
104200,Russell Peninsula,Northland,Maori,74,56,56,40,30,76%,76%,75%
104300,Opua (Far North District),Northland,Maori,178,139,132,92,52,78%,74%,57%
104400,Russell Forest-Rawhiti,Northland,Maori,389,332,315,233,126,85%,81%,54%
104500,Moerewa,Northland,Maori,"1,180",992,935,614,289,84%,79%,47%
104600,Kawakawa,Northland,Maori,809,700,655,411,208,87%,81%,51%
104700,Maromaku,Northland,Maori,244,191,187,112,53,78%,77%,47%
104800,Mangakahia-Hukerenui,Northland,Maori,597,532,502,304,173,89%,84%,57%
104900,Whangaruru,Northland,Maori,657,570,543,356,189,87%,83%,53%
105100,Matarau,Northland,Maori,357,316,307,187,104,89%,86%,56%
105200,Hikurangi,Northland,Maori,474,421,392,242,101,89%,83%,42%
105300,Kauri,Northland,Maori,235,205,202,136,85,87%,86%,62%
105400,Maungatapere,Northland,Maori,423,389,370,239,143,92%,87%,60%
105500,Kamo West,Northland,Maori,394,361,352,218,128,92%,89%,59%
105600,Matapouri-Tutukaka,Northland,Maori,222,202,192,135,76,91%,86%,56%
105700,Kiripaka,Northland,Maori,188,159,153,104,51,85%,81%,49%
105800,Kamo East,Northland,Maori,913,811,773,450,188,89%,85%,42%
105800,Kamo East,Northland,Pacific Peoples,100,87,84,60,24,87%,84%,40%
105900,Granfield Reserve,Northland,Maori,452,420,399,252,150,93%,88%,60%
106000,Kamo Central,Northland,Maori,410,377,359,201,132,92%,88%,66%
106100,Whau Valley,Northland,Maori,601,541,514,329,169,90%,86%,51%
106200,Tikipunga North,Northland,Maori,959,858,808,484,239,89%,84%,49%
106200,Tikipunga North,Northland,Pacific Peoples,80,71,67,42,19,89%,84%,45%
106300,Pukenui,Northland,Maori,174,157,152,104,66,90%,87%,63%
106400,Otangarei,Northland,Maori,"1,268","1,052",950,505,216,83%,75%,43%
