Territorial Authority,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,"27,424",Masked,Masked,"20,715","12,733",>95%,>95%,61%
Auckland,"1,383,806",Masked,Masked,"1,114,587","662,697",>95%,>95%,59%
Buller District,"8,272","7,737","7,557","5,722","3,778",94%,91%,66%
Carterton District,"8,259",Masked,Masked,"6,286","4,497",>95%,>95%,72%
Central Hawke's Bay District,"11,838",Masked,Masked,"8,858","5,508",>95%,>95%,62%
Central Otago District,"19,636",Masked,Masked,"16,059","11,249",>95%,>95%,70%
Chatham Islands Territory,180,Masked,Masked,222,158,>95%,>95%,71%
Christchurch City,"322,365",Masked,Masked,"253,065","158,089",>95%,>95%,62%
Clutha District,"14,979",Masked,"13,988","10,721","6,807",>95%,93%,63%
Dunedin City,"110,495",Masked,Masked,"90,163","65,635",>95%,>95%,73%
Far North District,"56,422","50,340","48,458","36,587","22,272",89%,86%,61%
Gisborne District,"40,638","38,397","37,219","27,050","17,137",94%,92%,63%
Gore District,"10,754","10,075","9,882","7,623","5,261",94%,92%,69%
Grey District,"11,412","10,802","10,537","8,053","5,553",95%,92%,69%
Hamilton City,"137,530",Masked,Masked,"106,903","63,356",>95%,>95%,59%
Hastings District,"69,386",Masked,Masked,"51,324","33,019",>95%,>95%,64%
Hauraki District,"17,324","15,797","15,421","12,010","7,196",91%,89%,60%
Horowhenua District,"28,824",Masked,"27,063","20,899","14,306",>95%,94%,68%
Hurunui District,"10,818",Masked,"10,179","8,079","4,795",>95%,94%,59%
Invercargill City,"45,988",Masked,"43,355","33,457","22,616",>95%,94%,68%
Kaikoura District,"3,473","3,190","3,143","2,592","1,861",92%,90%,72%
Kaipara District,"20,198","18,036","17,472","13,735","8,252",89%,87%,60%
Kapiti Coast District,"47,238",Masked,Masked,"37,099","27,102",>95%,>95%,73%
Kawerau District,"6,115","5,506","5,251","3,512","2,141",90%,86%,61%
Lower Hutt City,"90,426",Masked,Masked,"69,134","45,153",>95%,>95%,65%
Mackenzie District,"4,141","3,904","3,850","3,028","1,772",94%,93%,59%
Manawatu District,"25,555",Masked,Masked,"19,126","12,269",>95%,>95%,64%
Marlborough District,"41,136",Masked,Masked,"32,742","23,605",>95%,>95%,72%
Masterton District,"22,673",Masked,Masked,"16,553","11,454",>95%,>95%,69%
Matamata-Piako District,"29,220",Masked,"27,338","21,385","12,650",>95%,94%,59%
Napier City,"54,392",Masked,"51,339","39,998","26,305",>95%,94%,66%
Nelson City,"44,843",Masked,Masked,"34,206","24,581",>95%,>95%,72%
New Plymouth District,"68,211",Masked,"64,529","49,886","30,557",>95%,95%,61%
Opotiki District,"7,289","6,689","6,351","4,629","2,801",92%,87%,61%
Otorohanga District,"7,960","7,325","7,149","5,297","2,845",92%,90%,54%
Palmerston North City,"70,542",Masked,Masked,"54,049","35,208",>95%,>95%,65%
Porirua City,"47,711",Masked,Masked,"35,191","22,557",>95%,>95%,64%
Queenstown-Lakes District,"35,862",Masked,Masked,"31,543","18,093",>95%,>95%,57%
Rangitikei District,"12,700","11,847","11,585","9,130","5,474",93%,91%,60%
Rotorua District,"58,120",Masked,"53,960","40,000","25,375",>95%,93%,63%
Ruapehu District,"9,938","8,843","8,496","6,293","3,691",89%,85%,59%
Selwyn District,"53,318",Masked,Masked,"44,453","26,935",>95%,>95%,61%
South Taranaki District,"20,389",Masked,Masked,"14,623","8,586",>95%,>95%,59%
South Waikato District,"19,634","18,147","17,569","12,577","7,188",92%,89%,57%
South Wairarapa District,"9,607",Masked,Masked,"7,642","5,280",>95%,>95%,69%
Southland District,"25,076","23,449","23,014","17,287","10,737",94%,92%,62%
Stratford District,"7,523","7,073","6,912","5,232","3,275",94%,92%,63%
Tararua District,"15,008","14,024","13,652","10,339","6,529",93%,91%,63%
Tasman District,"45,613",Masked,"43,116","34,148","23,844",>95%,95%,70%
Taupo District,"32,192","30,561","29,844","22,977","14,594",95%,93%,64%
Tauranga City,"121,638",Masked,Masked,"91,014","56,303",>95%,>95%,62%
Thames-Coromandel District,"26,267","24,692","24,192","20,176","13,837",94%,92%,69%
Timaru District,"41,101",Masked,"38,796","31,131","21,784",>95%,94%,70%
Unknown,"127,337","69,758","67,367","53,360","29,964",55%,53%,56%
Upper Hutt City,"36,900",Masked,Masked,"28,680","19,309",>95%,>95%,67%
Waikato District,"63,219",Masked,Masked,"47,185","27,892",>95%,>95%,59%
Waimakariri District,"52,773",Masked,Masked,"39,496","25,928",>95%,>95%,66%
Waimate District,"6,937","6,541","6,425","5,062","3,300",94%,93%,65%
Waipa District,"46,646",Masked,Masked,"36,303","22,426",>95%,>95%,62%
Wairoa District,"6,304","5,907","5,677","4,235","2,681",94%,90%,63%
Waitaki District,"19,323",Masked,"18,091","14,375","9,837",>95%,94%,68%
Waitomo District,"7,762","7,148","6,934","5,149","2,958",92%,89%,57%
Wellington City,"178,565",Masked,Masked,"150,787","99,682",>95%,>95%,66%
Western Bay of Plenty District,"45,702",Masked,"43,011","33,769","21,000",>95%,94%,62%
Westland District,"7,100","6,735","6,605","5,165","3,473",95%,93%,67%
Whakatane District,"30,432","27,310","26,434","19,265","12,280",90%,87%,64%
Whanganui District,"39,902","37,208","36,374","28,003","19,450",93%,91%,69%
Whangarei District,"78,696","73,623","71,828","55,923","36,874",94%,91%,66%
