Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,1,275171,Pacific Peoples
Pfizer BioNTech COVID-19,2,17,European or other
Pfizer BioNTech COVID-19,Third primary,378,Unknown
AstraZeneca,1,44,Unknown
AstraZeneca,Third primary,5,Pacific Peoples
Pfizer BioNTech COVID-19,1,517131,Maori
Pfizer BioNTech COVID-19,Boosters,122476,Pacific Peoples
Pfizer BioNTech COVID-19,Boosters,367531,Asian
Pfizer BioNTech COVID-19,2,33095,Unknown
AstraZeneca,2,2532,European or other
AstraZeneca,Boosters,949,European or other
AstraZeneca,2,237,Pacific Peoples
Pfizer BioNTech COVID-19,2,496843,Maori
Pfizer BioNTech COVID-19,Boosters,203895,Maori
AstraZeneca,Boosters,170,Asian
AstraZeneca,2,322,Maori
Pfizer BioNTech COVID-19,Boosters,1672246,European or other
Pfizer BioNTech COVID-19,1,2557918,European or other
AstraZeneca,1,2541,European or other
AstraZeneca,1,359,Maori
Pfizer BioNTech COVID-19,2,270040,Pacific Peoples
AstraZeneca,2,210,Asian
AstraZeneca,1,104,Pacific Peoples
AstraZeneca,Boosters,86,Unknown
Pfizer BioNTech COVID-19,2,2529823,European or other
Pfizer BioNTech COVID-19,Third primary,2528,Maori
Pfizer BioNTech COVID-19,Third primary,2534,Asian
AstraZeneca,1,211,Asian
AstraZeneca,Boosters,82,Pacific Peoples
AstraZeneca,Boosters,78,Maori
Pfizer BioNTech COVID-19,2,625761,Asian
Pfizer BioNTech COVID-19,1,630287,Asian
Pfizer BioNTech COVID-19,Third primary,26602,European or other
AstraZeneca,2,84,Unknown
Pfizer BioNTech COVID-19,1,33503,Unknown
Pfizer BioNTech COVID-19,Boosters,22968,Unknown
AstraZeneca,Third primary,27,European or other
Pfizer BioNTech COVID-19,Third primary,1337,Pacific Peoples
