Week ending,Vaccine available for distribution at the end of the week
21-Feb,65520
28-Feb,131220
07-Mar,187860
14-Mar,246210
21-Mar,284580
28-Mar,332280
04-Apr,293670
11-Apr,395460
18-Apr,423540
25-Apr,453960
02-May,391080
09-May,371760
16-May,353130
23-May,327240
30-May,288000
06-Jun,189660
13-Jun,117660
20-Jun,160410
27-Jun,84360
04-Jul,20280
11-Jul,35160
18-Jul,68520
25-Jul,136350
01-Aug,217170
08-Aug,220290
15-Aug,286020
22-Aug,459900
29-Aug,184000
05-Sep,319890
12-Sep,386790
19-Sep,642012
26-Sep,810538
03-Oct,1057000
10-Oct,941000
17-Oct,679140
24-Oct,1140540
31-Oct,2494650
07-Nov,2354670
14-Nov,2244420
21-Nov,2412360
28-Nov,2495060
05-Dec,2353530
12-Dec,2442330
19-Dec,2381780
26-Dec,2843490
02-Jan,2800240
09-Jan,2495980
16-Jan,2616890
23-Jan,2473680
30-Jan,2112590
06-Feb,1930650
13-Feb,1756720
20-Feb,1683570
27-Feb,1749770
06-Mar,1872750
13-Mar,3121030
20-Mar,3751480
27-Mar,3672010
