SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,12+,"9,589",Masked,"8,887","7,587","3,794",>95%,93%,50%
Unknown,Unknown,Unknown,Maori,5-11,"1,629",469,157,NA,NA,29%,10%,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"2,463",Masked,Masked,"3,352","1,702",>95%,>95%,51%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,353,133,32,NA,NA,38%,9%,NA
100100,North Cape,Northland,Maori,12+,855,766,747,658,409,90%,87%,62%
100100,North Cape,Northland,Maori,5-11,161,44,7,NA,NA,27%,<5%,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,026",877,839,722,383,85%,82%,53%
100200,Rangaunu Harbour,Northland,Maori,5-11,192,38,11,NA,NA,20%,6%,NA
100400,Karikari Peninsula,Northland,Maori,12+,520,438,423,356,202,84%,81%,57%
100400,Karikari Peninsula,Northland,Maori,5-11,85,20,Masked,NA,NA,24%,<5%,NA
100500,Tangonge,Northland,Maori,12+,555,480,470,404,228,86%,85%,56%
100500,Tangonge,Northland,Maori,5-11,95,22,Masked,NA,NA,23%,<5%,NA
100600,Ahipara,Northland,Maori,12+,580,491,474,419,251,85%,82%,60%
100600,Ahipara,Northland,Maori,5-11,107,36,8,NA,NA,34%,7%,NA
100700,Kaitaia East,Northland,Maori,12+,"1,313","1,158","1,085",896,437,88%,83%,49%
100700,Kaitaia East,Northland,Maori,5-11,289,83,16,NA,NA,29%,6%,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,55,Masked,Masked,53,27,>95%,>95%,51%
100800,Kaitaia West,Northland,Maori,12+,"1,841","1,616","1,519","1,229",601,88%,83%,49%
100800,Kaitaia West,Northland,Maori,5-11,406,74,24,NA,NA,18%,6%,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,101,94,91,79,39,93%,90%,49%
100900,Rangitihi,Northland,Maori,12+,393,335,322,271,135,85%,82%,50%
100900,Rangitihi,Northland,Maori,5-11,59,8,Masked,NA,NA,14%,5%,NA
101000,Oruru-Parapara,Northland,Maori,12+,311,253,240,204,99,81%,77%,49%
101000,Oruru-Parapara,Northland,Maori,5-11,64,15,Masked,NA,NA,23%,8%,NA
101100,Taumarumaru,Northland,Maori,12+,578,513,487,416,235,89%,84%,56%
101100,Taumarumaru,Northland,Maori,5-11,142,29,6,NA,NA,20%,<5%,NA
101200,Herekino-Takahue,Northland,Maori,12+,425,348,328,282,150,82%,77%,53%
101200,Herekino-Takahue,Northland,Maori,5-11,81,24,Masked,NA,NA,30%,<5%,NA
101300,Peria,Northland,Maori,12+,332,261,248,211,105,79%,75%,50%
101300,Peria,Northland,Maori,5-11,85,16,6,NA,NA,19%,7%,NA
101400,Taemaro-Oruaiti,Northland,Maori,12+,303,240,225,183,103,79%,74%,56%
101400,Taemaro-Oruaiti,Northland,Maori,5-11,69,20,Masked,NA,NA,29%,6%,NA
101500,Whakapaku,Northland,Maori,12+,266,216,203,175,96,81%,76%,55%
101500,Whakapaku,Northland,Maori,5-11,60,18,Masked,NA,NA,30%,5%,NA
