SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,12+,"54,266",Masked,Masked,"53,499","32,588",>95%,>95%,61%
Unknown,Unknown,Unknown,5-11,"5,412","2,603","1,163",NA,NA,48%,21%,NA
100100,North Cape,Northland,12+,"1,597","1,379","1,355","1,241",817,86%,85%,66%
100100,North Cape,Northland,5-11,198,52,16,NA,NA,26%,8%,NA
100200,Rangaunu Harbour,Northland,12+,"1,939","1,641","1,583","1,441",845,85%,82%,59%
100200,Rangaunu Harbour,Northland,5-11,262,54,15,NA,NA,21%,6%,NA
100400,Karikari Peninsula,Northland,12+,"1,344","1,151","1,130","1,048",714,86%,84%,68%
100400,Karikari Peninsula,Northland,5-11,133,32,9,NA,NA,24%,7%,NA
100500,Tangonge,Northland,12+,969,849,834,749,469,88%,86%,63%
100500,Tangonge,Northland,5-11,121,32,9,NA,NA,26%,7%,NA
100600,Ahipara,Northland,12+,"1,045",889,864,796,507,85%,83%,64%
100600,Ahipara,Northland,5-11,148,55,17,NA,NA,37%,11%,NA
100700,Kaitaia East,Northland,12+,"2,031","1,784","1,699","1,515",840,88%,84%,55%
100700,Kaitaia East,Northland,5-11,331,100,29,NA,NA,30%,9%,NA
100800,Kaitaia West,Northland,12+,"2,939","2,557","2,449","2,153","1,224",87%,83%,57%
100800,Kaitaia West,Northland,5-11,487,118,47,NA,NA,24%,10%,NA
100900,Rangitihi,Northland,12+,808,683,666,600,352,85%,82%,59%
100900,Rangitihi,Northland,5-11,90,17,Masked,NA,NA,19%,6%,NA
101000,Oruru-Parapara,Northland,12+,815,662,637,590,355,81%,78%,60%
101000,Oruru-Parapara,Northland,5-11,103,28,9,NA,NA,27%,9%,NA
101100,Taumarumaru,Northland,12+,"2,255","2,012","1,972","1,876","1,358",89%,87%,72%
101100,Taumarumaru,Northland,5-11,218,65,19,NA,NA,30%,9%,NA
101200,Herekino-Takahue,Northland,12+,878,696,668,602,366,79%,76%,61%
101200,Herekino-Takahue,Northland,5-11,111,25,Masked,NA,NA,23%,<5%,NA
101300,Peria,Northland,12+,"1,014",738,711,661,407,73%,70%,62%
101300,Peria,Northland,5-11,128,26,8,NA,NA,20%,6%,NA
101400,Taemaro-Oruaiti,Northland,12+,852,703,681,632,415,83%,80%,66%
101400,Taemaro-Oruaiti,Northland,5-11,110,44,10,NA,NA,40%,9%,NA
101500,Whakapaku,Northland,12+,657,513,493,460,307,78%,75%,67%
101500,Whakapaku,Northland,5-11,83,31,Masked,NA,NA,37%,6%,NA
101600,Hokianga North,Northland,12+,790,657,638,576,389,83%,81%,68%
101600,Hokianga North,Northland,5-11,132,36,8,NA,NA,27%,6%,NA
101700,Kohukohu-Broadwood,Northland,12+,692,574,561,518,361,83%,81%,70%
101700,Kohukohu-Broadwood,Northland,5-11,65,16,Masked,NA,NA,25%,6%,NA
101800,Whakarara,Northland,12+,"1,121",962,937,881,612,86%,84%,69%
101800,Whakarara,Northland,5-11,117,52,23,NA,NA,44%,20%,NA
101900,Kaeo,Northland,12+,"1,066",841,806,740,468,79%,76%,63%
101900,Kaeo,Northland,5-11,146,43,15,NA,NA,29%,10%,NA
102000,Omahuta Forest-Horeke,Northland,12+,982,737,704,630,387,75%,72%,61%
102000,Omahuta Forest-Horeke,Northland,5-11,160,21,7,NA,NA,13%,<5%,NA
102100,Hokianga South,Northland,12+,"1,176",890,855,783,518,76%,73%,66%
102100,Hokianga South,Northland,5-11,130,29,6,NA,NA,22%,<5%,NA
102200,Lake Manuwai-Kapiro,Northland,12+,"2,010","1,821","1,793","1,661","1,113",91%,89%,67%
102200,Lake Manuwai-Kapiro,Northland,5-11,203,86,36,NA,NA,42%,18%,NA
102300,Okaihau,Northland,12+,"1,013",876,858,789,474,86%,85%,60%
102300,Okaihau,Northland,5-11,119,33,Masked,NA,NA,28%,<5%,NA
102400,Rangitane-Purerua,Northland,12+,"1,270","1,137","1,102","1,013",695,90%,87%,69%
102400,Rangitane-Purerua,Northland,5-11,154,39,16,NA,NA,25%,10%,NA
102500,Waipapa,Northland,12+,717,648,631,588,381,90%,88%,65%
102500,Waipapa,Northland,5-11,95,38,15,NA,NA,40%,16%,NA
102600,Puketotara,Northland,12+,"1,616","1,444","1,412","1,314",889,89%,87%,68%
102600,Puketotara,Northland,5-11,173,69,19,NA,NA,40%,11%,NA
102700,Waima Forest,Northland,12+,985,767,737,663,361,78%,75%,54%
102700,Waima Forest,Northland,5-11,135,20,Masked,NA,NA,15%,<5%,NA
102800,Riverview,Northland,12+,"1,971",Masked,"1,846","1,719","1,314",>95%,94%,76%
102800,Riverview,Northland,5-11,204,103,40,NA,NA,50%,20%,NA
102900,Waipoua Forest,Northland,12+,"1,150",884,855,802,552,77%,74%,69%
102900,Waipoua Forest,Northland,5-11,112,19,Masked,NA,NA,17%,<5%,NA
103000,Kerikeri Central,Northland,12+,"2,356","2,203","2,170","2,040","1,437",94%,92%,70%
103000,Kerikeri Central,Northland,5-11,232,88,31,NA,NA,38%,13%,NA
103100,Kerikeri South,Northland,12+,"2,523","2,328","2,298","2,169","1,633",92%,91%,75%
103100,Kerikeri South,Northland,5-11,214,99,38,NA,NA,46%,18%,NA
103200,Ohaeawai-Waimate North,Northland,12+,"1,062",927,901,843,552,87%,85%,65%
103200,Ohaeawai-Waimate North,Northland,5-11,115,29,9,NA,NA,25%,8%,NA
103300,Puketona-Waitangi,Northland,12+,"1,272","1,108","1,097","1,043",738,87%,86%,71%
103300,Puketona-Waitangi,Northland,5-11,122,42,11,NA,NA,34%,9%,NA
103400,Ngapuhi,Northland,12+,"1,258","1,052","1,006",899,501,84%,80%,56%
103400,Ngapuhi,Northland,5-11,189,32,7,NA,NA,17%,<5%,NA
103500,Kaikohe,Northland,12+,"3,584","2,963","2,829","2,498","1,390",83%,79%,56%
103500,Kaikohe,Northland,5-11,661,177,51,NA,NA,27%,8%,NA
103600,Pakaraka,Northland,12+,553,486,475,436,275,88%,86%,63%
103600,Pakaraka,Northland,5-11,77,30,14,NA,NA,39%,18%,NA
103700,Haruru,Northland,12+,"1,022",866,855,816,563,85%,84%,69%
103700,Haruru,Northland,5-11,118,46,7,NA,NA,39%,6%,NA
103800,Russell,Northland,12+,765,704,698,677,546,92%,91%,81%
103900,Paihia,Northland,12+,"1,515","1,350","1,324","1,265",864,89%,87%,68%
103900,Paihia,Northland,5-11,131,44,23,NA,NA,34%,18%,NA
104000,Mataraua Forest,Northland,12+,449,364,343,304,173,81%,76%,57%
104000,Mataraua Forest,Northland,5-11,69,18,10,NA,NA,26%,14%,NA
