Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,413",Masked,Masked,"25,520","18,246",>95%,>95%,71%
Ashburton District,5-11,"3,204","1,920",803,NA,NA,60%,25%,NA
Auckland,12+,"1,383,349",Masked,Masked,"1,260,103","883,013",>95%,>95%,70%
Auckland,5-11,"163,729","98,556","48,249",NA,NA,60%,29%,NA
Buller District,12+,"8,270","7,740","7,638","7,208","5,210",94%,92%,72%
Buller District,5-11,719,356,174,NA,NA,50%,24%,NA
Carterton District,12+,"8,257",Masked,Masked,"7,447","5,524",>95%,>95%,74%
Carterton District,5-11,834,469,204,NA,NA,56%,24%,NA
Central Hawke's Bay District,12+,"11,832",Masked,Masked,"10,864","7,740",>95%,>95%,71%
Central Hawke's Bay District,5-11,"1,482",711,281,NA,NA,48%,19%,NA
Central Otago District,12+,"19,599",Masked,Masked,"18,680","14,023",>95%,>95%,75%
Central Otago District,5-11,"1,828","1,113",514,NA,Masked,61%,28%,>95%
Chatham Islands Territory,12+,180,Masked,Masked,263,200,>95%,>95%,76%
Chatham Islands Territory,5-11,10,9,Masked,NA,NA,90%,50%,NA
Christchurch City,12+,"322,319",Masked,Masked,"303,955","225,727",>95%,>95%,74%
Christchurch City,5-11,"31,517","19,609","9,699",NA,NA,62%,31%,NA
Clutha District,12+,"14,979",Masked,"14,077","13,186","9,014",>95%,94%,68%
Clutha District,5-11,"1,658",772,291,NA,NA,47%,18%,NA
Dunedin City,12+,"110,451",Masked,Masked,"105,626","82,764",>95%,>95%,78%
Dunedin City,5-11,"9,730","6,458","3,561",NA,NA,66%,37%,NA
Far North District,12+,"56,393","50,669","49,252","45,721","29,708",90%,87%,65%
Far North District,5-11,"7,086","2,128",690,NA,NA,30%,10%,NA
Gisborne District,12+,"40,629","38,489","37,604","34,618","22,546",95%,93%,65%
Gisborne District,5-11,"5,498","2,743","1,149",NA,NA,50%,21%,NA
Gore District,12+,"10,754","9,967","9,848","9,212","6,453",93%,92%,70%
Gore District,5-11,"1,139",383,180,NA,NA,34%,16%,NA
Grey District,12+,"11,405","10,812","10,629","9,938","6,997",95%,93%,70%
Grey District,5-11,"1,238",569,286,NA,NA,46%,23%,NA
Hamilton City,12+,"137,508",Masked,Masked,"126,148","83,092",>95%,>95%,66%
Hamilton City,5-11,"17,176","9,253","3,671",NA,NA,54%,21%,NA
Hastings District,12+,"69,329",Masked,Masked,"63,722","43,153",>95%,>95%,68%
Hastings District,5-11,"8,928","4,115","1,571",NA,NA,46%,18%,NA
Hauraki District,12+,"17,315","15,841","15,544","14,584","9,828",91%,90%,67%
Hauraki District,5-11,"1,785",663,254,NA,NA,37%,14%,NA
Horowhenua District,12+,"28,779",Masked,"27,258","25,456","18,009",>95%,95%,71%
Horowhenua District,5-11,"3,100","1,407",504,NA,NA,45%,16%,NA
Hurunui District,12+,"10,812",Masked,Masked,"9,749","6,984",>95%,>95%,72%
Hurunui District,5-11,"1,176",610,301,NA,NA,52%,26%,NA
Invercargill City,12+,"45,867",Masked,"43,368","40,430","28,505",>95%,95%,71%
Invercargill City,5-11,"5,141","2,578","1,158",NA,NA,50%,23%,NA
Kaikoura District,12+,"3,473","3,202","3,167","3,000","2,223",92%,91%,74%
Kaikoura District,5-11,315,150,81,NA,NA,48%,26%,NA
Kaipara District,12+,"20,170","18,104","17,679","16,690","10,977",90%,88%,66%
Kaipara District,5-11,"2,228",738,277,NA,NA,33%,12%,NA
Kapiti Coast District,12+,"47,224",Masked,Masked,"42,504","33,241",>95%,>95%,78%
Kapiti Coast District,5-11,"4,658","2,568","1,431",NA,NA,55%,31%,NA
Kawerau District,12+,"6,115","5,513","5,323","4,859","2,897",90%,87%,60%
Kawerau District,5-11,854,211,43,NA,NA,25%,5%,NA
Lower Hutt City,12+,"90,415",Masked,Masked,"81,559","60,371",>95%,>95%,74%
Lower Hutt City,5-11,"10,443","6,609","3,247",NA,NA,63%,31%,NA
Mackenzie District,12+,"4,131","3,856","3,814","3,629","2,557",93%,92%,70%
Mackenzie District,5-11,387,188,76,NA,NA,49%,20%,NA
Manawatu District,12+,"25,552",Masked,Masked,"23,022","16,241",>95%,>95%,71%
Manawatu District,5-11,"3,183","1,686",764,NA,NA,53%,24%,NA
Marlborough District,12+,"41,124",Masked,Masked,"38,238","28,377",>95%,>95%,74%
Marlborough District,5-11,"4,156","2,274","1,082",NA,NA,55%,26%,NA
Masterton District,12+,"22,673",Masked,Masked,"20,267","14,211",>95%,>95%,70%
Masterton District,5-11,"2,400","1,155",413,NA,NA,48%,17%,NA
Matamata-Piako District,12+,"29,213",Masked,"27,617","25,866","16,680",>95%,95%,64%
Matamata-Piako District,5-11,"3,307","1,386",451,NA,NA,42%,14%,NA
Napier City,12+,"54,392",Masked,"51,531","48,146","34,021",>95%,95%,71%
Napier City,5-11,"6,159","2,948","1,137",NA,NA,48%,18%,NA
Nelson City,12+,"44,831",Masked,Masked,"40,533","29,891",>95%,>95%,74%
Nelson City,5-11,"4,453","2,674","1,096",NA,NA,60%,25%,NA
New Plymouth District,12+,"68,131",Masked,Masked,"60,689","41,647",>95%,>95%,69%
New Plymouth District,5-11,"8,373","4,012","1,859",NA,NA,48%,22%,NA
Opotiki District,12+,"7,121","6,706","6,431","5,960","3,770",94%,90%,63%
Opotiki District,5-11,967,257,70,NA,NA,27%,7%,NA
Otorohanga District,12+,"7,960","7,393","7,251","6,708","3,918",93%,91%,58%
Otorohanga District,5-11,"1,086",345,120,NA,NA,32%,11%,NA
Palmerston North City,12+,"70,520",Masked,Masked,"64,829","47,116",>95%,>95%,73%
Palmerston North City,5-11,"8,374","4,881","2,396",NA,NA,58%,29%,NA
Porirua City,12+,"47,708",Masked,Masked,"42,686","30,513",>95%,>95%,71%
Porirua City,5-11,"6,751","3,908","1,615",NA,NA,58%,24%,NA
Queenstown-Lakes District,12+,"35,833",Masked,Masked,"35,781","22,973",>95%,>95%,64%
Queenstown-Lakes District,5-11,"3,430","2,136",952,NA,NA,62%,28%,NA
Rangitikei District,12+,"12,699","11,831","11,632","10,911","7,653",93%,92%,70%
Rangitikei District,5-11,"1,491",684,265,NA,NA,46%,18%,NA
Rotorua District,12+,"58,081",Masked,"54,397","50,239","32,935",>95%,94%,66%
Rotorua District,5-11,"7,718","3,322","1,240",NA,NA,43%,16%,NA
Ruapehu District,12+,"9,936","8,839","8,578","7,962","5,080",89%,86%,64%
Ruapehu District,5-11,"1,366",412,154,NA,NA,30%,11%,NA
Selwyn District,12+,"52,972",Masked,Masked,"53,372","39,738",>95%,>95%,74%
Selwyn District,5-11,"6,904","5,032","2,640",NA,NA,73%,38%,NA
South Taranaki District,12+,"20,386",Masked,Masked,"18,743","12,124",>95%,>95%,65%
South Taranaki District,5-11,"2,692","1,194",527,NA,NA,44%,20%,NA
South Waikato District,12+,"19,628","18,116","17,705","16,395","9,841",92%,90%,60%
South Waikato District,5-11,"2,626",943,288,NA,NA,36%,11%,NA
South Wairarapa District,12+,"9,581",Masked,Masked,"8,834","6,660",>95%,>95%,75%
South Wairarapa District,5-11,997,558,240,NA,NA,56%,24%,NA
Southland District,12+,"25,064","23,374","23,046","21,419","14,404",93%,92%,67%
Southland District,5-11,"3,087","1,361",598,NA,NA,44%,19%,NA
Stratford District,12+,"7,475",Masked,"6,994","6,499","4,328",>95%,94%,67%
Stratford District,5-11,993,485,208,NA,NA,49%,21%,NA
Tararua District,12+,"15,002","13,984","13,726","12,766","8,553",93%,91%,67%
Tararua District,5-11,"1,897",774,311,NA,NA,41%,16%,NA
Tasman District,12+,"45,608",Masked,Masked,"41,058","29,256",>95%,>95%,71%
Tasman District,5-11,"4,679","2,202","1,073",NA,NA,47%,23%,NA
Taupo District,12+,"32,180","30,551","30,019","28,018","18,294",95%,93%,65%
Taupo District,5-11,"3,743","1,476",581,NA,NA,39%,16%,NA
Tauranga City,12+,"121,578",Masked,Masked,"110,493","73,007",>95%,>95%,66%
Tauranga City,5-11,"14,189","6,722","2,271",NA,NA,47%,16%,NA
Thames-Coromandel District,12+,"26,265","24,785","24,396","23,282","17,235",94%,93%,74%
Thames-Coromandel District,5-11,"2,164",862,386,NA,NA,40%,18%,NA
Timaru District,12+,"41,091",Masked,"38,715","36,318","27,027",>95%,94%,74%
Timaru District,5-11,"4,189","2,304",962,NA,NA,55%,23%,NA
Unknown,12+,"129,607","56,801","55,100","51,778","31,151",44%,43%,60%
Unknown,5-11,"11,053","2,573","1,174",NA,NA,23%,11%,NA
Upper Hutt City,12+,"36,898",Masked,Masked,"33,817","25,363",>95%,>95%,75%
Upper Hutt City,5-11,"4,264","2,864","1,411",NA,NA,67%,33%,NA
Waikato District,12+,"63,214",Masked,Masked,"56,808","36,725",>95%,>95%,65%
Waikato District,5-11,"8,689","4,336","1,642",NA,NA,50%,19%,NA
Waimakariri District,12+,"52,717",Masked,Masked,"48,336","35,211",>95%,>95%,73%
Waimakariri District,5-11,"5,436","2,952","1,565",NA,NA,54%,29%,NA
Waimate District,12+,"6,936","6,491","6,412","6,019","4,326",94%,92%,72%
Waimate District,5-11,693,302,126,NA,NA,44%,18%,NA
Waipa District,12+,"46,630",Masked,Masked,"42,047","29,082",>95%,>95%,69%
Waipa District,5-11,"5,531","2,989","1,400",NA,NA,54%,25%,NA
Wairoa District,12+,"6,303","5,963","5,752","5,316","3,519",95%,91%,66%
Wairoa District,5-11,896,283,70,NA,NA,32%,8%,NA
Waitaki District,12+,"19,318",Masked,"18,185","17,041","12,378",>95%,94%,73%
Waitaki District,5-11,"2,012","1,000",385,NA,NA,50%,19%,NA
Waitomo District,12+,"7,758","7,145","6,972","6,465","3,904",92%,90%,60%
Waitomo District,5-11,967,344,111,NA,NA,36%,11%,NA
Wellington City,12+,"178,488",Masked,Masked,"169,246","137,317",>95%,>95%,81%
Wellington City,5-11,"16,089","12,113","7,559",NA,NA,75%,47%,NA
Western Bay of Plenty District,12+,"45,656",Masked,"43,357","40,774","26,569",>95%,95%,65%
Western Bay of Plenty District,5-11,"4,861","1,912",622,NA,NA,39%,13%,NA
Westland District,12+,"7,098","6,713","6,632","6,248","4,384",95%,93%,70%
Westland District,5-11,670,302,141,NA,NA,45%,21%,NA
Whakatane District,12+,"30,314","27,267","26,595","24,638","15,737",90%,88%,64%
Whakatane District,5-11,"3,821","1,308",518,NA,NA,34%,14%,NA
Whanganui District,12+,"39,880","37,149","36,558","34,163","24,412",93%,92%,71%
Whanganui District,5-11,"4,481","1,844",858,NA,NA,41%,19%,NA
Whangarei District,12+,"78,668","73,599","72,278","67,328","46,532",94%,92%,69%
Whangarei District,5-11,"9,594","3,882","1,464",NA,NA,40%,15%,NA
