DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster Received,Population
Auckland,Asian,12-17,Female,4526,4461,"1,726",322,4302
Auckland,Asian,12-17,Male,4781,4704,"1,818",287,4464
Auckland,Asian,12-17,Unknown/Other,18,17,16,<5,7
Auckland,Asian,18-24,Female,7723,7683,"7,676","5,370",6671
Auckland,Asian,18-24,Male,7970,7898,"7,882","4,756",6297
Auckland,Asian,18-24,Unknown/Other,90,87,87,46,16
Auckland,Asian,25-29,Female,7783,7757,"7,747","5,549",8392
Auckland,Asian,25-29,Male,8942,8863,"8,852","5,461",7740
Auckland,Asian,25-29,Unknown/Other,118,116,116,70,25
Auckland,Asian,30-34,Female,9062,9015,"8,996","6,566",9316
Auckland,Asian,30-34,Male,9091,9002,"8,989","6,185",8382
Auckland,Asian,30-34,Unknown/Other,86,86,85,43,19
Auckland,Asian,35-39,Female,7785,7734,"7,718","5,778",8154
Auckland,Asian,35-39,Male,7887,7809,"7,796","5,588",7336
Auckland,Asian,35-39,Unknown/Other,63,63,63,41,14
Auckland,Asian,40-44,Female,5946,5911,"5,908","4,549",5623
Auckland,Asian,40-44,Male,5948,5878,"5,863","4,400",5231
Auckland,Asian,40-44,Unknown/Other,39,37,37,25,15
Auckland,Asian,45-49,Female,4724,4695,"4,693","3,684",4861
Auckland,Asian,45-49,Male,4358,4308,"4,302","3,368",3985
Auckland,Asian,5-11,Female,4898,2949,NA,NA,6528
Auckland,Asian,5-11,Male,4891,2908,NA,NA,6688
Auckland,Asian,50-54,Female,4447,4426,"4,413","3,552",4411
Auckland,Asian,50-54,Male,3575,3547,"3,537","2,832",3467
Auckland,Asian,55-59,Female,4020,3999,"3,993","3,239",4228
Auckland,Asian,55-59,Male,3413,3381,"3,378","2,764",3468
Auckland,Asian,60-64,Female,3295,3282,"3,274","2,746",3608
Auckland,Asian,60-64,Male,2733,2722,"2,714","2,334",2922
Auckland,Asian,60-64,Unknown/Other,5,5,5,<5,5
Auckland,Asian,65-69,Female,2864,2856,"2,854","2,387",2935
Auckland,Asian,65-69,Male,2390,2378,"2,373","2,016",2584
Auckland,Asian,70-74,Female,1857,1849,"1,847","1,614",1918
