DHB,Actual Vaccinations 21st Feb to 4th Apr 2021 (as at 13 April 2021),11-Apr,18-Apr,25-Apr,2-May,9-May,16-May,23-May,30-May,6-Jun,13-Jun,20-Jun,27-Jun,4-Jul,11-Jul,18-Jul,25-Jul,1-Aug,8-Aug,15-Aug,22-Aug,29-Aug
Auckland Metro,"41,641","15,049","16,900","19,300","21,750","26,836","30,222","33,817","42,031","45,945","49,975","51,375","52,475","50,675","50,675","55,850","63,005","68,882","74,382","79,882","82,882","85,716"
Bay of Plenty,"1,545",462,804,"1,214","2,088","2,346","3,018","2,778","4,530","5,400","6,594","6,264","6,204","6,204","6,204","6,204","9,540","12,472","13,860","15,250","15,250","15,250"
Canterbury,"5,414","1,465","3,364","3,759","3,999","6,399","6,939","7,927","9,346","9,898","10,618","10,618","10,618","10,618","10,617","10,618","17,773","24,495","31,018","33,123","37,653","37,653"
Capital & Coast and Hutt Valley,"6,988","4,298","4,728","4,318","4,298","3,978","4,008","7,126","4,599","4,560","7,299","4,869","4,056","7,299","7,299","7,299","24,729","24,729","28,491","28,491","28,491","28,491"
Hawke's Bay,"1,217",553,989,700,"3,668","3,268","4,682","3,128","3,128","3,128","3,128","4,128","4,008","3,688","3,690","3,690","6,896","13,500","13,500","13,500","13,500","12,000"
Lakes,"1,330","1,400","1,680","1,680","1,680","1,680","1,680","1,680","3,500","3,500","3,500","3,990","4,830","4,830","3,340","4,550","5,760","5,770","6,000","6,200","6,050","6,049"
MidCentral,120,126,270,690,726,"1,163","1,705","2,437","2,448","2,580","3,487","8,075","7,985","7,940","7,940","7,940","7,140","12,720","12,720","11,220","11,220","8,190"
Nelson Marlborough,"4,789","1,160","1,800","2,000","2,100","2,260","2,305","2,160","2,235","2,420","2,400","2,100","3,050","3,750","3,750","3,750","8,400","12,800","12,800","12,800","13,400","12,800"
Northland,"1,080","1,627","4,730","2,575","4,295","4,000","3,285","3,170","2,000","4,100","3,085","2,350","4,000","5,000","5,000","5,500","6,000","6,500","7,000","7,500","8,000","8,500"
South Canterbury,"1,229",864,"1,080","1,180",880,"1,275",925,600,675,"1,725","2,050","2,050","2,000","2,000","1,995","1,900","2,020","4,095","4,095","4,095","4,095","4,295"
Southern,"3,870","2,224","2,020","6,400","3,600","2,880","8,200","5,400","5,400","5,400","7,200","7,200","7,200","7,200","7,200","7,200","25,000","28,750","32,200","32,200","32,200","32,200"
Tairāwhiti,620,,585,500,534,"1,055","1,100",534,470,600,"1,045","1,100","1,600","1,600","1,440","1,440","2,250","3,600","3,600","3,584","3,600","3,600"
Taranaki,"1,268",329,400,300,600,800,800,800,800,800,800,800,800,800,"2,009","2,315","5,158","7,056","7,056","7,056","7,056","7,056"
Waikato,"5,658","2,100","3,615","4,015","4,073","4,649","4,457","4,275","4,124","5,142","6,952","6,840","10,950","11,850","11,850","11,850","15,987","23,864","25,580","26,406","32,796","33,329"
Wairarapa,0,120,390,600,900,975,975,"1,000","1,000","1,000","2,250","2,250","2,250","2,250","2,050","2,050","2,880","2,880","2,880","2,880","2,880","3,400"
West Coast,0,30,120,300,390,600,810,"1,050","1,140","1,260","1,440","1,500","1,500","1,500","1,500","1,500","1,800","2,100","2,200","2,200","2,150","2,250"
Whanganui,91,180,450,390,900,900,900,900,900,900,900,900,900,900,"1,490","1,718","3,364","4,023","3,496","5,206","5,973","5,406"
Other Sites,"7,735","1,410","2,190","2,130","1,110",,,,,,,,,,,,,,,,,
Total,"84,595","33,397","46,115","52,051","57,591","65,064","76,011","78,782","88,326","98,358","112,723","116,409","124,426","128,104","128,049","135,374","207,702","258,236","280,878","291,593","307,196","306,185"
