Ethnic group,Age group,Gender,DHB of residence,Population
Asian,0-11,Female,Auckland Metro," 39,923 "
Asian,0-11,Female,Bay of Plenty," 1,629 "
Asian,0-11,Female,Canterbury," 6,581 "
Asian,0-11,Female,Capital & Coast and Hutt Valley," 5,832 "
Asian,0-11,Female,Hawkes Bay, 858 
Asian,0-11,Female,Lakes, 759 
Asian,0-11,Female,MidCentral," 1,341 "
Asian,0-11,Female,Nelson Marlborough, 815 
Asian,0-11,Female,Northland, 683 
Asian,0-11,Female,Overseas / Unknown, 91 
Asian,0-11,Female,South Canterbury, 304 
Asian,0-11,Female,Southern," 1,885 "
Asian,0-11,Female,Tairawhiti, 137 
Asian,0-11,Female,Taranaki, 652 
Asian,0-11,Female,Waikato," 4,325 "
Asian,0-11,Female,Wairarapa, 159 
Asian,0-11,Female,West Coast, 93 
Asian,0-11,Female,Whanganui, 259 
Asian,0-11,Male,Auckland Metro," 41,784 "
Asian,0-11,Male,Bay of Plenty," 1,902 "
Asian,0-11,Male,Canterbury," 6,625 "
Asian,0-11,Male,Capital & Coast and Hutt Valley," 6,179 "
Asian,0-11,Male,Hawkes Bay, 885 
Asian,0-11,Male,Lakes, 839 
Asian,0-11,Male,MidCentral," 1,552 "
Asian,0-11,Male,Nelson Marlborough, 784 
Asian,0-11,Male,Northland, 732 
Asian,0-11,Male,Overseas / Unknown, 98 
Asian,0-11,Male,South Canterbury, 309 
Asian,0-11,Male,Southern," 2,091 "
Asian,0-11,Male,Tairawhiti, 138 
Asian,0-11,Male,Taranaki, 675 
Asian,0-11,Male,Waikato," 4,559 "
Asian,0-11,Male,Wairarapa, 166 
Asian,0-11,Male,West Coast, 116 
Asian,0-11,Male,Whanganui, 241 
Asian,0-11,Unknown/Other,Auckland Metro, 54 
Asian,0-11,Unknown/Other,Canterbury, 9 
Asian,0-11,Unknown/Other,Capital & Coast and Hutt Valley, 7 
Asian,12-15,Female,Auckland Metro," 9,507 "
Asian,12-15,Female,Bay of Plenty, 380 
Asian,12-15,Female,Canterbury," 1,488 "
Asian,12-15,Female,Capital & Coast and Hutt Valley," 1,395 "
Asian,12-15,Female,Hawkes Bay, 213 
Asian,12-15,Female,Lakes, 184 
