Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,413",Masked,Masked,"25,740","18,452",>95%,>95%,72%
Ashburton District,5-11,"3,204","1,922",903,NA,NA,60%,28%,NA
Auckland,12+,"1,383,359",Masked,Masked,"1,269,278","900,845",>95%,>95%,71%
Auckland,5-11,"163,730","99,278","55,955",NA,Masked,61%,34%,>95%
Buller District,12+,"8,270","7,766","7,659","7,310","5,241",94%,93%,72%
Buller District,5-11,719,354,181,NA,NA,49%,25%,NA
Carterton District,12+,"8,257",Masked,Masked,"7,583","5,640",>95%,>95%,74%
Carterton District,5-11,834,475,229,NA,NA,57%,27%,NA
Central Hawke's Bay District,12+,"11,832",Masked,Masked,"11,064","7,898",>95%,>95%,71%
Central Hawke's Bay District,5-11,"1,482",719,300,NA,NA,49%,20%,NA
Central Otago District,12+,"19,599",Masked,Masked,"18,863","14,202",>95%,>95%,75%
Central Otago District,5-11,"1,828","1,112",556,NA,NA,61%,30%,NA
Chatham Islands Territory,12+,180,Masked,Masked,280,211,>95%,>95%,75%
Chatham Islands Territory,5-11,10,9,Masked,NA,NA,90%,50%,NA
Christchurch City,12+,"322,319",Masked,Masked,"306,670","229,000",>95%,>95%,75%
Christchurch City,5-11,"31,517","19,694","11,144",NA,NA,62%,35%,NA
Clutha District,12+,"14,979","14,181","14,021","13,271","9,069",95%,94%,68%
Clutha District,5-11,"1,658",771,324,NA,NA,47%,20%,NA
Dunedin City,12+,"110,451",Masked,Masked,"106,053","83,586",>95%,>95%,79%
Dunedin City,5-11,"9,730","6,488","3,831",NA,NA,67%,39%,NA
Far North District,12+,"56,393","50,799","49,396","46,541","30,313",90%,88%,65%
Far North District,5-11,"7,086","2,156",805,NA,NA,30%,11%,NA
Gisborne District,12+,"40,629","38,513","37,634","35,171","23,006",95%,93%,65%
Gisborne District,5-11,"5,498","2,777","1,437",NA,NA,51%,26%,NA
Gore District,12+,"10,754","9,995","9,876","9,345","6,503",93%,92%,70%
Gore District,5-11,"1,139",387,205,NA,NA,34%,18%,NA
Grey District,12+,"11,405","10,811","10,628","10,068","7,053",95%,93%,70%
Grey District,5-11,"1,238",573,301,NA,NA,46%,24%,NA
Hamilton City,12+,"137,508",Masked,Masked,"127,403","84,818",>95%,>95%,67%
Hamilton City,5-11,"17,176","9,364","4,451",NA,NA,55%,26%,NA
Hastings District,12+,"69,329",Masked,Masked,"64,862","44,332",>95%,>95%,68%
Hastings District,5-11,"8,928","4,163","1,818",NA,NA,47%,20%,NA
Hauraki District,12+,"17,315","15,886","15,589","14,804","9,956",92%,90%,67%
Hauraki District,5-11,"1,785",680,287,NA,NA,38%,16%,NA
Horowhenua District,12+,"28,779",Masked,"27,273","25,821","18,287",>95%,95%,71%
Horowhenua District,5-11,"3,100","1,410",596,NA,NA,45%,19%,NA
Hurunui District,12+,"10,812",Masked,Masked,"9,865","7,066",>95%,>95%,72%
Hurunui District,5-11,"1,176",612,320,NA,NA,52%,27%,NA
Invercargill City,12+,"45,867",Masked,"43,334","40,902","28,773",>95%,94%,70%
Invercargill City,5-11,"5,141","2,587","1,283",NA,NA,50%,25%,NA
Kaikoura District,12+,"3,473","3,207","3,176","3,036","2,254",92%,91%,74%
Kaikoura District,5-11,315,153,88,NA,NA,49%,28%,NA
Kaipara District,12+,"20,170","18,150","17,715","16,924","11,118",90%,88%,66%
Kaipara District,5-11,"2,228",742,311,NA,NA,33%,14%,NA
Kapiti Coast District,12+,"47,224",Masked,Masked,"42,931","33,721",>95%,>95%,79%
Kapiti Coast District,5-11,"4,658","2,580","1,574",NA,NA,55%,34%,NA
Kawerau District,12+,"6,115","5,519","5,328","4,990","2,966",90%,87%,59%
Kawerau District,5-11,854,224,46,NA,NA,26%,5%,NA
Lower Hutt City,12+,"90,415",Masked,Masked,"82,266","61,345",>95%,>95%,75%
Lower Hutt City,5-11,"10,443","6,615","3,840",NA,NA,63%,37%,NA
Mackenzie District,12+,"4,131","3,878","3,834","3,649","2,585",94%,93%,71%
Mackenzie District,5-11,387,189,80,NA,NA,49%,21%,NA
Manawatu District,12+,"25,552",Masked,Masked,"23,275","16,412",>95%,>95%,71%
Manawatu District,5-11,"3,183","1,698",871,NA,NA,53%,27%,NA
Marlborough District,12+,"41,124",Masked,Masked,"38,562","28,630",>95%,>95%,74%
Marlborough District,5-11,"4,156","2,278","1,168",NA,NA,55%,28%,NA
Masterton District,12+,"22,673",Masked,Masked,"20,498","14,362",>95%,>95%,70%
Masterton District,5-11,"2,400","1,168",474,NA,NA,49%,20%,NA
Matamata-Piako District,12+,"29,213",Masked,"27,697","26,214","16,885",>95%,95%,64%
Matamata-Piako District,5-11,"3,307","1,376",516,NA,NA,42%,16%,NA
Napier City,12+,"54,392",Masked,"51,575","48,709","34,445",>95%,95%,71%
Napier City,5-11,"6,159","2,944","1,283",NA,NA,48%,21%,NA
Nelson City,12+,"44,831",Masked,Masked,"40,930","30,340",>95%,>95%,74%
Nelson City,5-11,"4,453","2,679","1,273",NA,NA,60%,29%,NA
New Plymouth District,12+,"68,131",Masked,Masked,"61,619","42,375",>95%,>95%,69%
New Plymouth District,5-11,"8,373","4,034","2,133",NA,NA,48%,25%,NA
Opotiki District,12+,"7,121","6,728","6,453","6,101","3,834",94%,91%,63%
Opotiki District,5-11,967,254,78,NA,NA,26%,8%,NA
Otorohanga District,12+,"7,960","7,398","7,255","6,794","3,980",93%,91%,59%
Otorohanga District,5-11,"1,086",345,143,NA,NA,32%,13%,NA
Palmerston North City,12+,"70,520",Masked,Masked,"65,649","47,913",>95%,>95%,73%
Palmerston North City,5-11,"8,374","4,891","2,710",NA,NA,58%,32%,NA
Porirua City,12+,"47,708",Masked,Masked,"43,162","31,086",>95%,>95%,72%
Porirua City,5-11,"6,751","3,926","1,948",NA,NA,58%,29%,NA
Queenstown-Lakes District,12+,"35,833",Masked,Masked,"37,066","23,459",>95%,>95%,63%
Queenstown-Lakes District,5-11,"3,430","2,146","1,115",NA,NA,63%,33%,NA
Rangitikei District,12+,"12,699","11,856","11,673","11,060","7,777",93%,92%,70%
Rangitikei District,5-11,"1,491",685,293,NA,NA,46%,20%,NA
Rotorua District,12+,"58,081",Masked,"54,369","50,910","33,471",>95%,94%,66%
Rotorua District,5-11,"7,718","3,325","1,434",NA,NA,43%,19%,NA
Ruapehu District,12+,"9,936","8,870","8,607","8,133","5,170",89%,87%,64%
Ruapehu District,5-11,"1,366",423,183,NA,NA,31%,13%,NA
Selwyn District,12+,"52,972",Masked,Masked,"54,245","40,562",>95%,>95%,75%
Selwyn District,5-11,"6,904","5,096","2,981",NA,NA,74%,43%,NA
South Taranaki District,12+,"20,386",Masked,Masked,"19,167","12,370",>95%,>95%,65%
South Taranaki District,5-11,"2,692","1,191",574,NA,NA,44%,21%,NA
South Waikato District,12+,"19,628","18,151","17,749","16,675","10,022",92%,90%,60%
South Waikato District,5-11,"2,626",970,376,NA,NA,37%,14%,NA
South Wairarapa District,12+,"9,581",Masked,Masked,"8,915","6,716",>95%,>95%,75%
South Wairarapa District,5-11,997,567,277,NA,NA,57%,28%,NA
