DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 Received,Eligible for booster 2,Booster 2 Received,Population
Auckland,Asian,12-17,Female,4371,4212,"1,441",335,<5,<5,4775
Auckland,Asian,12-17,Male,4601,4402,"1,491",320,<5,<5,5074
Auckland,Asian,12-17,Unknown/Other,9,8,7,<5,<5,<5,19
Auckland,Asian,18-24,Female,7354,7322,"7,315","5,134",<5,32,7976
Auckland,Asian,18-24,Male,7516,7453,"7,445","4,494",<5,28,8199
Auckland,Asian,18-24,Unknown/Other,85,84,84,43,<5,<5,92
Auckland,Asian,25-29,Female,7419,7395,"7,390","5,406",<5,41,8777
Auckland,Asian,25-29,Male,8554,8470,"8,463","5,339",<5,49,9728
Auckland,Asian,25-29,Unknown/Other,100,99,98,64,<5,<5,115
Auckland,Asian,30-34,Female,9007,8954,"8,948","6,667",<5,218,10318
Auckland,Asian,30-34,Male,9239,9145,"9,140","6,324",<5,141,10155
Auckland,Asian,30-34,Unknown/Other,92,89,89,45,<5,<5,97
Auckland,Asian,35-39,Female,7922,7880,"7,870","5,997",<5,246,8779
Auckland,Asian,35-39,Male,7936,7862,"7,856","5,743",<5,136,8684
Auckland,Asian,35-39,Unknown/Other,66,66,66,47,<5,<5,61
Auckland,Asian,40-44,Female,6295,6256,"6,253","4,855",<5,210,6554
Auckland,Asian,40-44,Male,6345,6273,"6,267","4,718",<5,124,6478
Auckland,Asian,40-44,Unknown/Other,43,41,41,27,<5,<5,40
Auckland,Asian,45-49,Female,4756,4726,"4,725","3,722",<5,161,5174
Auckland,Asian,45-49,Male,4466,4411,"4,409","3,510",<5,111,4738
Auckland,Asian,45-49,Unknown/Other,42,42,42,31,<5,<5,38
Auckland,Asian,5-11,Female,4612,3057,NA,NA,NA,NA,6673
Auckland,Asian,5-11,Male,4603,3036,NA,NA,NA,NA,6771
Auckland,Asian,50-54,Female,4562,4534,"4,529","3,680","3,484",487,4840
Auckland,Asian,50-54,Male,3728,3693,"3,690","2,987","2,783",336,3888
Auckland,Asian,50-54,Unknown/Other,28,26,26,18,16,<5,25
Auckland,Asian,55-59,Female,4029,4005,"4,000","3,284","3,090",588,4447
Auckland,Asian,55-59,Male,3360,3329,"3,328","2,738","2,589",383,3758
Auckland,Asian,55-59,Unknown/Other,11,10,10,<5,<5,<5,12
Auckland,Asian,60-64,Female,3379,3363,"3,358","2,839","2,707",644,3715
Auckland,Asian,60-64,Male,2820,2807,"2,804","2,418","2,308",499,3029
Auckland,Asian,65-69,Female,3007,3003,"2,997","2,523","2,404",846,3320
Auckland,Asian,65-69,Male,2522,2506,"2,499","2,160","2,058",771,2750
Auckland,Asian,65-69,Unknown/Other,5,5,5,<5,<5,<5,7
Auckland,Asian,70-74,Female,1989,1979,"1,976","1,742","1,676",683,2156
Auckland,Asian,70-74,Male,1841,1833,"1,830","1,627","1,565",655,2008
Auckland,Asian,75-79,Female,1212,1211,"1,210","1,079","1,023",436,1347
Auckland,Asian,75-79,Male,1059,1050,"1,049",938,908,432,1155
Auckland,Asian,80-84,Female,904,897,897,803,762,296,995
Auckland,Asian,80-84,Male,737,733,732,665,644,288,825
Auckland,Asian,85-89,Female,489,479,479,420,398,188,530
