SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,Maori,12+,"9,067","7,585","7,136","6,504","3,074","1,426",509,84%,79%,47%,36%
Unknown,Unknown,Unknown,Maori,5-11,"1,654",495,213,NA,NA,NA,NA,30%,13%,NA,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"3,288",Masked,Masked,"3,198","1,798",405,125,>95%,>95%,56%,31%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,319,142,53,NA,NA,NA,NA,45%,17%,NA,NA
100100,North Cape,Northland,Maori,12+,906,776,759,698,436,279,113,86%,84%,62%,41%
100100,North Cape,Northland,Maori,5-11,140,45,17,NA,NA,NA,NA,32%,12%,NA,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,057",885,851,796,411,266,59,84%,81%,52%,22%
100200,Rangaunu Harbour,Northland,Maori,5-11,196,33,13,NA,NA,NA,NA,17%,7%,NA,NA
100400,Karikari Peninsula,Northland,Maori,12+,556,462,449,426,235,159,49,83%,81%,55%,31%
100400,Karikari Peninsula,Northland,Maori,5-11,89,20,Masked,NA,NA,NA,NA,22%,6%,NA,NA
100500,Tangonge,Northland,Maori,12+,597,501,487,442,254,152,35,84%,82%,57%,23%
100500,Tangonge,Northland,Maori,5-11,101,22,Masked,NA,NA,NA,NA,22%,<5%,NA,NA
100600,Ahipara,Northland,Maori,12+,597,486,471,444,260,178,26,81%,79%,59%,15%
100600,Ahipara,Northland,Maori,5-11,101,34,8,NA,NA,NA,NA,34%,8%,NA,NA
100700,Kaitaia East,Northland,Maori,12+,"1,333","1,131","1,067",979,454,241,54,85%,80%,46%,22%
100700,Kaitaia East,Northland,Maori,5-11,296,83,25,NA,NA,NA,NA,28%,8%,NA,NA
