Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Ashburton District,12+,"28,959",Masked,"27,311","25,903","18,606","11,280","5,194",>95%,94%,72%,46%
Ashburton District,5-11,"3,235","1,673",857,NA,NA,NA,NA,52%,26%,NA,NA
Auckland,12+,"1,468,419","1,368,647","1,350,612","1,278,164","913,213","424,569","201,014",93%,92%,71%,47%
Auckland,5-11,"161,323","89,006","53,172",NA,Masked,NA,NA,55%,33%,>95%,NA
Buller District,12+,"8,707","7,804","7,672","7,328","5,281","3,973","1,708",90%,88%,72%,43%
Buller District,5-11,740,317,179,NA,NA,NA,NA,43%,24%,NA,NA
Carterton District,12+,"8,651","8,135","7,997","7,608","5,685","3,993","2,025",94%,92%,75%,51%
Carterton District,5-11,832,406,211,NA,NA,NA,NA,49%,25%,NA,NA
Central Hawke's Bay District,12+,"12,508",Masked,"11,709","11,109","7,942","5,249","2,274",>95%,94%,71%,43%
Central Hawke's Bay District,5-11,"1,456",635,283,NA,NA,NA,NA,44%,19%,NA,NA
Central Otago District,12+,"20,795",Masked,Masked,"19,013","14,363","9,409","4,811",>95%,>95%,76%,51%
Central Otago District,5-11,"1,816",954,499,NA,NA,NA,NA,53%,27%,NA,NA
Chatham Islands Territory,12+,276,Masked,Masked,317,232,147,31,>95%,>95%,73%,21%
Chatham Islands Territory,5-11,14,10,6,NA,NA,NA,NA,71%,43%,NA,NA
Christchurch City,12+,"343,918",Masked,"323,556","308,429","231,666","116,796","62,314",>95%,94%,75%,53%
Christchurch City,5-11,"31,208","17,551","10,569",NA,Masked,NA,NA,56%,34%,>95%,NA
Clutha District,12+,"15,517","14,162","13,936","13,229","9,032","5,914","2,350",91%,90%,68%,40%
Clutha District,5-11,"1,567",687,319,NA,Masked,NA,NA,44%,20%,>95%,NA
Dunedin City,12+,"114,950",Masked,Masked,"105,819","83,617","40,718","22,915",>95%,>95%,79%,56%
Dunedin City,5-11,"9,480","5,748","3,541",NA,NA,NA,NA,61%,37%,NA,NA
Far North District,12+,"59,649","51,036","49,461","46,972","30,657","22,067","8,591",86%,83%,65%,39%
Far North District,5-11,"7,197","1,851",780,NA,NA,NA,NA,26%,11%,NA,NA
Gisborne District,12+,"42,561","38,610","37,577","35,221","23,180","13,850","6,141",91%,88%,66%,44%
Gisborne District,5-11,"5,401","2,424","1,381",NA,NA,NA,NA,45%,26%,NA,NA
Gore District,12+,"11,003","10,011","9,854","9,373","6,497","4,308","1,623",91%,90%,69%,38%
Gore District,5-11,"1,073",321,181,NA,NA,NA,NA,30%,17%,NA,NA
Grey District,12+,"11,872","10,884","10,662","10,118","7,066","4,700","1,866",92%,90%,70%,40%
Grey District,5-11,"1,138",491,265,NA,NA,NA,NA,43%,23%,NA,NA
Hamilton City,12+,"147,441","138,043","135,627","128,223","86,205","38,865","18,383",94%,92%,67%,47%
Hamilton City,5-11,"17,497","8,346","4,347",NA,Masked,NA,NA,48%,25%,>95%,NA
Hastings District,12+,"74,221",Masked,"69,286","65,479","45,003","25,958","11,794",>95%,93%,69%,45%
Hastings District,5-11,"8,650","3,625","1,750",NA,Masked,NA,NA,42%,20%,>95%,NA
Hauraki District,12+,"18,063","15,914","15,547","14,862","10,005","7,383","3,254",88%,86%,67%,44%
Hauraki District,5-11,"1,779",571,275,NA,NA,NA,NA,32%,15%,NA,NA
Horowhenua District,12+,"30,027","27,773","27,205","25,882","18,390","13,025","6,556",92%,91%,71%,50%
Horowhenua District,5-11,"3,095","1,213",562,NA,NA,NA,NA,39%,18%,NA,NA
Hurunui District,12+,"11,490","10,585","10,417","9,921","7,076","4,685","2,074",92%,91%,71%,44%
Hurunui District,5-11,"1,158",520,282,NA,NA,NA,NA,45%,24%,NA,NA
Invercargill City,12+,"47,368","44,248","43,513","41,251","29,063","17,191","7,665",93%,92%,70%,45%
Invercargill City,5-11,"5,029","2,258","1,203",NA,NA,NA,NA,45%,24%,NA,NA
Kaikoura District,12+,"3,527","3,245","3,210","3,081","2,283","1,645",703,92%,91%,74%,43%
Kaikoura District,5-11,296,130,80,NA,NA,NA,NA,44%,27%,NA,NA
Kaipara District,12+,"21,487","18,171","17,677","16,998","11,144","8,078","2,894",85%,82%,66%,36%
Kaipara District,5-11,"2,339",638,278,NA,NA,NA,NA,27%,12%,NA,NA
Kapiti Coast District,12+,"48,847","45,983","45,437","43,272","34,005","23,004","13,700",94%,93%,79%,60%
Kapiti Coast District,5-11,"4,477","2,289","1,433",NA,NA,NA,NA,51%,32%,NA,NA
Kawerau District,12+,"6,360","5,487","5,274","4,992","2,976","2,151",870,86%,83%,60%,40%
Kawerau District,5-11,806,176,43,NA,NA,NA,NA,22%,5%,NA,NA
Lower Hutt City,12+,"94,100","88,568","87,325","82,680","61,970","30,745","16,733",94%,93%,75%,54%
Lower Hutt City,5-11,"10,256","5,897","3,648",NA,NA,NA,NA,57%,36%,NA,NA
Mackenzie District,12+,"4,339","3,882","3,829","3,665","2,601","1,556",645,89%,88%,71%,41%
Mackenzie District,5-11,379,167,72,NA,NA,NA,NA,44%,19%,NA,NA
Manawatu District,12+,"27,110","25,345","24,976","23,517","16,600","10,317","4,687",93%,92%,71%,45%
Manawatu District,5-11,"3,203","1,488",797,NA,NA,NA,NA,46%,25%,NA,NA
Marlborough District,12+,"44,461","41,374","40,783","38,954","28,817","18,511","9,285",93%,92%,74%,50%
Marlborough District,5-11,"4,100","1,948","1,029",NA,NA,NA,NA,48%,25%,NA,NA
Masterton District,12+,"23,589","22,092","21,657","20,616","14,476","9,590","4,789",94%,92%,70%,50%
Masterton District,5-11,"2,356","1,030",436,NA,NA,NA,NA,44%,19%,NA,NA
