Date,Cumulative vaccinations planned,Cumulative vaccinations administered,Cumulative stock received,Original cumulative vaccinations model
2021-02-21,0,168,65520,NA
2021-02-28,4491,6713,141570,NA
2021-03-07,14420,15619,207090,NA
2021-03-14,21715,23163,271440,NA
2021-03-21,35595,36608,325260,NA
2021-03-28,56290,56351,396630,NA
2021-04-04,84595,84935,450450,NA
2021-04-11,117992,121491,528840,NA
2021-04-18,164107,171218,607230,NA
2021-04-25,216158,226773,685620,NA
2021-05-02,273749,284935,685620,NA
2021-05-09,338813,366619,746460,NA
2021-05-16,414824,451375,807300,NA
2021-05-23,493606,535513,868140,NA
2021-05-30,581932,637611,928980,NA
2021-06-06,680290,751393,1055790,NA
2021-06-13,793013,854243,1103760,NA
2021-06-20,909422,982554,1252900,NA
2021-06-27,1033848,1115674,1302040,NA
2021-07-04,1161952,1238121,1351180,1161952
2021-07-11,1289999,1367625,1502110,1369338
2021-07-18,1425371,1503689,1682290,1576724
2021-07-25,1633071,1692998,2032290,1750577
2021-08-01,1887555,1947799,2411370,2063064
2021-08-08,2164231,2213047,2769390,2375551
2021-08-15,2451622,2513309,3157830,2654505
2021-08-22,2754616,2797889,3602430,2932955
2021-08-29,3056599,3350914,3985020,3226921
2021-09-05,NA,3904120,4630860,3520887
2021-09-12,NA,4336405,5228730,3814853
2021-09-19,NA,4721435,5729490,4348809
2021-09-26,NA,5054458,6150690,4882765
2021-10-03,NA,5353890,6577740,5416721
2021-10-10,NA,5839221,6800430,5950677
2021-10-17,NA,6351456,7101120,6484633
2021-10-24,NA,6629573,7801560,7018589
2021-10-31,NA,6874606,9396270,7552545
2021-11-07,NA,7063466,9396270,7707286
2021-11-14,NA,7220410,9648990,7862027
2021-11-21,NA,7361906,9956142,8016768
2021-11-28,NA,7499469,10096110,8016768
2021-12-05,NA,7742555,10252170,8016768
2021-12-12,NA,7882243,10292490,8016768
2021-12-19,NA,8008686,10818990,NA
2021-12-26,NA,8111196,10978290,NA
2022-01-02,NA,8190083,10978290,NA
2022-01-09,NA,8389474,11622690,NA
2022-01-16,NA,8674441,11806440,NA
2022-01-23,NA,9021129,12144690,NA
2022-01-30,NA,9430525,12334290,NA
2022-02-06,NA,9769551,12475890,NA
