DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Population,At least partially vaccinated uptake per 1000 people,Fully vaccinated uptake per 1000 people
Auckland,Asian,12-17,Female,4563,4471,4302,1061,1039
Auckland,Asian,12-17,Male,4857,4719,4464,1088,1057
Auckland,Asian,12-17,Unknown/Other,21,20,7,3000,2857
Auckland,Asian,18-24,Female,7685,7629,6671,1152,1144
Auckland,Asian,18-24,Male,7889,7817,6297,1253,1241
Auckland,Asian,18-24,Unknown/Other,97,94,16,6062,5875
Auckland,Asian,25-29,Female,7857,7815,8392,936,931
Auckland,Asian,25-29,Male,8979,8919,7740,1160,1152
Auckland,Asian,25-29,Unknown/Other,133,131,25,5320,5240
Auckland,Asian,30-34,Female,9048,8988,9316,971,965
Auckland,Asian,30-34,Male,9127,9059,8382,1089,1081
Auckland,Asian,30-34,Unknown/Other,105,105,19,5526,5526
Auckland,Asian,35-39,Female,7750,7684,8154,950,942
Auckland,Asian,35-39,Male,7814,7768,7336,1065,1059
Auckland,Asian,35-39,Unknown/Other,68,68,14,4857,4857
Auckland,Asian,40-44,Female,5852,5809,5623,1041,1033
Auckland,Asian,40-44,Male,5823,5767,5231,1113,1102
Auckland,Asian,40-44,Unknown/Other,41,39,15,2733,2600
Auckland,Asian,45-49,Female,4731,4693,4861,973,965
Auckland,Asian,45-49,Male,4290,4252,3985,1077,1067
Auckland,Asian,50-54,Female,4376,4348,4411,992,986
Auckland,Asian,50-54,Male,3509,3491,3467,1012,1007
Auckland,Asian,55-59,Female,4003,3973,4228,947,940
Auckland,Asian,55-59,Male,3400,3371,3468,980,972
Auckland,Asian,60-64,Female,3255,3231,3608,902,896
Auckland,Asian,60-64,Male,2713,2694,2922,928,922
Auckland,Asian,65-69,Female,2803,2787,2935,955,950
Auckland,Asian,65-69,Male,2338,2325,2584,905,900
Auckland,Asian,70-74,Female,1852,1839,1918,966,959
Auckland,Asian,70-74,Male,1742,1728,1743,999,991
Auckland,Asian,75-79,Female,1132,1122,1240,913,905
Auckland,Asian,75-79,Male,983,970,1080,910,898
Auckland,Asian,80-84,Female,870,858,943,923,910
Auckland,Asian,80-84,Male,724,721,819,884,880
Auckland,Asian,85-89,Female,442,429,441,1002,973
Auckland,Asian,85-89,Male,450,442,420,1071,1052
Auckland,Asian,90+,Female,202,199,179,1128,1112
Auckland,Asian,90+,Male,126,124,126,1000,984
Auckland,European or Other,12-17,Female,7138,7010,7315,976,958
Auckland,European or Other,12-17,Male,7328,7189,7448,984,965
Auckland,European or Other,12-17,Unknown/Other,7,7,8,875,875
Auckland,European or Other,18-24,Female,10602,10534,11536,919,913
Auckland,European or Other,18-24,Male,9957,9874,10369,960,952
Auckland,European or Other,18-24,Unknown/Other,44,43,38,1158,1132
Auckland,European or Other,25-29,Female,10399,10329,11855,877,871
Auckland,European or Other,25-29,Male,10413,10311,10769,967,957
Auckland,European or Other,25-29,Unknown/Other,46,46,23,2000,2000
Auckland,European or Other,30-34,Female,9580,9511,10714,894,888
Auckland,European or Other,30-34,Male,10401,10292,10361,1004,993
Auckland,European or Other,30-34,Unknown/Other,43,43,22,1955,1955
Auckland,European or Other,35-39,Female,7654,7591,8521,898,891
Auckland,European or Other,35-39,Male,8283,8203,8574,966,957
Auckland,European or Other,35-39,Unknown/Other,15,14,15,1000,933
Auckland,European or Other,40-44,Female,7115,7067,8032,886,880
Auckland,European or Other,40-44,Male,7457,7399,8027,929,922
Auckland,European or Other,45-49,Female,7868,7820,8961,878,873
Auckland,European or Other,45-49,Male,8011,7944,8951,895,887
