Vaccine,Dose number,Number of doses administered,Ethnic group
Pfizer BioNTech COVID-19,1,273778,Pacific Peoples
Pfizer BioNTech COVID-19,Third primary,357,Unknown
AstraZeneca,1,45,Unknown
AstraZeneca,Third primary,6,Pacific Peoples
Pfizer BioNTech COVID-19,2,12,European or other
Pfizer BioNTech COVID-19,1,512843,Maori
Pfizer BioNTech COVID-19,Boosters,79096,Pacific Peoples
Pfizer BioNTech COVID-19,Boosters,229375,Asian
Pfizer BioNTech COVID-19,2,33443,Unknown
AstraZeneca,2,2218,European or other
AstraZeneca,Boosters,630,European or other
AstraZeneca,2,213,Pacific Peoples
Pfizer BioNTech COVID-19,2,488037,Maori
Pfizer BioNTech COVID-19,Boosters,133957,Maori
AstraZeneca,2,254,Maori
AstraZeneca,Boosters,98,Asian
Pfizer BioNTech COVID-19,1,2553842,European or other
Pfizer BioNTech COVID-19,Boosters,1206621,European or other
AstraZeneca,1,345,Maori
AstraZeneca,1,2441,European or other
Pfizer BioNTech COVID-19,2,267264,Pacific Peoples
AstraZeneca,2,184,Asian
AstraZeneca,1,94,Pacific Peoples
AstraZeneca,Boosters,54,Unknown
Pfizer BioNTech COVID-19,2,2519356,European or other
Pfizer BioNTech COVID-19,Third primary,3463,Asian
AstraZeneca,1,205,Asian
Pfizer BioNTech COVID-19,Third primary,2951,Maori
AstraZeneca,Boosters,56,Maori
AstraZeneca,Boosters,50,Pacific Peoples
Pfizer BioNTech COVID-19,2,623775,Asian
Pfizer BioNTech COVID-19,1,629158,Asian
Pfizer BioNTech COVID-19,Third primary,30850,European or other
AstraZeneca,2,78,Unknown
Pfizer BioNTech COVID-19,Boosters,15620,Unknown
Pfizer BioNTech COVID-19,1,33990,Unknown
Pfizer BioNTech COVID-19,Third primary,1746,Pacific Peoples
AstraZeneca,Third primary,27,European or other
