SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,Maori,"10,907",Masked,"9,787",5608,"2,423",>95%,90%,43%
Unknown,Unknown,Unknown,Pacific Peoples,"2,716",Masked,Masked,2700,969,>95%,>95%,36%
100100,North Cape,Northland,Maori,849,768,743,532,268,90%,88%,50%
100200,Rangaunu Harbour,Northland,Maori,"1,013",850,801,479,197,84%,79%,41%
100400,Karikari Peninsula,Northland,Maori,523,431,399,236,124,82%,76%,53%
100500,Tangonge,Northland,Maori,543,471,453,302,123,87%,83%,41%
100600,Ahipara,Northland,Maori,586,492,468,295,146,84%,80%,49%
100700,Kaitaia East,Northland,Maori,"1,304","1,109","1,015",472,180,85%,78%,38%
100700,Kaitaia East,Northland,Pacific Peoples,52,Masked,Masked,30,14,>95%,>95%,47%
100800,Kaitaia West,Northland,Maori,"1,865","1,626","1,476",705,262,87%,79%,37%
100800,Kaitaia West,Northland,Pacific Peoples,103,95,92,57,17,92%,89%,30%
100900,Rangitihi,Northland,Maori,388,319,298,156,60,82%,77%,38%
101000,Oruru-Parapara,Northland,Maori,310,244,229,123,48,79%,74%,39%
101100,Taumarumaru,Northland,Maori,575,510,474,289,151,89%,82%,52%
101200,Herekino-Takahue,Northland,Maori,419,339,322,178,77,81%,77%,43%
101300,Peria,Northland,Maori,346,270,245,131,55,78%,71%,42%
101400,Taemaro-Oruaiti,Northland,Maori,299,230,209,127,67,77%,70%,53%
101500,Whakapaku,Northland,Maori,265,211,196,122,58,80%,74%,48%
101600,Hokianga North,Northland,Maori,639,540,507,373,138,85%,79%,37%
101700,Kohukohu-Broadwood,Northland,Maori,366,290,275,180,101,79%,75%,56%
101800,Whakarara,Northland,Maori,530,465,443,306,150,88%,84%,49%
101900,Kaeo,Northland,Maori,457,359,328,216,99,79%,72%,46%
102000,Omahuta Forest-Horeke,Northland,Maori,635,463,423,247,120,73%,67%,49%
102100,Hokianga South,Northland,Maori,706,534,488,292,150,76%,69%,51%
102200,Lake Manuwai-Kapiro,Northland,Maori,252,208,191,108,61,83%,76%,56%
102300,Okaihau,Northland,Maori,302,257,242,142,66,85%,80%,46%
102400,Rangitane-Purerua,Northland,Maori,342,303,280,177,81,89%,82%,46%
102500,Waipapa,Northland,Maori,123,106,101,59,28,86%,82%,47%
102600,Puketotara,Northland,Maori,231,201,196,123,50,87%,85%,41%
102700,Waima Forest,Northland,Maori,759,575,538,289,132,76%,71%,46%
102800,Riverview,Northland,Maori,217,Masked,198,120,62,>95%,91%,52%
102900,Waipoua Forest,Northland,Maori,622,495,460,287,136,80%,74%,47%
103000,Kerikeri Central,Northland,Maori,456,397,377,197,74,87%,83%,38%
103000,Kerikeri Central,Northland,Pacific Peoples,56,Masked,Masked,65,10,>95%,>95%,15%
103100,Kerikeri South,Northland,Maori,231,203,191,114,53,88%,83%,46%
103200,Ohaeawai-Waimate North,Northland,Maori,410,349,329,208,86,85%,80%,41%
103300,Puketona-Waitangi,Northland,Maori,263,228,225,159,63,87%,86%,40%
103400,Ngapuhi,Northland,Maori,940,759,714,397,181,81%,76%,46%
103500,Kaikohe,Northland,Maori,"2,760","2,198","2,016",1099,447,80%,73%,41%
103500,Kaikohe,Northland,Pacific Peoples,102,90,80,51,19,88%,78%,37%
