Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Ashburton District,12+,"28,959",Masked,"27,286","25,908","18,596","11,322","5,485",>95%,94%,72%,48%
Ashburton District,5-11,"3,235","1,657",860,NA,NA,NA,NA,51%,27%,NA,NA
Auckland,12+,"1,468,419","1,371,376","1,352,798","1,281,226","916,290","429,191","213,429",93%,92%,72%,50%
Auckland,5-11,"161,323","87,709","52,675",NA,Masked,NA,NA,54%,33%,>95%,NA
Buller District,12+,"8,707","7,823","7,687","7,340","5,284","3,996","1,727",90%,88%,72%,43%
Buller District,5-11,740,306,171,NA,NA,NA,NA,41%,23%,NA,NA
Carterton District,12+,"8,651","8,134","7,989","7,608","5,677","4,013","2,115",94%,92%,75%,53%
Carterton District,5-11,832,396,209,NA,NA,NA,NA,48%,25%,NA,NA
Central Hawke's Bay District,12+,"12,508",Masked,"11,727","11,141","7,944","5,278","2,400",>95%,94%,71%,45%
Central Hawke's Bay District,5-11,"1,456",630,285,NA,NA,NA,NA,43%,20%,NA,NA
Central Otago District,12+,"20,795",Masked,Masked,"19,066","14,401","9,462","5,017",>95%,>95%,76%,53%
Central Otago District,5-11,"1,816",934,489,NA,NA,NA,NA,51%,27%,NA,NA
Chatham Islands Territory,12+,276,Masked,Masked,332,246,161,39,>95%,>95%,74%,24%
Chatham Islands Territory,5-11,14,12,6,NA,NA,NA,NA,86%,43%,NA,NA
Christchurch City,12+,"343,918",Masked,"323,530","308,599","231,931","117,492","65,456",>95%,94%,75%,56%
Christchurch City,5-11,"31,208","17,274","10,477",NA,Masked,NA,NA,55%,34%,>95%,NA
Clutha District,12+,"15,517","14,182","13,949","13,259","9,038","5,940","2,442",91%,90%,68%,41%
Clutha District,5-11,"1,567",679,317,NA,NA,NA,NA,43%,20%,NA,NA
Dunedin City,12+,"114,950",Masked,Masked,"105,232","83,195","40,871","23,911",>95%,>95%,79%,59%
