SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,Maori,12+,"8,291",0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
Unknown,Unknown,Unknown,Maori,5-11,"1,539",0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"3,085",0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
Unknown,Unknown,Unknown,Pacific Peoples,5-11,305,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
100100,North Cape,Northland,Maori,12+,900,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
100100,North Cape,Northland,Maori,5-11,140,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,060",0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
100200,Rangaunu Harbour,Northland,Maori,5-11,198,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
100400,Karikari Peninsula,Northland,Maori,12+,559,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
100400,Karikari Peninsula,Northland,Maori,5-11,91,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
100500,Tangonge,Northland,Maori,12+,614,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
100500,Tangonge,Northland,Maori,5-11,100,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
100600,Ahipara,Northland,Maori,12+,585,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
100600,Ahipara,Northland,Maori,5-11,101,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
100700,Kaitaia East,Northland,Maori,12+,"1,326",0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
100700,Kaitaia East,Northland,Maori,5-11,299,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
100700,Kaitaia East,Northland,Pacific Peoples,12+,57,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
100800,Kaitaia West,Northland,Maori,12+,"1,927",0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
100800,Kaitaia West,Northland,Maori,5-11,365,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
100800,Kaitaia West,Northland,Pacific Peoples,12+,107,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
100900,Rangitihi,Northland,Maori,12+,414,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
100900,Rangitihi,Northland,Maori,5-11,62,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
101000,Oruru-Parapara,Northland,Maori,12+,312,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
101000,Oruru-Parapara,Northland,Maori,5-11,64,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
101100,Taumarumaru,Northland,Maori,12+,596,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
101100,Taumarumaru,Northland,Maori,5-11,130,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
101200,Herekino-Takahue,Northland,Maori,12+,461,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
