SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,12+,"61,127",Masked,Masked,"71,839","46,034","38,885","11,959",>95%,>95%,64%,31%
Unknown,Unknown,Unknown,5-11,"5,882","3,777","1,998",NA,NA,NA,NA,64%,34%,NA,NA
100100,North Cape,Northland,12+,"1,654","1,364","1,342","1,271",827,764,271,82%,81%,65%,35%
100100,North Cape,Northland,5-11,175,55,23,NA,NA,NA,NA,31%,13%,NA,NA
100200,Rangaunu Harbour,Northland,12+,"2,050","1,643","1,591","1,516",871,797,195,80%,78%,57%,24%
100200,Rangaunu Harbour,Northland,5-11,249,49,20,NA,NA,NA,NA,20%,8%,NA,NA
100400,Karikari Peninsula,Northland,12+,"1,407","1,163","1,143","1,106",752,718,202,83%,81%,68%,28%
100400,Karikari Peninsula,Northland,5-11,135,31,8,NA,NA,NA,NA,23%,6%,NA,NA
100500,Tangonge,Northland,12+,"1,050",853,830,777,475,419,108,81%,79%,61%,26%
100500,Tangonge,Northland,5-11,122,32,10,NA,NA,NA,NA,26%,8%,NA,NA
100600,Ahipara,Northland,12+,"1,094",869,848,808,513,485,95,79%,78%,63%,20%
100600,Ahipara,Northland,5-11,143,55,19,NA,NA,NA,NA,38%,13%,NA,NA
100700,Kaitaia East,Northland,12+,"2,016","1,668","1,594","1,505",855,759,159,83%,79%,57%,21%
100700,Kaitaia East,Northland,5-11,337,99,35,NA,NA,NA,NA,29%,10%,NA,NA
100800,Kaitaia West,Northland,12+,"2,951","2,458","2,353","2,213","1,243","1,129",273,83%,80%,56%,24%
100800,Kaitaia West,Northland,5-11,425,122,57,NA,NA,NA,NA,29%,13%,NA,NA
100900,Rangitihi,Northland,12+,864,698,685,648,379,339,76,81%,79%,58%,22%
100900,Rangitihi,Northland,5-11,92,19,7,NA,NA,NA,NA,21%,8%,NA,NA
101000,Oruru-Parapara,Northland,12+,844,629,608,585,346,326,84,75%,72%,59%,26%
101000,Oruru-Parapara,Northland,5-11,99,25,9,NA,NA,NA,NA,25%,9%,NA,NA
101100,Taumarumaru,Northland,12+,"2,306","1,957","1,922","1,863","1,348","1,294",491,85%,83%,72%,38%
101100,Taumarumaru,Northland,5-11,209,72,29,NA,NA,NA,NA,34%,14%,NA,NA
101200,Herekino-Takahue,Northland,12+,955,700,676,637,374,349,79,73%,71%,59%,23%
101200,Herekino-Takahue,Northland,5-11,105,26,Masked,NA,NA,NA,NA,25%,<5%,NA,NA
101300,Peria,Northland,12+,"1,062",730,712,688,423,394,81,69%,67%,61%,21%
101300,Peria,Northland,5-11,134,23,12,NA,NA,NA,NA,17%,9%,NA,NA
101400,Taemaro-Oruaiti,Northland,12+,919,718,697,670,444,423,144,78%,76%,66%,34%
101400,Taemaro-Oruaiti,Northland,5-11,90,33,10,NA,NA,NA,NA,37%,11%,NA,NA
101500,Whakapaku,Northland,12+,688,499,481,463,298,288,101,73%,70%,64%,35%
101500,Whakapaku,Northland,5-11,87,33,14,NA,NA,NA,NA,38%,16%,NA,NA
101600,Hokianga North,Northland,12+,821,661,641,601,399,378,87,81%,78%,66%,23%
101600,Hokianga North,Northland,5-11,119,36,15,NA,NA,NA,NA,30%,13%,NA,NA
101700,Kohukohu-Broadwood,Northland,12+,722,556,544,525,348,333,139,77%,75%,66%,42%
101700,Kohukohu-Broadwood,Northland,5-11,64,20,7,NA,NA,NA,NA,31%,11%,NA,NA
101800,Whakarara,Northland,12+,"1,170",934,911,883,607,571,227,80%,78%,69%,40%
101800,Whakarara,Northland,5-11,120,54,29,NA,NA,NA,NA,45%,24%,NA,NA
101900,Kaeo,Northland,12+,"1,107",825,796,770,475,448,162,75%,72%,62%,36%
101900,Kaeo,Northland,5-11,142,46,18,NA,NA,NA,NA,32%,13%,NA,NA
102000,Omahuta Forest-Horeke,Northland,12+,"1,015",714,679,647,378,350,102,70%,67%,58%,29%
102000,Omahuta Forest-Horeke,Northland,5-11,153,21,12,NA,NA,NA,NA,14%,8%,NA,NA
102100,Hokianga South,Northland,12+,"1,195",880,851,816,555,525,193,74%,71%,68%,37%
102100,Hokianga South,Northland,5-11,125,35,17,NA,NA,NA,NA,28%,14%,NA,NA
102200,Lake Manuwai-Kapiro,Northland,12+,"2,138","1,797","1,763","1,674","1,122","1,046",316,84%,82%,67%,30%
102200,Lake Manuwai-Kapiro,Northland,5-11,219,88,49,NA,NA,NA,NA,40%,22%,NA,NA
102300,Okaihau,Northland,12+,"1,104",900,881,837,511,466,120,82%,80%,61%,26%
102300,Okaihau,Northland,5-11,118,30,12,NA,NA,NA,NA,25%,10%,NA,NA
102400,Rangitane-Purerua,Northland,12+,"1,389","1,156","1,121","1,066",732,692,247,83%,81%,69%,36%
102400,Rangitane-Purerua,Northland,5-11,145,46,27,NA,NA,NA,NA,32%,19%,NA,NA
102500,Waipapa,Northland,12+,791,663,644,622,407,373,125,84%,81%,65%,34%
102500,Waipapa,Northland,5-11,100,38,17,NA,NA,NA,NA,38%,17%,NA,NA
102600,Puketotara,Northland,12+,"1,723","1,434","1,402","1,337",930,871,237,83%,81%,70%,27%
102600,Puketotara,Northland,5-11,173,79,28,NA,NA,NA,NA,46%,16%,NA,NA
102700,Waima Forest,Northland,12+,992,739,714,679,361,332,66,74%,72%,53%,20%
102700,Waima Forest,Northland,5-11,139,22,6,NA,NA,NA,NA,16%,<5%,NA,NA
102800,Riverview,Northland,12+,"2,153","1,954","1,927","1,846","1,424","1,349",568,91%,90%,77%,42%
102800,Riverview,Northland,5-11,208,111,58,NA,NA,NA,NA,53%,28%,NA,NA
102900,Waipoua Forest,Northland,12+,"1,177",875,850,831,573,545,186,74%,72%,69%,34%
102900,Waipoua Forest,Northland,5-11,134,21,9,NA,NA,NA,NA,16%,7%,NA,NA
103000,Kerikeri Central,Northland,12+,"2,504","2,145","2,116","2,038","1,447","1,339",599,86%,85%,71%,45%
