DHB,,To 4 April,11-Apr,18-Apr,25-Apr,2-May,9-May,16-May,23-May,30-May,6-Jun,13-Jun,20-Jun,27-Jun,4-Jul,11-Jul,18-Jul,25-Jul,1-Aug,8-Aug,15-Aug,22-Aug,29-Aug,Cumulative
Auckland Metro,Plan,"41,641","15,049","16,900","19,300","21,750","26,836","30,222","33,817","42,031","45,945","49,975","51,375","52,475","50,675","50,675","55,850","63,005","68,882","74,382","79,882","82,882",85716,1059265
Auckland Metro,Actual,"41,748","15,067","16,433","17,268","19,489","26,819","26,159","27,791","34,226","39,473","38,804","49,774","54,808","49,403","51,569","61,288","69,567","91,375","82,671","95,905","79,873",159236,1148746
Auckland Metro,Variance,107,18,-467,"-2,032","-2,261",-17,"-4,063","-6,026","-7,805","-6,472","-11,171","-1,601","2,333","-1,272",894,"5,438","6,562","22,493","8,289","16,023","-3,009",73520,89481
Bay of Plenty,Plan,"1,545",462,804,"1,214","2,088","2,346","3,018","2,778","4,530","5,400","6,594","6,264","6,204","6,204","6,204","6,204","9,540","12,472","13,860","15,250","15,250",15250,143481
Bay of Plenty,Actual,"1,544",838,"1,288","2,057","2,535","4,714","4,594","5,275","7,418","7,498","6,216","7,514","7,747","6,083","6,177","5,928","8,021","9,610","9,985","13,314","11,262",19477,149095
Bay of Plenty,Variance,-1,376,484,843,447,"2,368","1,576","2,497","2,888","2,098",-378,"1,250","1,543",-121,-27,-276,"-1,519","-2,862","-3,875","-1,936","-3,988",4227,5614
Canterbury,Plan,"5,414","1,465","3,364","3,759","3,999","6,399","6,939","7,927","9,346","9,898","10,618","10,618","10,618","10,618","10,617","10,618","17,773","24,495","31,018","33,123","37,653",37653,303932
Canterbury,Actual,"5,431","1,488","6,072","7,133","5,932","7,085","8,916","8,708","8,721","6,703","6,824","9,423","10,416","9,688","10,801","10,957","19,941","24,135","28,540","32,671","32,478",60627,322690
Canterbury,Variance,17,23,"2,708","3,374","1,933",686,"1,977",781,-625,"-3,195","-3,794","-1,195",-202,-930,184,339,"2,168",-360,"-2,478",-452,"-5,175",22974,18758
Capital & Coast and Hutt Valley,Plan,"6,988","4,298","4,728","4,318","4,298","3,978","4,008","7,126","4,599","4,560","7,299","4,869","4,056","7,299","7,297","7,297","24,729","24,729","28,491","28,491","28,491",28491,250440
Capital & Coast and Hutt Valley,Actual,"7,005","4,436","4,790","5,081","5,813","8,600","7,848","4,746","6,526","6,977","5,164","6,006","5,267","5,305","6,867","6,336","14,401","23,831","28,681","33,807","32,763",67174,297424
Capital & Coast and Hutt Valley,Variance,17,138,62,763,"1,515","4,622","3,840","-2,380","1,927","2,417","-2,135","1,137","1,211","-1,994",-430,-961,"-10,328",-898,190,"5,316","4,272",38683,46984
Hawke's Bay,Plan,"1,217",553,989,700,"3,668","3,268","4,682","3,128","3,128","3,128","3,128","4,128","4,008","3,688","3,690","3,690","6,896","13,500","13,500","13,500","13,500",12000,119689
