DHB of residence,Ethnic group,Age group,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people,,,,,,,,,,,,,,,
Auckland Metro,Asian,12-15,"5,569",0,"19,805",281,0,,,,,,,,,,,,,,,
Auckland Metro,Asian,16-19,"8,935","2,725","17,516",510,156,,,,,,,,,,,,,,,
Auckland Metro,Asian,20-24,"15,003","6,567","26,285",571,250,,,,,,,,,,,,,,,
Auckland Metro,Asian,25-29,"24,851","11,398","43,435",572,262,,,,,,,,,,,,,,,
Auckland Metro,Asian,30-34,"32,511","14,849","52,106",624,285,,,,,,,,,,,,,,,
Auckland Metro,Asian,35-39,"32,182","14,592","49,367",652,296,,,,,,,,,,,,,,,
Auckland Metro,Asian,40-44,"25,570","12,030","34,079",750,353,,,,,,,,,,,,,,,
Auckland Metro,Asian,45-49,"20,021","10,086","27,402",731,368,,,,,,,,,,,,,,,
Auckland Metro,Asian,50-54,"18,545","9,854","24,026",772,410,,,,,,,,,,,,,,,
Auckland Metro,Asian,55-59,"17,968","10,387","22,937",783,453,,,,,,,,,,,,,,,
Auckland Metro,Asian,60-64,"16,004","10,747","21,174",756,508,,,,,,,,,,,,,,,
Auckland Metro,Asian,65+,"34,530","27,493","43,208",799,636,,,,,,,,,,,,,,,
Auckland Metro,European or Other,12-15,"8,757",0,"36,710",239,0,,,,,,,,,,,,,,,
Auckland Metro,European or Other,16-19,"11,001","2,498","34,875",315,72,,,,,,,,,,,,,,,
Auckland Metro,European or Other,20-24,"15,927","6,837","48,529",328,141,,,,,,,,,,,,,,,
Auckland Metro,European or Other,25-29,"19,432","8,925","56,797",342,157,,,,,,,,,,,,,,,
Auckland Metro,European or Other,30-34,"20,907","8,480","55,928",374,152,,,,,,,,,,,,,,,
Auckland Metro,European or Other,35-39,"20,700","8,085","52,548",394,154,,,,,,,,,,,,,,,
Auckland Metro,European or Other,40-44,"23,041","9,060","52,014",443,174,,,,,,,,,,,,,,,
Auckland Metro,European or Other,45-49,"28,601","11,966","60,002",477,199,,,,,,,,,,,,,,,
