DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 Received,Eligible for booster 2,Booster 2 Received,Population
Auckland,Asian,12-17,Female,4360,4200,"1,433",333,<5,<5,4775
Auckland,Asian,12-17,Male,4604,4400,"1,494",320,<5,<5,5074
Auckland,Asian,12-17,Unknown/Other,9,8,7,<5,<5,<5,19
Auckland,Asian,18-24,Female,7358,7325,"7,318","5,133",<5,33,7976
Auckland,Asian,18-24,Male,7494,7431,"7,424","4,476",<5,29,8199
Auckland,Asian,18-24,Unknown/Other,85,84,84,43,<5,<5,92
Auckland,Asian,25-29,Female,7430,7406,"7,402","5,426",<5,43,8777
Auckland,Asian,25-29,Male,8530,8447,"8,441","5,336",<5,50,9728
Auckland,Asian,25-29,Unknown/Other,98,97,97,63,<5,<5,115
Auckland,Asian,30-34,Female,8999,8947,"8,943","6,666",<5,223,10318
Auckland,Asian,30-34,Male,9236,9141,"9,136","6,321",<5,149,10155
Auckland,Asian,30-34,Unknown/Other,95,92,92,47,<5,<5,97
Auckland,Asian,35-39,Female,7917,7874,"7,866","5,995",<5,251,8779
Auckland,Asian,35-39,Male,7932,7859,"7,853","5,736",<5,144,8684
Auckland,Asian,35-39,Unknown/Other,64,64,64,46,<5,<5,61
Auckland,Asian,40-44,Female,6313,6274,"6,271","4,874",<5,214,6554
Auckland,Asian,40-44,Male,6345,6273,"6,269","4,722",<5,127,6478
Auckland,Asian,40-44,Unknown/Other,43,41,41,27,<5,<5,40
Auckland,Asian,45-49,Female,4770,4739,"4,738","3,728",<5,164,5174
Auckland,Asian,45-49,Male,4463,4406,"4,404","3,509",<5,116,4738
Auckland,Asian,45-49,Unknown/Other,42,42,42,31,<5,<5,38
Auckland,Asian,5-11,Female,4606,3054,NA,NA,NA,NA,6673
Auckland,Asian,5-11,Male,4587,3042,NA,NA,NA,NA,6771
Auckland,Asian,50-54,Female,4561,4533,"4,529","3,685","3,501",500,4840
Auckland,Asian,50-54,Male,3736,3701,"3,699","2,997","2,808",347,3888
Auckland,Asian,50-54,Unknown/Other,29,27,26,19,17,<5,25
Auckland,Asian,55-59,Female,4026,4002,"3,997","3,286","3,111",600,4447
