Date,First doses,Second doses,Third primary doses,Boosters
2021-02-14,1,0,0,0
2021-02-15,1,0,0,0
2021-02-17,1,0,0,0
2021-02-18,1,0,0,0
2021-02-19,29,0,0,0
2021-02-20,65,0,0,0
2021-02-21,69,1,0,0
2021-02-22,447,0,0,0
2021-02-23,357,0,0,0
2021-02-24,813,0,0,0
2021-02-25,1100,0,0,0
2021-02-26,1604,0,0,0
2021-02-27,1338,0,0,0
2021-02-28,885,0,0,0
2021-03-01,1408,0,0,0
2021-03-02,1484,0,0,0
2021-03-03,1980,0,0,0
2021-03-04,1633,0,0,0
2021-03-05,1279,1,0,0
2021-03-06,603,1,0,0
2021-03-07,511,0,0,0
2021-03-08,1073,0,0,0
2021-03-09,1424,0,0,0
2021-03-10,1315,0,0,0
2021-03-11,1334,0,0,0
2021-03-12,1043,6,0,0
2021-03-13,751,6,0,0
2021-03-14,577,14,0,0
2021-03-15,1614,267,0,0
2021-03-16,1928,233,0,0
2021-03-17,1644,365,0,0
2021-03-18,1594,474,0,0
2021-03-19,1692,773,0,0
2021-03-20,556,716,0,0
2021-03-21,943,646,0,0
2021-03-22,1036,1218,0,0
2021-03-23,1589,1107,0,0
2021-03-24,1969,1586,2,0
2021-03-25,1821,1535,0,0
2021-03-26,3377,1291,0,0
2021-03-27,1160,873,0,0
2021-03-28,685,491,0,0
2021-03-29,3808,1129,0,0
2021-03-30,4165,1503,0,0
2021-03-31,5453,1347,0,0
2021-04-01,5202,1253,0,0
2021-04-02,1725,295,0,0
2021-04-03,1413,335,0,0
2021-04-04,761,196,0,0
2021-04-05,922,291,0,0
2021-04-06,3521,1442,0,0
2021-04-07,5123,2149,0,0
2021-04-08,6466,1766,0,0
2021-04-09,5424,1934,0,0
2021-04-10,3268,692,0,0
2021-04-11,2480,1081,0,0
2021-04-12,6046,1724,0,0
2021-04-13,6811,1628,1,0
2021-04-14,6632,1524,0,0
2021-04-15,6891,1844,0,0
2021-04-16,6867,2636,0,0
2021-04-17,3893,1158,0,0
2021-04-18,1480,592,0,0
2021-04-19,5095,2037,0,0
2021-04-20,6097,2987,0,0
2021-04-21,6757,3431,0,0
2021-04-22,6540,3882,0,0
2021-04-23,8148,3547,0,0
2021-04-24,3275,1382,0,0
2021-04-25,1472,909,0,0
2021-04-26,1389,863,0,0
2021-04-27,6800,3212,0,0
