Vaccine,Dose number,Ethnic group,Number of doses administered
Pfizer BioNTech COVID-19,1,Pacific Peoples,264781
Pfizer BioNTech COVID-19,Third primary,Unknown,163
AstraZeneca,1,Unknown,41
Pfizer BioNTech COVID-19,1,Maori,484636
Pfizer BioNTech COVID-19,Boosters,Pacific Peoples,5555
Pfizer BioNTech COVID-19,2,Unknown,36196
AstraZeneca,Boosters,European or other,55
AstraZeneca,2,European or other,136
AstraZeneca,2,Pacific Peoples,11
Pfizer BioNTech COVID-19,Boosters,Asian,18362
Pfizer BioNTech COVID-19,2,Maori,415735
Pfizer BioNTech COVID-19,Boosters,Maori,10497
AstraZeneca,Boosters,Asian,15
AstraZeneca,2,Maori,13
Pfizer BioNTech COVID-19,1,European or other,2521343
Pfizer BioNTech COVID-19,Boosters,European or other,86138
AstraZeneca,1,European or other,1294
AstraZeneca,1,Maori,147
Pfizer BioNTech COVID-19,2,Pacific Peoples,243342
AstraZeneca,1,Pacific Peoples,33
AstraZeneca,2,Asian,6
Pfizer BioNTech COVID-19,2,European or other,2409340
Pfizer BioNTech COVID-19,Third primary,Asian,1370
Pfizer BioNTech COVID-19,Third primary,Maori,1370
AstraZeneca,1,Asian,122
AstraZeneca,Boosters,Maori,5
Pfizer BioNTech COVID-19,2,Asian,605442
Pfizer BioNTech COVID-19,1,Asian,622685
Pfizer BioNTech COVID-19,Third primary,European or other,14885
AstraZeneca,2,Unknown,8
Pfizer BioNTech COVID-19,1,Unknown,40802
Pfizer BioNTech COVID-19,Boosters,Unknown,2840
Pfizer BioNTech COVID-19,Third primary,Pacific Peoples,560
AstraZeneca,Third primary,European or other,12
