SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,12+,"59,716",Masked,Masked,"55,702","35,907",>95%,>95%,64%
Unknown,Unknown,Unknown,5-11,"5,497","2,719",768,NA,NA,49%,14%,NA
100100,North Cape,Northland,12+,"1,590","1,378","1,349","1,157",800,87%,85%,69%
100100,North Cape,Northland,5-11,199,48,Masked,NA,NA,24%,<5%,NA
100200,Rangaunu Harbour,Northland,12+,"1,930","1,629","1,571","1,332",810,84%,81%,61%
100200,Rangaunu Harbour,Northland,5-11,266,58,7,NA,NA,22%,<5%,NA
100400,Karikari Peninsula,Northland,12+,"1,335","1,140","1,116",977,698,85%,84%,71%
100400,Karikari Peninsula,Northland,5-11,133,32,Masked,NA,NA,24%,<5%,NA
100500,Tangonge,Northland,12+,969,846,828,696,460,87%,85%,66%
100500,Tangonge,Northland,5-11,121,30,Masked,NA,NA,25%,<5%,NA
100600,Ahipara,Northland,12+,"1,052",899,872,766,500,85%,83%,65%
100600,Ahipara,Northland,5-11,150,54,6,NA,NA,36%,<5%,NA
100700,Kaitaia East,Northland,12+,"2,012","1,760","1,679","1,378",786,87%,83%,57%
100700,Kaitaia East,Northland,5-11,328,91,9,NA,NA,28%,<5%,NA
100800,Kaitaia West,Northland,12+,"2,958","2,578","2,461","1,984","1,157",87%,83%,58%
100800,Kaitaia West,Northland,5-11,496,109,20,NA,NA,22%,<5%,NA
100900,Rangitihi,Northland,12+,810,681,665,560,343,84%,82%,61%
100900,Rangitihi,Northland,5-11,89,16,Masked,NA,NA,18%,<5%,NA
101000,Oruru-Parapara,Northland,12+,815,660,637,555,343,81%,78%,62%
101000,Oruru-Parapara,Northland,5-11,105,28,Masked,NA,NA,27%,<5%,NA
101100,Taumarumaru,Northland,12+,"2,244","2,010","1,962","1,790","1,331",90%,87%,74%
101100,Taumarumaru,Northland,5-11,216,65,9,NA,NA,30%,<5%,NA
101200,Herekino-Takahue,Northland,12+,865,687,664,557,346,79%,77%,62%
101200,Herekino-Takahue,Northland,5-11,109,23,Masked,NA,NA,21%,<5%,NA
101300,Peria,Northland,12+,"1,025",754,727,624,405,74%,71%,65%
101300,Peria,Northland,5-11,128,21,6,NA,NA,16%,<5%,NA
101400,Taemaro-Oruaiti,Northland,12+,859,709,687,601,414,83%,80%,69%
101400,Taemaro-Oruaiti,Northland,5-11,108,44,Masked,NA,NA,41%,<5%,NA
101500,Whakapaku,Northland,12+,663,519,499,435,296,78%,75%,68%
101500,Whakapaku,Northland,5-11,86,29,Masked,NA,NA,34%,<5%,NA
101600,Hokianga North,Northland,12+,773,641,621,530,365,83%,80%,69%
101600,Hokianga North,Northland,5-11,127,30,Masked,NA,NA,24%,<5%,NA
101700,Kohukohu-Broadwood,Northland,12+,688,578,565,488,360,84%,82%,74%
101700,Kohukohu-Broadwood,Northland,5-11,65,15,Masked,NA,NA,23%,<5%,NA
101800,Whakarara,Northland,12+,"1,098",943,917,817,588,86%,84%,72%
101800,Whakarara,Northland,5-11,116,49,Masked,NA,NA,42%,<5%,NA
101900,Kaeo,Northland,12+,"1,067",842,808,696,461,79%,76%,66%
101900,Kaeo,Northland,5-11,145,43,Masked,NA,NA,30%,<5%,NA
102000,Omahuta Forest-Horeke,Northland,12+,970,737,702,579,368,76%,72%,64%
102000,Omahuta Forest-Horeke,Northland,5-11,156,16,Masked,NA,NA,10%,<5%,NA
102100,Hokianga South,Northland,12+,"1,162",880,841,716,503,76%,72%,70%
102100,Hokianga South,Northland,5-11,128,30,Masked,NA,NA,23%,<5%,NA
102200,Lake Manuwai-Kapiro,Northland,12+,"1,979","1,806","1,777","1,562","1,086",91%,90%,70%
102200,Lake Manuwai-Kapiro,Northland,5-11,202,86,16,NA,NA,43%,8%,NA
102300,Okaihau,Northland,12+,"1,017",878,858,744,466,86%,84%,63%
102300,Okaihau,Northland,5-11,119,35,Masked,NA,NA,29%,<5%,NA
102400,Rangitane-Purerua,Northland,12+,"1,279","1,136","1,100",971,679,89%,86%,70%
102400,Rangitane-Purerua,Northland,5-11,150,39,11,NA,NA,26%,7%,NA
102500,Waipapa,Northland,12+,714,639,622,546,372,89%,87%,68%
102500,Waipapa,Northland,5-11,96,39,8,NA,NA,41%,8%,NA
102600,Puketotara,Northland,12+,"1,618","1,441","1,410","1,253",872,89%,87%,70%
102600,Puketotara,Northland,5-11,169,67,9,NA,NA,40%,5%,NA
102700,Waima Forest,Northland,12+,965,748,719,595,340,78%,75%,57%
102700,Waima Forest,Northland,5-11,135,19,Masked,NA,NA,14%,<5%,NA
102800,Riverview,Northland,12+,"1,950",Masked,"1,827","1,627","1,282",>95%,94%,79%
102800,Riverview,Northland,5-11,204,101,17,NA,NA,50%,8%,NA
102900,Waipoua Forest,Northland,12+,"1,136",874,845,752,521,77%,74%,69%
102900,Waipoua Forest,Northland,5-11,111,15,Masked,NA,NA,14%,<5%,NA
103000,Kerikeri Central,Northland,12+,"2,353","2,186","2,150","1,925","1,384",93%,91%,72%
103000,Kerikeri Central,Northland,5-11,230,91,14,NA,NA,40%,6%,NA
103100,Kerikeri South,Northland,12+,"2,487","2,302","2,271","2,056","1,593",93%,91%,77%
103100,Kerikeri South,Northland,5-11,218,103,15,NA,NA,47%,7%,NA
103200,Ohaeawai-Waimate North,Northland,12+,"1,064",926,896,797,538,87%,84%,68%
103200,Ohaeawai-Waimate North,Northland,5-11,115,30,Masked,NA,NA,26%,<5%,NA
103300,Puketona-Waitangi,Northland,12+,"1,262","1,108","1,095",994,721,88%,87%,73%
103300,Puketona-Waitangi,Northland,5-11,118,41,6,NA,NA,35%,5%,NA
103400,Ngapuhi,Northland,12+,"1,248","1,047",998,815,485,84%,80%,60%
103400,Ngapuhi,Northland,5-11,186,29,6,NA,NA,16%,<5%,NA
103500,Kaikohe,Northland,12+,"3,575","2,979","2,839","2,265","1,371",83%,79%,61%
103500,Kaikohe,Northland,5-11,666,174,20,NA,NA,26%,<5%,NA
103600,Pakaraka,Northland,12+,544,480,468,411,267,88%,86%,65%
103600,Pakaraka,Northland,5-11,76,29,Masked,NA,NA,38%,7%,NA
103700,Haruru,Northland,12+,"1,018",864,852,783,544,85%,84%,69%
103700,Haruru,Northland,5-11,122,45,Masked,NA,NA,37%,<5%,NA
103800,Russell,Northland,12+,761,698,693,659,534,92%,91%,81%
103900,Paihia,Northland,12+,"1,518","1,353","1,327","1,208",844,89%,87%,70%
103900,Paihia,Northland,5-11,130,42,9,NA,NA,32%,7%,NA
104000,Mataraua Forest,Northland,12+,444,359,340,286,161,81%,77%,56%
