SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,Maori,12+,"9,720","8,088","7,622","6,883","3,233","1,463",452,83%,78%,47%,31%
Unknown,Unknown,Unknown,Maori,5-11,"1,798",536,223,NA,NA,NA,NA,30%,12%,NA,NA
Unknown,Unknown,Unknown,Pacific Peoples,12+,"3,455",Masked,Masked,"3,329","1,862",428,102,>95%,>95%,56%,24%
Unknown,Unknown,Unknown,Pacific Peoples,5-11,340,150,55,NA,NA,NA,NA,44%,16%,NA,NA
100100,North Cape,Northland,Maori,12+,914,784,767,701,431,275,99,86%,84%,61%,36%
100100,North Cape,Northland,Maori,5-11,142,44,16,NA,NA,NA,NA,31%,11%,NA,NA
100200,Rangaunu Harbour,Northland,Maori,12+,"1,049",883,849,790,404,253,46,84%,81%,51%,18%
100200,Rangaunu Harbour,Northland,Maori,5-11,191,34,14,NA,NA,NA,NA,18%,7%,NA,NA
100400,Karikari Peninsula,Northland,Maori,12+,554,462,448,423,233,161,39,83%,81%,55%,24%
100400,Karikari Peninsula,Northland,Maori,5-11,88,20,Masked,NA,NA,NA,NA,23%,6%,NA,NA
100500,Tangonge,Northland,Maori,12+,602,507,494,449,259,153,28,84%,82%,58%,18%
100500,Tangonge,Northland,Maori,5-11,98,20,Masked,NA,NA,NA,NA,20%,<5%,NA,NA
100600,Ahipara,Northland,Maori,12+,600,491,476,449,263,174,23,82%,79%,59%,13%
100600,Ahipara,Northland,Maori,5-11,107,36,9,NA,NA,NA,NA,34%,8%,NA,NA
100700,Kaitaia East,Northland,Maori,12+,"1,329","1,133","1,068",970,458,234,52,85%,80%,47%,22%
100700,Kaitaia East,Northland,Maori,5-11,296,83,24,NA,NA,NA,NA,28%,8%,NA,NA
