Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Ashburton District,12+,"28,959",Masked,"27,312","25,867","18,558","11,144","4,185",>95%,94%,72%,38%
Ashburton District,5-11,"3,235","1,714",854,NA,NA,NA,NA,53%,26%,NA,NA
Auckland,12+,"1,468,419","1,365,532","1,348,479","1,273,875","909,037","415,937","167,793",93%,92%,71%,40%
Auckland,5-11,"161,323","91,300","53,553",NA,Masked,NA,NA,57%,33%,>95%,NA
Buller District,12+,"8,707","7,778","7,651","7,304","5,264","3,905","1,430",89%,88%,72%,37%
Buller District,5-11,740,325,178,NA,NA,NA,NA,44%,24%,NA,NA
Carterton District,12+,"8,651","8,143","8,008","7,593","5,683","3,967","1,714",94%,93%,75%,43%
Carterton District,5-11,832,423,213,NA,NA,NA,NA,51%,26%,NA,NA
Central Hawke's Bay District,12+,"12,508",Masked,"11,726","11,100","7,934","5,178","1,889",>95%,94%,71%,36%
Central Hawke's Bay District,5-11,"1,456",649,284,NA,NA,NA,NA,45%,20%,NA,NA
Central Otago District,12+,"20,795",Masked,Masked,"18,934","14,293","9,239","4,082",>95%,>95%,75%,44%
Central Otago District,5-11,"1,816",991,520,NA,NA,NA,NA,55%,29%,NA,NA
Chatham Islands Territory,12+,276,Masked,Masked,302,226,143,29,>95%,>95%,75%,20%
Chatham Islands Territory,5-11,14,10,Masked,NA,NA,NA,NA,71%,36%,NA,NA
Christchurch City,12+,"343,918",Masked,"323,326","307,772","230,959","114,904","50,938",>95%,94%,75%,44%
Christchurch City,5-11,"31,208","18,030","10,706",NA,Masked,NA,NA,58%,34%,>95%,NA
Clutha District,12+,"15,517","14,174","13,966","13,251","9,067","5,866","2,000",91%,90%,68%,34%
Clutha District,5-11,"1,567",715,325,NA,NA,NA,NA,46%,21%,NA,NA
Dunedin City,12+,"114,950",Masked,Masked,"106,353","83,989","40,237","18,978",>95%,>95%,79%,47%
Dunedin City,5-11,"9,480","5,894","3,610",NA,NA,NA,NA,62%,38%,NA,NA
Far North District,12+,"59,649","50,925","49,377","46,763","30,544","21,631","7,517",85%,83%,65%,35%
Far North District,5-11,"7,197","1,916",786,NA,NA,NA,NA,27%,11%,NA,NA
Gisborne District,12+,"42,561","38,583","37,577","35,159","23,175","13,613","5,157",91%,88%,66%,38%
Gisborne District,5-11,"5,401","2,520","1,412",NA,NA,NA,NA,47%,26%,NA,NA
Gore District,12+,"11,003","10,005","9,860","9,350","6,500","4,258","1,377",91%,90%,70%,32%
Gore District,5-11,"1,073",344,191,NA,NA,NA,NA,32%,18%,NA,NA
Grey District,12+,"11,872","10,883","10,661","10,103","7,068","4,627","1,626",92%,90%,70%,35%
Grey District,5-11,"1,138",509,274,NA,NA,NA,NA,45%,24%,NA,NA
Hamilton City,12+,"147,441","137,713","135,401","127,784","85,819","38,184","15,523",93%,92%,67%,41%
Hamilton City,5-11,"17,497","8,531","4,361",NA,NA,NA,NA,49%,25%,NA,NA
Hastings District,12+,"74,221","70,488","69,149","65,118","44,769","25,532","9,144",95%,93%,69%,36%
Hastings District,5-11,"8,650","3,758","1,766",NA,NA,NA,NA,43%,20%,NA,NA
Hauraki District,12+,"18,063","15,914","15,557","14,822","10,024","7,249","2,723",88%,86%,68%,38%
Hauraki District,5-11,"1,779",589,277,NA,NA,NA,NA,33%,16%,NA,NA
Horowhenua District,12+,"30,027","27,757","27,224","25,834","18,332","12,826","5,785",92%,91%,71%,45%
Horowhenua District,5-11,"3,095","1,248",565,NA,NA,NA,NA,40%,18%,NA,NA
Hurunui District,12+,"11,490","10,548","10,379","9,860","7,076","4,626","1,746",92%,90%,72%,38%
Hurunui District,5-11,"1,158",535,284,NA,NA,NA,NA,46%,25%,NA,NA
Invercargill City,12+,"47,368","44,238","43,533","41,190","29,071","17,014","6,529",93%,92%,71%,38%
Invercargill City,5-11,"5,029","2,328","1,216",NA,NA,NA,NA,46%,24%,NA,NA
Kaikoura District,12+,"3,527","3,221","3,187","3,058","2,263","1,610",618,91%,90%,74%,38%
Kaikoura District,5-11,296,133,78,NA,NA,NA,NA,45%,26%,NA,NA
Kaipara District,12+,"21,487","18,172","17,692","16,981","11,159","7,933","2,519",85%,82%,66%,32%
Kaipara District,5-11,"2,339",655,282,NA,NA,NA,NA,28%,12%,NA,NA
Kapiti Coast District,12+,"48,847","45,889","45,372","43,127","33,914","22,722","11,726",94%,93%,79%,52%
Kapiti Coast District,5-11,"4,477","2,354","1,456",NA,NA,NA,NA,53%,33%,NA,NA
Kawerau District,12+,"6,360","5,488","5,277","4,973","2,973","2,117",807,86%,83%,60%,38%
Kawerau District,5-11,806,183,45,NA,NA,NA,NA,23%,6%,NA,NA
Lower Hutt City,12+,"94,100","88,372","87,190","82,410","61,697","30,316","13,676",94%,93%,75%,45%
Lower Hutt City,5-11,"10,256","6,059","3,701",NA,NA,NA,NA,59%,36%,NA,NA
Mackenzie District,12+,"4,339","3,876","3,824","3,646","2,591","1,535",563,89%,88%,71%,37%
Mackenzie District,5-11,379,169,74,NA,NA,NA,NA,45%,20%,NA,NA
Manawatu District,12+,"27,110","25,313","24,959","23,437","16,552","10,137","4,049",93%,92%,71%,40%
Manawatu District,5-11,"3,203","1,526",813,NA,NA,NA,NA,48%,25%,NA,NA
Marlborough District,12+,"44,461","41,325","40,761","38,888","28,782","18,327","7,993",93%,92%,74%,44%
Marlborough District,5-11,"4,100","2,015","1,067",NA,NA,NA,NA,49%,26%,NA,NA
Masterton District,12+,"23,589","22,088","21,672","20,572","14,424","9,475","3,922",94%,92%,70%,41%
Masterton District,5-11,"2,356","1,054",437,NA,NA,NA,NA,45%,19%,NA,NA
Matamata-Piako District,12+,"30,444","28,214","27,706","26,296","16,956","11,237","4,079",93%,91%,64%,36%
Matamata-Piako District,5-11,"3,427","1,244",506,NA,NA,NA,NA,36%,15%,NA,NA
Napier City,12+,"56,989","52,518","51,627","48,834","34,653","21,678","8,552",92%,91%,71%,39%
Napier City,5-11,"5,980","2,675","1,233",NA,NA,NA,NA,45%,21%,NA,NA
Nelson City,12+,"47,440","43,923","43,270","41,106","30,566","18,588","8,445",93%,91%,74%,45%
Nelson City,5-11,"4,405","2,407","1,210",NA,NA,NA,NA,55%,27%,NA,NA
New Plymouth District,12+,"71,868","66,710","65,661","61,940","42,680","26,150","9,751",93%,91%,69%,37%
New Plymouth District,5-11,"8,328","3,637","2,034",NA,NA,NA,NA,44%,24%,NA,NA
Opotiki District,12+,"7,637","6,791","6,507","6,179","3,894","2,705",907,89%,85%,63%,34%
Opotiki District,5-11,987,233,82,NA,NA,NA,NA,24%,8%,NA,NA
Otorohanga District,12+,"8,310","7,384","7,219","6,781","3,984","2,533",842,89%,87%,59%,33%
Otorohanga District,5-11,"1,097",301,123,NA,NA,NA,NA,27%,11%,NA,NA
Palmerston North City,12+,"74,774","70,598","69,710","65,754","48,159","23,725","10,880",94%,93%,73%,46%
Palmerston North City,5-11,"8,389","4,453","2,567",NA,NA,NA,NA,53%,31%,NA,NA
Porirua City,12+,"50,123","46,990","46,266","43,268","31,362","15,545","6,907",94%,92%,72%,44%
Porirua City,5-11,"6,610","3,603","1,901",NA,NA,NA,NA,55%,29%,NA,NA
Queenstown-Lakes District,12+,"42,457","39,850","39,186","37,543","23,913","10,159","3,784",94%,92%,64%,37%
Queenstown-Lakes District,5-11,"3,481","1,938","1,083",NA,NA,NA,NA,56%,31%,NA,NA
Rangitikei District,12+,"13,122","11,880","11,671","11,071","7,792","5,033","1,879",91%,89%,70%,37%
Rangitikei District,5-11,"1,496",630,270,NA,NA,NA,NA,42%,18%,NA,NA
Rotorua District,12+,"61,354","55,532","54,270","51,011","33,640","19,327","7,563",91%,88%,66%,39%
Rotorua District,5-11,"7,635","2,993","1,372",NA,NA,NA,NA,39%,18%,NA,NA
Ruapehu District,12+,"10,400","8,913","8,627","8,183","5,207","3,418","1,234",86%,83%,64%,36%
Ruapehu District,5-11,"1,369",377,183,NA,NA,NA,NA,28%,13%,NA,NA
Selwyn District,12+,"59,127",Masked,Masked,"54,885","41,102","20,666","7,827",>95%,>95%,75%,38%
Selwyn District,5-11,"7,241","4,723","2,894",NA,NA,NA,NA,65%,40%,NA,NA
South Taranaki District,12+,"21,826",Masked,"20,415","19,244","12,414","7,903","2,596",>95%,94%,65%,33%
South Taranaki District,5-11,"2,758","1,041",524,NA,NA,NA,NA,38%,19%,NA,NA
South Waikato District,12+,"20,420","18,173","17,705","16,692","10,120","6,575","2,411",89%,87%,61%,37%
South Waikato District,5-11,"2,641",858,367,NA,NA,NA,NA,32%,14%,NA,NA
South Wairarapa District,12+,"10,074","9,544","9,396","8,938","6,742","4,440","1,965",95%,93%,75%,44%
South Wairarapa District,5-11,975,520,265,NA,NA,NA,NA,53%,27%,NA,NA
Southland District,12+,"25,968","23,418","23,032","21,740","14,608","8,860","2,691",90%,89%,67%,30%
Southland District,5-11,"2,981","1,229",619,NA,NA,NA,NA,41%,21%,NA,NA
Stratford District,12+,"7,772","7,235","7,097","6,699","4,414","2,847",968,93%,91%,66%,34%
Stratford District,5-11,960,425,215,NA,NA,NA,NA,44%,22%,NA,NA
Tararua District,12+,"15,623","13,989","13,682","12,907","8,701","5,750","2,008",90%,88%,67%,35%
Tararua District,5-11,"1,887",702,336,NA,NA,NA,NA,37%,18%,NA,NA
Tasman District,12+,"49,220","44,989","44,208","42,083","30,079","20,166","8,400",91%,90%,71%,42%
Tasman District,5-11,"4,677","1,982","1,091",NA,NA,NA,NA,42%,23%,NA,NA
Taupo District,12+,"33,772","30,733","30,127","28,566","18,713","12,410","4,942",91%,89%,66%,40%
Taupo District,5-11,"3,743","1,326",619,NA,Masked,NA,NA,35%,17%,>95%,NA
Tauranga City,12+,"131,025","120,346","118,279","112,185","74,892","44,568","18,157",92%,90%,67%,41%
Tauranga City,5-11,"14,283","6,106","2,683",NA,NA,NA,NA,43%,19%,NA,NA
Thames-Coromandel District,12+,"27,454","24,818","24,406","23,508","17,443","13,506","5,640",90%,89%,74%,42%
Thames-Coromandel District,5-11,"2,163",787,405,NA,NA,NA,NA,36%,19%,NA,NA
Timaru District,12+,"42,396","39,189","38,683","36,677","27,304","17,691","6,748",92%,91%,74%,38%
Timaru District,5-11,"4,148","2,080",978,NA,NA,NA,NA,50%,24%,NA,NA
Unknown,12+,"129,781","51,455","49,664","46,790","28,052","12,793","4,646",40%,38%,60%,36%
Unknown,5-11,"9,527","2,514","1,321",NA,NA,NA,NA,26%,14%,NA,NA
Upper Hutt City,12+,"38,409",Masked,"36,437","34,372","26,029","13,830","6,334",>95%,95%,76%,46%
Upper Hutt City,5-11,"4,202","2,626","1,570",NA,NA,NA,NA,62%,37%,NA,NA
Waikato District,12+,"67,392","63,157","62,030","58,067","37,971","21,498","7,327",94%,92%,65%,34%
Waikato District,5-11,"8,729","3,971","1,876",NA,NA,NA,NA,45%,21%,NA,NA
Waimakariri District,12+,"55,522","52,567","51,983","49,270","35,950","23,240","9,323",95%,94%,73%,40%
Waimakariri District,5-11,"5,443","2,693","1,578",NA,NA,NA,NA,49%,29%,NA,NA
Waimate District,12+,"7,173","6,453","6,356","6,054","4,320","2,932","1,006",90%,89%,71%,34%
Waimate District,5-11,667,265,124,NA,NA,NA,NA,40%,19%,NA,NA
Waipa District,12+,"48,972","46,082","45,476","42,725","29,811","18,021","7,014",94%,93%,70%,39%
Waipa District,5-11,"5,522","2,702","1,451",NA,NA,NA,NA,49%,26%,NA,NA
Wairoa District,12+,"6,748","5,990","5,771","5,448","3,632","2,377","1,062",89%,86%,67%,45%
Wairoa District,5-11,876,253,81,NA,NA,NA,NA,29%,9%,NA,NA
Waitaki District,12+,"19,993","18,445","18,166","17,201","12,531","8,343","3,034",92%,91%,73%,36%
Waitaki District,5-11,"1,935",908,401,NA,NA,NA,NA,47%,21%,NA,NA
Waitomo District,12+,"8,061","7,218","7,009","6,452","3,990","2,579",661,90%,87%,62%,26%
Waitomo District,5-11,937,312,132,NA,NA,NA,NA,33%,14%,NA,NA
Wellington City,12+,"188,336",Masked,Masked,"170,419","139,757","54,397","27,759",>95%,>95%,82%,51%
Wellington City,5-11,"15,438","11,181","8,205",NA,NA,NA,NA,72%,53%,NA,NA
Western Bay of Plenty District,12+,"49,737","44,328","43,479","41,411","27,301","18,536","6,926",89%,87%,66%,37%
Western Bay of Plenty District,5-11,"4,834","1,718",712,NA,NA,NA,NA,36%,15%,NA,NA
Westland District,12+,"7,310","6,737","6,639","6,337","4,423","2,917",917,92%,91%,70%,31%
Westland District,5-11,670,262,134,NA,NA,NA,NA,39%,20%,NA,NA
Whakatane District,12+,"31,208","27,411","26,665","25,251","16,167","10,809","3,783",88%,85%,64%,35%
Whakatane District,5-11,"3,832","1,185",567,NA,NA,NA,NA,31%,15%,NA,NA
Whanganui District,12+,"41,305","37,136","36,466","34,559","24,782","16,215","7,191",90%,88%,72%,44%
Whanganui District,5-11,"4,457","1,666",884,NA,NA,NA,NA,37%,20%,NA,NA
Whangarei District,12+,"83,037","74,028","72,449","68,531","47,735","30,496","11,751",89%,87%,70%,39%
Whangarei District,5-11,"9,559","3,517","1,549",NA,NA,NA,NA,37%,16%,NA,NA
