"sa2_code","sa2_name","dhb","booster_count","eligible_booster_pop","booster_uptake"
"Unknown","Unknown","Unknown","37108","56503","657"
"100100","North Cape","Northland","783","1137","689"
"100200","Rangaunu Harbour","Northland","794","1294","614"
"100300","Inlets Far North District","Northland","masked","6","833"
"100400","Karikari Peninsula","Northland","682","948","719"
"100500","Tangonge","Northland","451","686","657"
"100600","Ahipara","Northland","492","735","669"
"100700","Kaitaia East","Northland","754","1311","575"
"100800","Kaitaia West","Northland","1119","1885","594"
"100900","Rangitihi","Northland","324","535","606"
"101000","Oruru-Parapara","Northland","339","526","644"
"101100","Taumarumaru","Northland","1304","1754","743"
"101200","Herekino-Takahue","Northland","332","533","623"
"101300","Peria","Northland","396","600","660"
"101400","Taemaro-Oruaiti","Northland","402","580","693"
"101500","Whakapaku","Northland","288","424","679"
"101600","Hokianga North","Northland","359","516","696"
"101700","Kohukohu-Broadwood","Northland","354","473","748"
"101800","Whakarara","Northland","570","795","717"
"101900","Kaeo","Northland","454","661","687"
"102000","Omahuta Forest-Horeke","Northland","352","559","630"
"102100","Hokianga South","Northland","497","699","711"
"102200","Lake Manuwai-Kapiro","Northland","1049","1524","688"
"102300","?kaihau","Northland","459","720","638"
"102400","Rangitane-Purerua","Northland","657","941","698"
"102500","Waipapa","Northland","363","530","685"
"102600","Puketotara","Northland","843","1211","696"
"102700","Waim? Forest","Northland","332","560","593"
"102800","Riverview","Northland","1265","1605","788"
"102900","Waipoua Forest","Northland","509","725","702"
"103000","Kerikeri Central","Northland","1351","1884","717"
"103100","Kerikeri South","Northland","1561","2028","770"
"103200","?haeawai-Waimate North","Northland","526","776","678"
"103300","Puketona-Waitangi","Northland","705","966","730"
"103400","Ngapuhi","Northland","472","778","607"
"103500","Kaikohe","Northland","1336","2176","614"
"103600","Pakaraka","Northland","259","401","646"
"103700","Haruru","Northland","535","768","697"
"103800","Russell","Northland","531","652","814"
"103900","Paihia","Northland","827","1177","703"
"104000","Mataraua Forest","Northland","155","280","554"
"104100","Matawaia-Taumarere","Northland","496","763","650"
"104200","Russell Peninsula","Northland","401","495","810"
"104300","Opua (Far North District)","Northland","754","991","761"
"104400","Russell Forest-Rawhiti","Northland","324","461","703"
"104500","Moerewa","Northland","499","832","600"
"104600","Kawakawa","Northland","526","811","649"
"104700","Maromaku","Northland","219","357","613"
"104800","Mangakahia-H?kerenui","Northland","639","1055","606"
"104900","Whangaruru","Northland","1016","1564","650"
"105100","Matarau","Northland","1508","2059","732"
"105200","Hikurangi","Northland","496","825","601"
"105300","Kauri","Northland","877","1149","763"
"105400","Maungatapere","Northland","1692","2274","744"
"105500","Kamo West","Northland","1123","1483","757"
"105600","Matapouri-Tutukaka","Northland","965","1282","753"
"105700","Kiripaka","Northland","459","642","715"
"105800","Kamo East","Northland","1180","1798","656"
"105900","Granfield Reserve","Northland","1856","2306","805"
"106000","Kamo Central","Northland","760","1073","708"
"106100","Whau Valley","Northland","1455","1933","753"
