sa2_code,sa2_name,dhb,booster_count,eligible_booster_pop,booster_uptake
Unknown,NA,NA,27675,46407,596
100100,North Cape,Northland,831,1282,648
100200,Rangaunu Harbour,Northland,864,1486,581
100300,Inlets Far North District,Northland,Masked,Masked,Masked
100400,Karikari Peninsula,Northland,740,1106,669
100500,Tangonge,Northland,493,778,634
100600,Ahipara,Northland,534,824,648
100700,Kaitaia East,Northland,854,1533,557
100800,Kaitaia West,Northland,1265,2229,568
100900,Rangitihi,Northland,371,631,588
101000,Oruru-Parapara,Northland,363,606,599
101100,Taumarumaru,Northland,1355,1874,723
101200,Herekino-Takahue,Northland,379,627,604
101300,Peria,Northland,423,683,619
101400,Taemaro-Oruaiti,Northland,426,663,643
101500,Whakapaku,Northland,312,471,662
101600,Hokianga North,Northland,398,593,671
101700,Kohukohu-Broadwood,Northland,364,531,685
101800,Whakarara,Northland,627,888,706
101900,Kaeo,Northland,492,773,636
102000,Omahuta Forest-Horeke,Northland,390,656,595
102100,Hokianga South,Northland,555,826,672
102200,Lake Manuwai-Kapiro,Northland,1137,1692,672
102300,?kaihau,Northland,488,821,594
102400,Rangitane-Purerua,Northland,727,1054,690
102500,Waipapa,Northland,406,617,658
102600,Puketotara,Northland,929,1344,691
102700,Waim? Forest,Northland,375,696,539
102800,Riverview,Northland,1366,1755,778
102900,Waipoua Forest,Northland,554,815,680
103000,Kerikeri Central,Northland,1464,2053,713
103100,Kerikeri South,Northland,1681,2220,757
103200,?haeawai-Waimate North,Northland,569,853,667
103300,Puketona-Waitangi,Northland,763,1071,712
103400,Ngapuhi,Northland,514,948,542
103500,Kaikohe,Northland,1425,2603,547
103600,Pakaraka,Northland,274,444,617
103700,Haruru,Northland,588,833,706
103800,Russell,Northland,555,692,802
103900,Paihia,Northland,881,1288,684
104000,Mataraua Forest,Northland,181,314,576
104100,Matawaia-Taumarere,Northland,519,923,562
104200,Russell Peninsula,Northland,427,525,813
104300,Opua (Far North District),Northland,783,1023,765
104400,Russell Forest-Rawhiti,Northland,348,511,681
104500,Moerewa,Northland,528,987,535
104600,Kawakawa,Northland,554,952,582
104700,Maromaku,Northland,241,419,575
104800,Mangakahia-H?kerenui,Northland,687,1220,563
104900,Whangaruru,Northland,1138,1797,633
105100,Matarau,Northland,1608,2287,703
105200,Hikurangi,Northland,543,948,573
105300,Kauri,Northland,948,1291,734
105400,Maungatapere,Northland,1792,2499,717
105500,Kamo West,Northland,1181,1657,713
105600,Matapouri-Tutukaka,Northland,997,1352,737
105700,Kiripaka,Northland,494,722,684
105800,Kamo East,Northland,1292,2067,625
105900,Granfield Reserve,Northland,1946,2497,779
106000,Kamo Central,Northland,818,1220,670
106100,Whau Valley,Northland,1552,2138,726
106200,Tikipunga North,Northland,1759,2496,705
106300,Pukenui,Northland,1340,1752,765
106400,Otangarei,Northland,641,1246,514
106500,Tikipunga South,Northland,1831,2725,672
106600,Kensington (Whangarei District),Northland,1899,2619,725
106700,Abbey Caves-Glenbervie,Northland,733,1040,705
106800,Mairtown,Northland,1462,1931,757
106900,Maunu-Horahora,Northland,1923,2541,757
107000,Woodhill-Vinetown,Northland,1459,2136,683
107100,Whang?rei Central,Northland,596,858,695
107200,Riverside,Northland,1140,1619,704
107300,Raumanga,Northland,1168,2128,549
107400,Tarewa,Northland,670,1193,562
107500,Morningside (Whangarei District),Northland,1025,1657,619
107600,Ngunguru,Northland,681,889,766
107700,Otaika-Portland,Northland,631,944,668
107800,Oakleigh-Mangapai,Northland,1136,1658,685
107900,Port-Limeburners,Northland,92,155,594
108000,Pataua,Northland,781,1194,654
108100,Onerahi Park,Northland,929,1215,765
108200,Sherwood Rise,Northland,1145,1696,675
108300,Onerahi,Northland,1140,1676,680
108400,Inlet Whang?rei Harbour,Northland,Masked,Masked,Masked
108500,Parua Bay,Northland,1539,1962,784
108600,Bream Bay,Northland,1057,1574,672
108700,Marsden Bay,Northland,1694,2170,781
108800,Ruak?k?,Northland,1443,2078,694
108900,Bream Head,Northland,835,1081,772
109000,Waipu,Northland,1769,2378,744
109100,Kaipara Coastal,Northland,1504,2472,608
109200,Maungaru,Northland,752,1239,607
109300,Dargaville,Northland,2198,3444,638
109400,Ruawai-Matakohe,Northland,1148,1730,664
109500,Otamatea (Kaipara District),Northland,835,1202,695
109600,Maungaturoto,Northland,578,868,666
109700,Kaiwaka,Northland,958,1521,630
109800,Mangawhai Rural,Northland,1205,1778,678
109900,Mangawhai Heads,Northland,1339,1857,721
110100,Mangawhai,Northland,621,833,745
110200,Okahukura Peninsula,Waitemata,637,1048,608
110400,Cape Rodney,Waitemata,1793,2629,682
110500,Wellsford,Waitemata,808,1335,605
110600,NA,NA,Masked,Masked,Masked
110700,South Head,Waitemata,1263,1904,663
110800,Kaipara Hills,Waitemata,830,1412,588
110900,Dome Valley-Matakana,Waitemata,879,1198,734
111100,Warkworth West,Waitemata,1542,2048,753
111200,Puhoi Valley,Waitemata,1901,2826,673
111300,Warkworth East,Waitemata,2057,2816,730
111400,Sandspit,Waitemata,615,802,767
111500,Tawharanui Peninsula,Waitemata,1332,1749,762
111600,Te Kuru,Waitemata,1199,1851,648
111700,Snells Beach,Waitemata,2037,2755,739
111800,Barrier Islands,Auckland,551,739,746
111900,Algies Bay-Scotts Landing,Waitemata,737,944,781
112100,Wainui-Waiwera,Waitemata,928,1335,695
112200,Parakai,Waitemata,468,722,648
112300,Helensville Rural,Waitemata,854,1227,696
112400,Helensville,Waitemata,1398,2051,682
112500,Waitoki,Waitemata,794,1212,655
112600,Waikoukou Valley,Waitemata,825,1253,658
112700,Orewa North,Waitemata,3182,3997,796
112800,Hatfields Beach,Waitemata,811,1152,704
112900,Orewa South,Waitemata,2661,3334,798
113000,Orewa Central,Waitemata,2148,2675,803
113100,Millwater North,Waitemata,1980,2674,740
113200,Waipatukahu,Waitemata,681,1010,674
113300,Millwater South,Waitemata,1926,2829,681
113400,Dairy Flat North,Waitemata,1353,2132,635
113500,Dairy Flat West,Waitemata,720,1118,644
113600,Kingsway,Waitemata,1199,1725,695
113700,Riverhead Forest,Waitemata,Masked,Masked,Masked
113800,Silverdale Central (Auckland),Waitemata,339,519,653
113900,Red Beach West,Waitemata,1793,2249,797
114000,Red Beach East,Waitemata,2305,3129,737
114100,Silverdale South (Auckland),Waitemata,979,1479,662
114200,Waimauku,Waitemata,748,1048,714
114300,Gulf Islands,Auckland,36,44,818
114400,Vipond,Waitemata,1584,2245,706
114500,Muriwai,Waitemata,597,814,733
114600,Stanmore Bay West,Waitemata,1280,1923,666
114700,Kumeu Rural West,Waitemata,899,1314,684
114800,Okura Bush,Waitemata,745,1058,704
114900,Whangapar?oa Central,Waitemata,2322,3290,706
115000,Kumeu-Huapai,Waitemata,2755,3769,731
115100,Stanmore Bay East,Waitemata,1384,2019,685
115200,Manly West,Waitemata,1289,1829,705
115300,Muriwai Valley-Bethells Beach,Waitemata,553,793,697
115400,Tindalls-Matakatia,Waitemata,1140,1562,730
115500,Coatesville,Waitemata,1306,1797,727
115600,Dairy Flat South,Waitemata,935,1322,707
115700,Gulf Harbour North,Waitemata,1592,2213,719
115800,Manly East,Waitemata,2019,2734,738
115900,Riverhead,Waitemata,1738,2327,747
116000,Army Bay,Waitemata,885,1170,756
116100,Kumeu Rural East,Waitemata,1374,2010,684
116200,Gulf Harbour South,Waitemata,1728,2289,755
116300,Paremoremo West,Waitemata,508,730,696
116400,Taupaki,Waitemata,934,1351,691
116500,Long Bay,Waitemata,1434,2013,712
116600,Paremoremo East,Waitemata,1060,1546,686
116700,Albany Heights,Waitemata,2065,2951,700
116800,Awaruku,Waitemata,2453,3381,726
116900,Fairview Heights,Waitemata,2153,3164,680
117000,Whenuapai,Waitemata,3241,4486,722
117100,Waitakere Ranges North,Waitemata,667,921,724
117200,Torbay,Waitemata,2502,3404,735
117300,Albany Central,Waitemata,712,1098,648
117400,Albany West,Waitemata,1698,2306,736
