sa2_code,sa2_name,dhb,booster_count,eligible_booster_pop,booster_uptake
100100,North Cape,Northland,679,1084,626
100200,Rangaunu Harbour,Northland,647,1162,557
100300,Inlets Far North District,Northland,masked,masked,>950
100400,Karikari Peninsula,Northland,631,873,723
100500,Tangonge,Northland,380,638,596
100600,Ahipara,Northland,424,664,639
100700,Kaitaia East,Northland,610,1098,556
100800,Kaitaia West,Northland,866,1625,533
100900,Rangitihi,Northland,269,472,570
101000,Oruru-Parapara,Northland,288,478,603
101100,Taumarumaru,Northland,1196,1646,727
101200,Herekino-Takahue,Northland,291,469,620
101300,Peria,Northland,328,535,613
101400,Taemaro-Oruaiti,Northland,349,542,644
101500,Whakapaku,Northland,256,390,656
101600,Hokianga North,Northland,292,481,607
101700,Kohukohu-Broadwood,Northland,310,445,697
101800,Whakarara,Northland,487,738,660
101900,Kaeo,Northland,371,620,598
102000,Omahuta Forest-Horeke,Northland,306,495,618
102100,Hokianga South,Northland,425,625,680
102200,Lake Manuwai-Kapiro,Northland,933,1420,657
102300,Ōkaihau,Northland,402,649,619
102400,Rangitane-Purerua,Northland,583,875,666
102500,Waipapa,Northland,323,494,654
102600,Puketotara,Northland,753,1144,658
102700,Waimā Forest,Northland,270,465,581
102800,Riverview,Northland,1163,1515,768
102900,Waipoua Forest,Northland,434,650,668
103000,Kerikeri Central,Northland,1199,1769,678
103100,Kerikeri South,Northland,1432,1942,737
103200,Ōhaeawai-Waimate North,Northland,458,716,640
103300,Puketona-Waitangi,Northland,626,918,682
103400,Ngapuhi,Northland,391,698,560
103500,Kaikohe,Northland,1079,1897,569
103600,Pakaraka,Northland,225,355,634
103700,Haruru,Northland,480,740,649
103800,Russell,Northland,497,636,781
103900,Paihia,Northland,730,1117,654
104000,Mataraua Forest,Northland,124,240,517
104100,Matawaia-Taumarere,Northland,408,680,600
104200,Russell Peninsula,Northland,370,469,789
104300,Opua (Far North District),Northland,688,954,721
104400,Russell Forest-Rawhiti,Northland,274,428,640
104500,Moerewa,Northland,425,754,564
104600,Kawakawa,Northland,426,740,576
104700,Maromaku,Northland,189,322,587
104800,Mangakahia-Hūkerenui,Northland,549,941,583
104900,Whangaruru,Northland,909,1430,636
105100,Matarau,Northland,1363,1943,701
105200,Hikurangi,Northland,411,736,558
105300,Kauri,Northland,799,1086,736
105400,Maungatapere,Northland,1508,2127,709
105500,Kamo West,Northland,981,1395,703
105600,Matapouri-Tutukaka,Northland,901,1222,737
105700,Kiripaka,Northland,412,586,703
105800,Kamo East,Northland,1024,1651,620
105900,Granfield Reserve,Northland,1714,2206,777
106000,Kamo Central,Northland,690,965,715
106100,Whau Valley,Northland,1296,1832,707
106200,Tikipunga North,Northland,1414,2016,701
106300,Pukenui,Northland,1169,1552,753
106400,Otangarei,Northland,474,860,551
106500,Tikipunga South,Northland,1532,2233,686
106600,Kensington (Whangarei District),Northland,1592,2251,707
106700,Abbey Caves-Glenbervie,Northland,637,881,723
106800,Mairtown,Northland,1261,1689,747
