"sa2_code","sa2_name","dhb","booster_count","eligible_booster_pop","booster_uptake"
"Unknown","Unknown","Unknown","3997","7099","563"
"100100","North Cape","Northland","391","597","655"
"100200","Rangaunu Harbour","Northland","350","632","554"
"100300","Inlets Far North District","Northland","masked","masked","masked"
"100400","Karikari Peninsula","Northland","191","299","639"
"100500","Tangonge","Northland","216","367","589"
"100600","Ahipara","Northland","238","378","630"
"100700","Kaitaia East","Northland","374","768","487"
"100800","Kaitaia West","Northland","543","1056","514"
"100900","Rangitihi","Northland","118","232","509"
"101000","Oruru-Parapara","Northland","98","182","538"
"101100","Taumarumaru","Northland","222","368","603"
"101200","Herekino-Takahue","Northland","139","242","574"
"101300","Peria","Northland","97","183","530"
"101400","Taemaro-Oruaiti","Northland","101","158","639"
"101500","Whakapaku","Northland","88","152","579"
"101600","Hokianga North","Northland","296","429","690"
"101700","Kohukohu-Broadwood","Northland","156","223","700"
"101800","Whakarara","Northland","238","359","663"
"101900","Kaeo","Northland","172","259","664"
"102000","Omahuta Forest-Horeke","Northland","195","332","587"
"102100","Hokianga South","Northland","252","382","660"
"102200","Lake Manuwai-Kapiro","Northland","86","151","570"
"102300","?kaihau","Northland","107","199","538"
"102400","Rangitane-Purerua","Northland","133","224","594"
"102500","Waipapa","Northland","40","77","519"
"102600","Puketotara","Northland","89","145","614"
"102700","Waim? Forest","Northland","234","416","562"
"102800","Riverview","Northland","91","145","628"
"102900","Waipoua Forest","Northland","258","393","656"
"103000","Kerikeri Central","Northland","146","274","533"
"103100","Kerikeri South","Northland","91","153","595"
"103200","?haeawai-Waimate North","Northland","168","268","627"
"103300","Puketona-Waitangi","Northland","125","197","635"
"103400","Ngapuhi","Northland","305","533","572"
"103500","Kaikohe","Northland","851","1514","562"
"103600","Pakaraka","Northland","60","101","594"
"103700","Haruru","Northland","82","150","547"
"103800","Russell","Northland","79","109","725"
"103900","Paihia","Northland","165","299","552"
"104000","Mataraua Forest","Northland","105","185","568"
"104100","Matawaia-Taumarere","Northland","269","429","627"
"104200","Russell Peninsula","Northland","38","50","760"
"104300","Opua (Far North District)","Northland","65","111","586"
"104400","Russell Forest-Rawhiti","Northland","170","267","637"
"104500","Moerewa","Northland","407","705","577"
"104600","Kawakawa","Northland","290","495","586"
"104700","Maromaku","Northland","77","134","575"
"104800","Mangakahia-H?kerenui","Northland","223","373","598"
"104900","Whangaruru","Northland","239","422","566"
"105100","Matarau","Northland","132","230","574"
"105200","Hikurangi","Northland","157","287","547"
"105300","Kauri","Northland","106","155","684"
"105400","Maungatapere","Northland","190","278","683"
"105500","Kamo West","Northland","171","263","650"
"105600","Matapouri-Tutukaka","Northland","97","151","642"
"105700","Kiripaka","Northland","66","115","574"
"105800","Kamo East","Northland","279","546","511"
"105900","Granfield Reserve","Northland","191","296","645"
"106000","Kamo Central","Northland","163","261","625"
"106100","Whau Valley","Northland","236","402","587"
"106200","Tikipunga North","Northland","319","594","537"
"106300","Pukenui","Northland","86","120","717"
"106400","Otangarei","Northland","306","652","469"
"106500","Tikipunga South","Northland","430","749","574"
"106600","Kensington (Whangarei District)","Northland","277","465","596"
"106700","Abbey Caves-Glenbervie","Northland","54","89","607"
