sa2_code,sa2_name,dhb,booster_count,eligible_booster_pop,booster_uptake
Unknown,NA,NA,2796,6096,459
100100,North Cape,Northland,432,691,625
100200,Rangaunu Harbour,Northland,409,800,511
100300,Inlets Far North District,Northland,Masked,Masked,Masked
100400,Karikari Peninsula,Northland,233,426,547
100500,Tangonge,Northland,258,449,575
100600,Ahipara,Northland,257,439,585
100700,Kaitaia East,Northland,456,982,464
100800,Kaitaia West,Northland,641,1360,471
100900,Rangitihi,Northland,145,305,475
101000,Oruru-Parapara,Northland,103,209,493
101100,Taumarumaru,Northland,252,449,561
101200,Herekino-Takahue,Northland,158,320,494
101300,Peria,Northland,114,237,481
101400,Taemaro-Oruaiti,Northland,119,213,559
101500,Whakapaku,Northland,103,186,554
101600,Hokianga North,Northland,337,507,665
101700,Kohukohu-Broadwood,Northland,161,270,596
101800,Whakarara,Northland,278,442,629
101900,Kaeo,Northland,198,342,579
102000,Omahuta Forest-Horeke,Northland,214,402,532
102100,Hokianga South,Northland,293,481,609
102200,Lake Manuwai-Kapiro,Northland,95,189,503
102300,?kaihau,Northland,115,235,489
102400,Rangitane-Purerua,Northland,154,278,554
102500,Waipapa,Northland,47,95,495
102600,Puketotara,Northland,96,169,568
102700,Waim? Forest,Northland,272,535,508
102800,Riverview,Northland,111,199,558
102900,Waipoua Forest,Northland,305,470,649
103000,Kerikeri Central,Northland,178,384,464
103100,Kerikeri South,Northland,112,187,599
103200,?haeawai-Waimate North,Northland,185,322,575
103300,Puketona-Waitangi,Northland,137,225,609
103400,Ngapuhi,Northland,347,700,496
103500,Kaikohe,Northland,959,1918,500
103600,Pakaraka,Northland,62,119,521
103700,Haruru,Northland,96,174,552
103800,Russell,Northland,82,114,719
103900,Paihia,Northland,180,369,488
104000,Mataraua Forest,Northland,115,222,518
104100,Matawaia-Taumarere,Northland,287,576,498
104200,Russell Peninsula,Northland,44,58,759
104300,Opua (Far North District),Northland,72,126,571
104400,Russell Forest-Rawhiti,Northland,195,318,613
104500,Moerewa,Northland,428,860,498
104600,Kawakawa,Northland,316,629,502
104700,Maromaku,Northland,92,177,520
104800,Mangakahia-H?kerenui,Northland,238,469,507
104900,Whangaruru,Northland,282,514,549
105100,Matarau,Northland,155,290,534
105200,Hikurangi,Northland,176,355,496
105300,Kauri,Northland,117,192,609
105400,Maungatapere,Northland,218,360,606
105500,Kamo West,Northland,188,327,575
105600,Matapouri-Tutukaka,Northland,106,182,582
105700,Kiripaka,Northland,80,155,516
105800,Kamo East,Northland,336,741,453
105900,Granfield Reserve,Northland,197,379,520
106000,Kamo Central,Northland,179,338,530
106100,Whau Valley,Northland,258,474,544
106200,Tikipunga North,Northland,377,750,503
106300,Pukenui,Northland,92,140,657
106400,Otangarei,Northland,400,903,443
106500,Tikipunga South,Northland,492,959,513
106600,Kensington (Whangarei District),Northland,317,575,551
106700,Abbey Caves-Glenbervie,Northland,63,111,568
106800,Mairtown,Northland,273,428,638
106900,Maunu-Horahora,Northland,240,421,570
107000,Woodhill-Vinetown,Northland,305,531,574
107100,Whang?rei Central,Northland,122,221,552
107200,Riverside,Northland,178,337,528
107300,Raumanga,Northland,461,1054,437
107400,Tarewa,Northland,324,675,480
107500,Morningside (Whangarei District),Northland,302,600,503
107600,Ngunguru,Northland,77,125,616
107700,Otaika-Portland,Northland,131,217,604
107800,Oakleigh-Mangapai,Northland,109,198,551
107900,Port-Limeburners,Northland,Masked,Masked,Masked
108000,Pataua,Northland,71,147,483
108100,Onerahi Park,Northland,126,208,606
108200,Sherwood Rise,Northland,251,492,510
108300,Onerahi,Northland,205,419,489
108400,Inlet Whang?rei Harbour,Northland,Masked,Masked,Masked
108500,Parua Bay,Northland,153,234,654
108600,Bream Bay,Northland,139,256,543
108700,Marsden Bay,Northland,148,259,571
108800,Ruak?k?,Northland,258,496,520
108900,Bream Head,Northland,61,86,709
109000,Waipu,Northland,139,237,586
109100,Kaipara Coastal,Northland,297,585,508
109200,Maungaru,Northland,103,203,507
109300,Dargaville,Northland,417,955,437
109400,Ruawai-Matakohe,Northland,191,345,554
