"sa2_code","sa2_name","dhb","booster_count","eligible_booster_pop","booster_uptake"
"Unknown","Unknown","Unknown","1731","3138","552"
"100100","North Cape","Northland","11","17","647"
"100200","Rangaunu Harbour","Northland","12","20","600"
"100300","Inlets Far North District","Northland","masked","masked","masked"
"100400","Karikari Peninsula","Northland","14","17","824"
"100500","Tangonge","Northland","6","9","667"
"100600","Ahipara","Northland","13","16","812"
"100700","Kaitaia East","Northland","21","37","568"
"100800","Kaitaia West","Northland","34","73","466"
"100900","Rangitihi","Northland","masked","10","400"
"101000","Oruru-Parapara","Northland","masked","7","429"
"101100","Taumarumaru","Northland","14","25","560"
"101200","Herekino-Takahue","Northland","masked","9","333"
"101300","Peria","Northland","7","11","636"
"101400","Taemaro-Oruaiti","Northland","masked","masked","<50"
"101500","Whakapaku","Northland","masked","masked","<50"
"101600","Hokianga North","Northland","7","masked",">950"
"101700","Kohukohu-Broadwood","Northland","masked","6","500"
"101800","Whakarara","Northland","masked","9","444"
"101900","Kaeo","Northland","6","10","600"
"102000","Omahuta Forest-Horeke","Northland","masked","masked",">950"
"102100","Hokianga South","Northland","7","8","875"
"102200","Lake Manuwai-Kapiro","Northland","32","47","681"
"102300","?kaihau","Northland","17","30","567"
"102400","Rangitane-Purerua","Northland","10","14","714"
"102500","Waipapa","Northland","masked","masked",">950"
"102600","Puketotara","Northland","14","37","378"
"102700","Waim? Forest","Northland","7","11","636"
"102800","Riverview","Northland","8","16","500"
"102900","Waipoua Forest","Northland","11","13","846"
"103000","Kerikeri Central","Northland","24","74","324"
"103100","Kerikeri South","Northland","14","20","700"
"103200","?haeawai-Waimate North","Northland","masked","7","714"
"103300","Puketona-Waitangi","Northland","6","7","857"
"103400","Ngapuhi","Northland","masked","13","385"
"103500","Kaikohe","Northland","33","63","524"
"103600","Pakaraka","Northland","masked","masked",">950"
"103700","Haruru","Northland","6","11","545"
"103800","Russell","Northland","masked","6","833"
"103900","Paihia","Northland","16","21","762"
"104000","Mataraua Forest","Northland","masked","masked","500"
"104100","Matawaia-Taumarere","Northland","7","9","778"
"104200","Russell Peninsula","Northland","masked","masked","667"
"104300","Opua (Far North District)","Northland","7","12","583"
"104400","Russell Forest-Rawhiti","Northland","masked","6","667"
"104500","Moerewa","Northland","9","18","500"
"104600","Kawakawa","Northland","16","26","615"
"104700","Maromaku","Northland","masked","masked","500"
"104800","Mangakahia-H?kerenui","Northland","7","13","538"
"104900","Whangaruru","Northland","14","19","737"
"105100","Matarau","Northland","15","18","833"
"105200","Hikurangi","Northland","10","14","714"
"105300","Kauri","Northland","10","12","833"
