"sa2_code","sa2_name","dhb","dose1_cnt","dose2_cnt","pop_cnt","dose1_uptake","dose2_uptake"
"Unknown","Unknown","Unknown","2691","75","5626","478","<50"
"100100","North Cape","Northland","34","masked","200","170","<50"
"100200","Rangaunu Harbour","Northland","50","masked","267","187","<50"
"100300","Inlets Far North District","Northland","masked","masked","masked","masked","masked"
"100400","Karikari Peninsula","Northland","30","masked","133","226","<50"
"100500","Tangonge","Northland","28","masked","114","246","<50"
"100600","Ahipara","Northland","53","masked","149","356","<50"
"100700","Kaitaia East","Northland","83","masked","327","254","<50"
"100800","Kaitaia West","Northland","97","6","499","194","<50"
"100900","Rangitihi","Northland","14","masked","88","159","<50"
"101000","Oruru-Parapara","Northland","26","masked","106","245","<50"
"101100","Taumarumaru","Northland","64","masked","213","300","<50"
"101200","Herekino-Takahue","Northland","22","masked","109","202","<50"
"101300","Peria","Northland","19","masked","126","151","<50"
"101400","Taemaro-Oruaiti","Northland","44","masked","107","411","<50"
"101500","Whakapaku","Northland","27","masked","85","318","<50"
"101600","Hokianga North","Northland","26","masked","127","205","<50"
"101700","Kohukohu-Broadwood","Northland","11","masked","64","172","<50"
"101800","Whakarara","Northland","47","masked","115","409","<50"
"101900","Kaeo","Northland","37","masked","145","255","<50"
"102000","Omahuta Forest-Horeke","Northland","16","masked","156","103","<50"
"102100","Hokianga South","Northland","24","masked","130","185","<50"
"102200","Lake Manuwai-Kapiro","Northland","80","masked","201","398","<50"
"102300","?kaihau","Northland","34","masked","119","286","<50"
"102400","Rangitane-Purerua","Northland","38","masked","150","253","<50"
"102500","Waipapa","Northland","38","masked","96","396","<50"
"102600","Puketotara","Northland","65","masked","166","392","<50"
"102700","Waim? Forest","Northland","16","masked","134","119","<50"
"102800","Riverview","Northland","100","masked","200","500","<50"
"102900","Waipoua Forest","Northland","13","masked","109","119","<50"
"103000","Kerikeri Central","Northland","88","masked","232","379","<50"
"103100","Kerikeri South","Northland","97","masked","216","449","<50"
"103200","?haeawai-Waimate North","Northland","27","masked","113","239","<50"
"103300","Puketona-Waitangi","Northland","35","masked","118","297","<50"
"103400","Ngapuhi","Northland","28","masked","185","151","<50"
"103500","Kaikohe","Northland","163","masked","659","247","<50"
"103600","Pakaraka","Northland","29","masked","76","382","<50"
"103700","Haruru","Northland","44","masked","121","364","<50"
"103800","Russell","Northland","19","masked","37","514","<50"
"103900","Paihia","Northland","39","masked","129","302","<50"
"104000","Mataraua Forest","Northland","16","masked","70","229","<50"
"104100","Matawaia-Taumarere","Northland","56","masked","200","280","<50"
"104200","Russell Peninsula","Northland","6","masked","27","222","<50"
"104300","Opua (Far North District)","Northland","19","masked","72","264","<50"
"104400","Russell Forest-Rawhiti","Northland","7","masked","73","96","<50"
"104500","Moerewa","Northland","37","masked","274","135","<50"
"104600","Kawakawa","Northland","39","masked","200","195","<50"
"104700","Maromaku","Northland","22","masked","103","214","<50"
"104800","Mangakahia-H?kerenui","Northland","63","masked","232","272","<50"
"104900","Whangaruru","Northland","77","masked","242","318","<50"
"105100","Matarau","Northland","161","masked","390","413","<50"
"105200","Hikurangi","Northland","64","masked","229","279","<50"
"105300","Kauri","Northland","71","masked","194","366","<50"
"105400","Maungatapere","Northland","160","masked","360","444","<50"
"105500","Kamo West","Northland","101","masked","203","498","<50"
"105600","Matapouri-Tutukaka","Northland","62","masked","128","484","<50"
"105700","Kiripaka","Northland","57","masked","126","452","<50"
"105800","Kamo East","Northland","151","masked","431","350","<50"
"105900","Granfield Reserve","Northland","139","masked","286","486","<50"
"106000","Kamo Central","Northland","103","masked","211","488","<50"
"106100","Whau Valley","Northland","99","masked","256","387","<50"
"106200","Tikipunga North","Northland","118","masked","438","269","<50"
"106300","Pukenui","Northland","150","6","243","617","<50"
"106400","Otangarei","Northland","40","masked","304","132","<50"
"106500","Tikipunga South","Northland","148","8","444","333","<50"
"106600","Kensington (Whangarei District)","Northland","89","masked","250","356","<50"
"106700","Abbey Caves-Glenbervie","Northland","50","masked","134","373","<50"
"106800","Mairtown","Northland","87","masked","208","418","<50"
"106900","Maunu-Horahora","Northland","155","masked","347","447","<50"
"107000","Woodhill-Vinetown","Northland","89","masked","238","374","<50"
"107100","Whang?rei Central","Northland","18","masked","57","316","<50"
"107200","Riverside","Northland","72","masked","169","426","<50"
"107300","Raumanga","Northland","102","masked","459","222","<50"
"107400","Tarewa","Northland","68","masked","315","216","<50"
"107500","Morningside (Whangarei District)","Northland","80","masked","216","370","<50"
"107600","Ngunguru","Northland","63","masked","120","525","<50"
"107700","Otaika-Portland","Northland","60","masked","140","429","<50"
"107800","Oakleigh-Mangapai","Northland","91","masked","224","406","<50"
"107900","Port-Limeburners","Northland","masked","masked","7","714","<50"
"108000","Pataua","Northland","69","masked","194","356","<50"
"108100","Onerahi Park","Northland","94","masked","189","497","<50"
"108200","Sherwood Rise","Northland","77","masked","275","280","<50"
"108300","Onerahi","Northland","71","masked","247","287","<50"
"108400","Inlet Whang?rei Harbour","Northland","masked","masked","masked",">950","masked"
"108500","Parua Bay","Northland","133","masked","264","504","<50"
"108600","Bream Bay","Northland","73","masked","230","317","<50"
"108700","Marsden Bay","Northland","97","masked","251","386","<50"
"108800","Ruak?k?","Northland","69","masked","247","279","<50"
"108900","Bream Head","Northland","65","masked","122","533","<50"
"109000","Waipu","Northland","73","masked","218","335","<50"
"109100","Kaipara Coastal","Northland","90","masked","334","269","<50"
"109200","Maungaru","Northland","60","masked","164","366","<50"
"109300","Dargaville","Northland","124","masked","444","279","<50"
"109400","Ruawai-Matakohe","Northland","69","masked","265","260","<50"
"109500","Otamatea (Kaipara District)","Northland","48","masked","163","294","<50"
"109600","Maungaturoto","Northland","51","masked","144","354","<50"
"109700","Kaiwaka","Northland","72","masked","232","310","<50"
"109800","Mangawhai Rural","Northland","87","masked","244","357","<50"
"109900","Mangawhai Heads","Northland","64","masked","193","332","<50"
"110100","Mangawhai","Northland","32","masked","110","291","<50"
"110200","Okahukura Peninsula","Waitemata","44","masked","141","312","<50"
"110400","Cape Rodney","Waitemata","134","masked","323","415","<50"
"110500","Wellsford","Waitemata","59","masked","206","286","<50"
"110700","South Head","Waitemata","105","masked","253","415","<50"
"110800","Kaipara Hills","Waitemata","85","masked","231","368","<50"
"110900","Dome Valley-Matakana","Waitemata","106","masked","173","613","<50"
"111100","Warkworth West","Waitemata","96","masked","219","438","<50"
"111200","Puhoi Valley","Waitemata","132","masked","317","416","<50"
"111300","Warkworth East","Waitemata","161","masked","348","463","<50"
"111400","Sandspit","Waitemata","27","masked","72","375","<50"
"111500","Tawharanui Peninsula","Waitemata","101","masked","165","612","<50"
"111600","Te Kuru","Waitemata","130","masked","276","471","<50"
"111700","Snells Beach","Waitemata","160","masked","326","491","<50"
"111800","Barrier Islands","Auckland","22","masked","82","268","<50"
"111900","Algies Bay-Scotts Landing","Waitemata","33","masked","78","423","<50"
"112100","Wainui-Waiwera","Waitemata","59","masked","158","373","<50"
"112200","Parakai","Waitemata","59","masked","123","480","<50"
"112300","Helensville Rural","Waitemata","59","masked","143","413","<50"
"112400","Helensville","Waitemata","163","masked","326","500","<50"
"112500","Waitoki","Waitemata","75","masked","171","439","<50"
"112600","Waikoukou Valley","Waitemata","65","masked","172","378","<50"
"112700","Orewa North","Waitemata","221","masked","402","550","<50"
"112800","Hatfields Beach","Waitemata","80","masked","141","567","<50"
"112900","Orewa South","Waitemata","149","masked","251","594","<50"
"113000","Orewa Central","Waitemata","98","masked","184","533","<50"
"113100","Millwater North","Waitemata","351","masked","572","614","<50"
"113200","Waipatukahu","Waitemata","76","masked","135","563","<50"
"113300","Millwater South","Waitemata","406","masked","622","653","<50"
"113400","Dairy Flat North","Waitemata","124","masked","238","521","<50"
"113500","Dairy Flat West","Waitemata","57","masked","125","456","<50"
"113600","Kingsway","Waitemata","156","masked","285","547","<50"
"113700","Riverhead Forest","Waitemata","masked","masked","masked","masked","masked"
"113800","Silverdale Central (Auckland)","Waitemata","28","masked","51","549","<50"
"113900","Red Beach West","Waitemata","104","masked","213","488","<50"
"114000","Red Beach East","Waitemata","192","masked","369","520","<50"
"114100","Silverdale South (Auckland)","Waitemata","100","masked","189","529","<50"
"114200","Waimauku","Waitemata","74","masked","132","561","<50"
"114300","Gulf Islands","Auckland","masked","masked","masked","333","<50"
"114400","Vipond","Waitemata","157","masked","308","510","<50"
"114500","Muriwai","Waitemata","82","masked","124","661","<50"
"114600","Stanmore Bay West","Waitemata","167","masked","332","503","<50"
"114700","Kumeu Rural West","Waitemata","51","masked","116","440","<50"
"114800","Okura Bush","Waitemata","86","masked","138","623","<50"
"114900","Whangapar?oa Central","Waitemata","227","masked","415","547","<50"
"115000","Kumeu-Huapai","Waitemata","437","11","552","792","<50"
"115100","Stanmore Bay East","Waitemata","133","masked","271","491","<50"
"115200","Manly West","Waitemata","117","masked","229","511","<50"
"115300","Muriwai Valley-Bethells Beach","Waitemata","74","masked","123","602","<50"
