sa2_code,sa2_name,dhb,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
Unknown,NA,NA,2807,1469,5762,487,255
100100,North Cape,Northland,53,23,179,296,128
100200,Rangaunu Harbour,Northland,51,21,251,203,84
100400,Karikari Peninsula,Northland,31,9,128,242,70
100500,Tangonge,Northland,33,10,123,268,81
100600,Ahipara,Northland,55,18,148,372,122
100700,Kaitaia East,Northland,100,35,337,297,104
100800,Kaitaia West,Northland,123,52,449,274,116
100900,Rangitihi,Northland,18,5,83,217,60
101000,Oruru-Parapara,Northland,26,10,Masked,250,96
101100,Taumarumaru,Northland,73,31,221,330,140
101200,Herekino-Takahue,Northland,27,Masked,102,265,<50
101300,Peria,Northland,27,13,Masked,203,98
101400,Taemaro-Oruaiti,Northland,37,13,102,363,127
101500,Whakapaku,Northland,32,11,89,360,124
101600,Hokianga North,Northland,37,12,129,287,93
101700,Kohukohu-Broadwood,Northland,20,6,69,290,87
101800,Whakarara,Northland,54,27,111,486,243
101900,Kaeo,Northland,45,18,148,304,122
102000,Omahuta Forest-Horeke,Northland,22,13,156,141,83
102100,Hokianga South,Northland,31,13,123,252,106
102200,Lake Manuwai-Kapiro,Northland,86,47,212,406,222
102300,?kaihau,Northland,32,11,123,260,89
102400,Rangitane-Purerua,Northland,44,25,147,299,170
102500,Waipapa,Northland,36,18,98,367,184
102600,Puketotara,Northland,74,24,168,440,143
102700,Waim? Forest,Northland,24,9,139,173,65
102800,Riverview,Northland,101,50,191,529,262
102900,Waipoua Forest,Northland,16,5,125,128,<50
103000,Kerikeri Central,Northland,91,40,219,416,183
103100,Kerikeri South,Northland,102,44,218,468,202
103200,?haeawai-Waimate North,Northland,29,13,112,259,116
103300,Puketona-Waitangi,Northland,44,13,124,355,105
103400,Ngapuhi,Northland,40,11,184,217,60
103500,Kaikohe,Northland,180,72,658,274,109
103600,Pakaraka,Northland,28,13,84,333,155
103700,Haruru,Northland,47,11,Masked,412,96
103800,Russell,Northland,Masked,Masked,Masked,Masked,Masked
103900,Paihia,Northland,41,24,124,331,194
104000,Mataraua Forest,Northland,16,10,61,262,164
104100,Matawaia-Taumarere,Northland,58,10,194,299,52
104200,Russell Peninsula,Northland,Masked,Masked,Masked,Masked,Masked
104300,Opua (Far North District),Northland,21,10,75,280,133
104400,Russell Forest-Rawhiti,Northland,13,Masked,76,171,<50
104500,Moerewa,Northland,37,11,241,154,<50
104600,Kawakawa,Northland,50,17,186,269,91
104700,Maromaku,Northland,28,8,120,233,67
104800,Mangakahia-H?kerenui,Northland,66,21,224,295,94
104900,Whangaruru,Northland,86,20,262,328,76
105100,Matarau,Northland,175,86,357,490,241
105200,Hikurangi,Northland,72,33,215,335,153
105300,Kauri,Northland,73,32,193,378,166
105400,Maungatapere,Northland,166,98,361,460,271
105500,Kamo West,Northland,109,51,204,534,250
105600,Matapouri-Tutukaka,Northland,67,40,133,504,301
105700,Kiripaka,Northland,61,31,115,530,270
105800,Kamo East,Northland,162,62,408,397,152
105900,Granfield Reserve,Northland,151,63,289,522,218
106000,Kamo Central,Northland,110,43,228,482,189
106100,Whau Valley,Northland,108,52,261,414,199
106200,Tikipunga North,Northland,145,49,405,358,121
106300,Pukenui,Northland,167,92,243,687,379
106400,Otangarei,Northland,60,11,316,190,<50
106500,Tikipunga South,Northland,158,52,418,378,124
106600,Kensington (Whangarei District),Northland,89,38,240,371,158
106700,Abbey Caves-Glenbervie,Northland,49,26,121,405,215
106800,Mairtown,Northland,101,42,203,498,207
106900,Maunu-Horahora,Northland,157,81,331,474,245
107000,Woodhill-Vinetown,Northland,97,36,229,424,157
107100,Whang?rei Central,Northland,21,7,53,396,132
107200,Riverside,Northland,80,33,181,442,182
107300,Raumanga,Northland,128,41,464,276,88
107400,Tarewa,Northland,90,37,293,307,126
107500,Morningside (Whangarei District),Northland,86,32,225,382,142
107600,Ngunguru,Northland,62,30,129,481,233
107700,Otaika-Portland,Northland,62,23,135,459,170
107800,Oakleigh-Mangapai,Northland,95,49,224,424,219
107900,Port-Limeburners,Northland,Masked,Masked,Masked,Masked,Masked
108000,Pataua,Northland,70,29,190,368,153
108100,Onerahi Park,Northland,91,51,167,545,305
108200,Sherwood Rise,Northland,92,33,275,335,120
108300,Onerahi,Northland,76,31,241,315,129
108400,Inlet Whang?rei Harbour,Northland,Masked,Masked,Masked,Masked,Masked
108500,Parua Bay,Northland,142,69,246,577,280
108600,Bream Bay,Northland,89,35,233,382,150
108700,Marsden Bay,Northland,105,56,248,423,226
108800,Ruak?k?,Northland,82,25,263,312,95
108900,Bream Head,Northland,68,30,140,486,214
109000,Waipu,Northland,75,41,228,329,180
109100,Kaipara Coastal,Northland,101,47,350,289,134
109200,Maungaru,Northland,62,19,157,395,121
109300,Dargaville,Northland,123,64,458,269,140
109400,Ruawai-Matakohe,Northland,74,28,269,275,104
109500,Otamatea (Kaipara District),Northland,56,20,162,346,123
109600,Maungaturoto,Northland,58,20,135,430,148
109700,Kaiwaka,Northland,74,32,228,325,140
109800,Mangawhai Rural,Northland,83,36,263,316,137
109900,Mangawhai Heads,Northland,69,28,223,309,126
110100,Mangawhai,Northland,37,18,115,322,157
110200,Okahukura Peninsula,Waitemata,50,24,149,336,161
110400,Cape Rodney,Waitemata,144,71,326,442,218
110500,Wellsford,Waitemata,63,34,199,317,171
110700,South Head,Waitemata,109,50,262,416,191
110800,Kaipara Hills,Waitemata,92,46,225,409,204
110900,Dome Valley-Matakana,Waitemata,109,58,166,657,349
111100,Warkworth West,Waitemata,96,53,214,449,248
111200,Puhoi Valley,Waitemata,146,69,310,471,223
111300,Warkworth East,Waitemata,170,94,364,467,258
111400,Sandspit,Waitemata,28,19,63,444,302
111500,Tawharanui Peninsula,Waitemata,102,56,163,626,344
111600,Te Kuru,Waitemata,134,48,269,498,178
111700,Snells Beach,Waitemata,171,80,359,476,223
111800,Barrier Islands,Auckland,22,10,85,259,118
111900,Algies Bay-Scotts Landing,Waitemata,31,12,81,383,148
112100,Wainui-Waiwera,Waitemata,63,28,151,417,185
112200,Parakai,Waitemata,63,37,112,562,330
112300,Helensville Rural,Waitemata,63,40,133,474,301
112400,Helensville,Waitemata,167,96,322,519,298
112500,Waitoki,Waitemata,80,34,159,503,214
112600,Waikoukou Valley,Waitemata,65,36,138,471,261
112700,Orewa North,Waitemata,236,158,393,601,402
112800,Hatfields Beach,Waitemata,86,48,141,610,340
112900,Orewa South,Waitemata,171,105,284,602,370
113000,Orewa Central,Waitemata,103,58,176,585,330
113100,Millwater North,Waitemata,360,210,606,594,347
113200,Waipatukahu,Waitemata,77,36,125,616,288
113300,Millwater South,Waitemata,412,239,667,618,358
113400,Dairy Flat North,Waitemata,153,84,278,550,302
113500,Dairy Flat West,Waitemata,61,30,122,500,246
113600,Kingsway,Waitemata,165,79,256,645,309
113800,Silverdale Central (Auckland),Waitemata,38,15,61,623,246
113900,Red Beach West,Waitemata,114,62,221,516,281
114000,Red Beach East,Waitemata,193,96,353,547,272
114100,Silverdale South (Auckland),Waitemata,105,32,189,556,169
114200,Waimauku,Waitemata,82,41,140,586,293
114300,Gulf Islands,Auckland,Masked,Masked,Masked,Masked,Masked
114400,Vipond,Waitemata,153,98,299,512,328
114500,Muriwai,Waitemata,82,32,137,599,234
114600,Stanmore Bay West,Waitemata,172,107,333,517,321
114700,Kumeu Rural West,Waitemata,56,31,115,487,270
114800,Okura Bush,Waitemata,84,48,143,587,336
114900,Whangapar?oa Central,Waitemata,228,129,404,564,319
115000,Kumeu-Huapai,Waitemata,458,273,644,711,424
115100,Stanmore Bay East,Waitemata,144,72,277,520,260
115200,Manly West,Waitemata,123,76,214,575,355
115300,Muriwai Valley-Bethells Beach,Waitemata,74,43,120,617,358
115400,Tindalls-Matakatia,Waitemata,91,59,150,607,393
115500,Coatesville,Waitemata,113,74,208,543,356
115600,Dairy Flat South,Waitemata,68,42,121,562,347
115700,Gulf Harbour North,Waitemata,195,114,335,582,340
115800,Manly East,Waitemata,201,115,343,586,335
115900,Riverhead,Waitemata,327,214,449,728,477
116000,Army Bay,Waitemata,98,55,156,628,353
116100,Kumeu Rural East,Waitemata,127,66,244,520,270
116200,Gulf Harbour South,Waitemata,174,114,276,630,413
116300,Paremoremo West,Waitemata,42,30,84,500,357
116400,Taupaki,Waitemata,73,34,133,549,256
116500,Long Bay,Waitemata,232,137,341,680,402
116600,Paremoremo East,Waitemata,96,60,180,533,333
116700,Albany Heights,Waitemata,259,165,379,683,435
116800,Awaruku,Waitemata,297,184,435,683,423
116900,Fairview Heights,Waitemata,307,185,440,698,420
117000,Whenuapai,Waitemata,356,237,510,698,465
117100,Waitakere Ranges North,Waitemata,65,38,118,551,322
117200,Torbay,Waitemata,247,138,399,619,346
117300,Albany Central,Waitemata,29,16,52,558,308
117400,Albany West,Waitemata,183,116,259,707,448
117500,Glamorgan,Waitemata,240,147,371,647,396
117600,Oteha East,Waitemata,237,136,382,620,356
117700,Northcross,Waitemata,199,125,282,706,443
117800,Oteha West,Waitemata,198,117,275,720,425
117900,Waiake,Waitemata,245,141,393,623,359
118000,Waitakere,Waitemata,115,45,206,558,218
118100,Albany South,Waitemata,222,149,326,681,457
118200,Browns Bay South West,Waitemata,281,192,440,639,436
118300,Browns Bay Central,Waitemata,158,96,238,664,403
118400,Schnapper Rock,Waitemata,337,211,463,728,456
118500,Pinehill,Waitemata,362,224,493,734,454
118600,North Harbour,Waitemata,25,11,53,472,208
118700,Browns Bay South East,Waitemata,233,139,303,769,459
118800,Westgate Central,Waitemata,Masked,Masked,Masked,Masked,Masked
118900,Greenhithe West,Waitemata,221,152,306,722,497
119000,Rothesay Bay,Waitemata,175,107,282,621,379
119100,Greenhithe East,Waitemata,304,189,395,770,478
119200,Hobsonville,Waitemata,107,65,147,728,442
119400,Greenhithe South,Waitemata,169,111,230,735,483
