"sa2_code","sa2_name","dhb","dose1_cnt","dose2_cnt","pop_cnt","dose1_uptake","dose2_uptake"
"Unknown","Unknown","Unknown","462","19","1675","276","<50"
"100100","North Cape","Northland","38","masked","163","233","<50"
"100200","Rangaunu Harbour","Northland","34","masked","192","177","<50"
"100300","Inlets Far North District","Northland","masked","masked","masked","masked","masked"
"100400","Karikari Peninsula","Northland","20","masked","85","235","<50"
"100500","Tangonge","Northland","20","masked","92","217","<50"
"100600","Ahipara","Northland","34","masked","108","315","<50"
"100700","Kaitaia East","Northland","69","masked","286","241","<50"
"100800","Kaitaia West","Northland","63","masked","414","152","<50"
"100900","Rangitihi","Northland","7","masked","58","121","<50"
"101000","Oruru-Parapara","Northland","14","masked","66","212","<50"
"101100","Taumarumaru","Northland","28","masked","139","201","<50"
"101200","Herekino-Takahue","Northland","21","masked","79","266","<50"
"101300","Peria","Northland","11","masked","83","133","<50"
"101400","Taemaro-Oruaiti","Northland","20","masked","69","290","<50"
"101500","Whakapaku","Northland","16","masked","61","262","<50"
"101600","Hokianga North","Northland","28","masked","123","228","<50"
"101700","Kohukohu-Broadwood","Northland","9","masked","46","196","<50"
"101800","Whakarara","Northland","27","masked","74","365","<50"
"101900","Kaeo","Northland","30","masked","107","280","<50"
"102000","Omahuta Forest-Horeke","Northland","10","masked","120","83","<50"
"102100","Hokianga South","Northland","28","masked","115","243","<50"
"102200","Lake Manuwai-Kapiro","Northland","16","masked","54","296","<50"
"102300","?kaihau","Northland","13","masked","56","232","<50"
"102400","Rangitane-Purerua","Northland","11","masked","64","172","<50"
"102500","Waipapa","Northland","masked","masked","25","200","<50"
"102600","Puketotara","Northland","20","masked","48","417","<50"
"102700","Waim? Forest","Northland","17","masked","125","136","<50"
"102800","Riverview","Northland","21","masked","56","375","<50"
"102900","Waipoua Forest","Northland","12","masked","89","135","<50"
"103000","Kerikeri Central","Northland","28","masked","105","267","<50"
"103100","Kerikeri South","Northland","18","masked","50","360","<50"
"103200","?haeawai-Waimate North","Northland","15","masked","73","205","<50"
"103300","Puketona-Waitangi","Northland","15","masked","38","395","<50"
"103400","Ngapuhi","Northland","28","masked","175","160","<50"
"103500","Kaikohe","Northland","132","masked","612","216","<50"
"103600","Pakaraka","Northland","9","masked","32","281","<50"
"103700","Haruru","Northland","29","masked","67","433","<50"
"103800","Russell","Northland","10","masked","20","500","<50"
"103900","Paihia","Northland","15","masked","81","185","<50"
"104000","Mataraua Forest","Northland","11","masked","63","175","<50"
"104100","Matawaia-Taumarere","Northland","43","masked","162","265","<50"
"104200","Russell Peninsula","Northland","masked","masked","9","111","<50"
"104300","Opua (Far North District)","Northland","masked","masked","19","105","<50"
"104400","Russell Forest-Rawhiti","Northland","8","masked","64","125","<50"
"104500","Moerewa","Northland","32","masked","255","125","<50"
