sa2_code,sa2_name,dhb,ethnicity_priority,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
100100,North Cape,Northland,Pacific Peoples,masked,masked,masked,<50,<50
100200,Rangaunu Harbour,Northland,Pacific Peoples,masked,masked,masked,<50,<50
100400,Karikari Peninsula,Northland,Pacific Peoples,masked,masked,masked,333,<50
100500,Tangonge,Northland,Pacific Peoples,masked,masked,masked,<50,<50
100600,Ahipara,Northland,Pacific Peoples,masked,masked,masked,667,<50
100700,Kaitaia East,Northland,Pacific Peoples,masked,masked,masked,667,<50
100800,Kaitaia West,Northland,Pacific Peoples,masked,masked,masked,324,<50
100900,Rangitihi,Northland,Pacific Peoples,masked,masked,masked,<50,<50
101000,Oruru-Parapara,Northland,Pacific Peoples,masked,masked,masked,<50,<50
101100,Taumarumaru,Northland,Pacific Peoples,masked,masked,masked,400,<50
101200,Herekino-Takahue,Northland,Pacific Peoples,masked,masked,masked,<50,<50
101300,Peria,Northland,Pacific Peoples,masked,masked,masked,<50,<50
101400,Taemaro-Oruaiti,Northland,Pacific Peoples,masked,masked,masked,500,<50
101500,Whakapaku,Northland,Pacific Peoples,masked,masked,masked,masked,masked
101600,Hokianga North,Northland,Pacific Peoples,masked,masked,masked,<50,<50
101700,Kohukohu-Broadwood,Northland,Pacific Peoples,masked,masked,masked,<50,<50
101800,Whakarara,Northland,Pacific Peoples,masked,masked,masked,333,<50
101900,Kaeo,Northland,Pacific Peoples,masked,masked,masked,400,<50
102000,Omahuta Forest-Horeke,Northland,Pacific Peoples,masked,masked,masked,<50,<50
102100,Hokianga South,Northland,Pacific Peoples,masked,masked,masked,<50,<50
102200,Lake Manuwai-Kapiro,Northland,Pacific Peoples,masked,masked,masked,125,<50
102300,?kaihau,Northland,Pacific Peoples,masked,masked,masked,<50,<50
102400,Rangitane-Purerua,Northland,Pacific Peoples,masked,masked,masked,333,<50
102500,Waipapa,Northland,Pacific Peoples,masked,masked,masked,<50,<50
102600,Puketotara,Northland,Pacific Peoples,masked,masked,masked,667,<50
102700,Waim? Forest,Northland,Pacific Peoples,masked,masked,masked,<50,<50
102800,Riverview,Northland,Pacific Peoples,masked,masked,masked,<50,<50
102900,Waipoua Forest,Northland,Pacific Peoples,masked,masked,masked,<50,<50
103000,Kerikeri Central,Northland,Pacific Peoples,masked,masked,masked,308,<50
