"sa2_code","sa2_name","dhb","dose1_cnt","dose2_cnt","pop_cnt","dose1_uptake","dose2_uptake"
"Unknown","Unknown","Unknown","131","masked","355","369","<50"
"100100","North Cape","Northland","masked","masked","7","<50","<50"
"100200","Rangaunu Harbour","Northland","masked","masked","masked","<50","<50"
"100300","Inlets Far North District","Northland","masked","masked","masked","masked","masked"
"100400","Karikari Peninsula","Northland","masked","masked","masked","333","<50"
"100500","Tangonge","Northland","masked","masked","masked","<50","<50"
"100600","Ahipara","Northland","7","masked","9","778","<50"
"100700","Kaitaia East","Northland","7","masked","masked",">950","<50"
"100800","Kaitaia West","Northland","19","masked","34","559","<50"
"100900","Rangitihi","Northland","masked","masked","masked","<50","<50"
"101000","Oruru-Parapara","Northland","masked","masked","masked","<50","<50"
"101100","Taumarumaru","Northland","masked","masked","masked","400","<50"
"101200","Herekino-Takahue","Northland","masked","masked","masked","<50","<50"
"101300","Peria","Northland","masked","masked","masked","<50","<50"
"101400","Taemaro-Oruaiti","Northland","masked","masked","masked","500","<50"
"101500","Whakapaku","Northland","masked","masked","masked","masked","masked"
"101600","Hokianga North","Northland","masked","masked","masked","<50","<50"
"101700","Kohukohu-Broadwood","Northland","masked","masked","masked","<50","<50"
"101800","Whakarara","Northland","masked","masked","masked","333","<50"
"101900","Kaeo","Northland","masked","masked","masked","400","<50"
"102000","Omahuta Forest-Horeke","Northland","masked","masked","masked","<50","<50"
"102100","Hokianga South","Northland","masked","masked","masked","<50","<50"
"102200","Lake Manuwai-Kapiro","Northland","masked","masked","7","<50","<50"
"102300","?kaihau","Northland","masked","masked","6","<50","<50"
"102400","Rangitane-Purerua","Northland","masked","masked","6","333","<50"
"102500","Waipapa","Northland","masked","masked","masked","<50","<50"
"102600","Puketotara","Northland","masked","masked","masked","667","<50"
"102700","Waim? Forest","Northland","masked","masked","masked","<50","<50"
"102800","Riverview","Northland","masked","masked","masked","<50","<50"
"102900","Waipoua Forest","Northland","masked","masked","masked","<50","<50"
"103000","Kerikeri Central","Northland","masked","masked","13","308","<50"
"103100","Kerikeri South","Northland","masked","masked","10","100","<50"
"103200","?haeawai-Waimate North","Northland","masked","masked","masked","masked","masked"
"103300","Puketona-Waitangi","Northland","masked","masked","masked","masked","masked"
"103400","Ngapuhi","Northland","masked","masked","masked","<50","<50"
"103500","Kaikohe","Northland","masked","masked","9","444","<50"
"103600","Pakaraka","Northland","masked","masked","masked","masked","masked"
"103700","Haruru","Northland","masked","masked","7","<50","<50"
"103800","Russell","Northland","masked","masked","masked","masked","masked"
"103900","Paihia","Northland","masked","masked","masked","750","<50"
"104000","Mataraua Forest","Northland","masked","masked","masked",">950","<50"
"104100","Matawaia-Taumarere","Northland","masked","masked","masked","<50","<50"
"104200","Russell Peninsula","Northland","masked","masked","masked","masked","masked"
"104300","Opua (Far North District)","Northland","masked","masked","masked","<50","<50"
