sa2_code,sa2_name,dhb,ta,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
100100,North Cape,Northland,Far North District,1255,1143,1520,826,752
100200,Rangaunu Harbour,Northland,Far North District,1483,1232,1896,782,650
100300,Inlets Far North District,Northland,Far North District,5 or less,5 or less,masked,>950,>950
100400,Karikari Peninsula,Northland,Far North District,1027,881,1322,777,666
100500,Tangonge,Northland,Far North District,778,681,953,816,715
100600,Ahipara,Northland,Far North District,817,677,1041,785,650
100700,Kaitaia East,Northland,Far North District,1515,1151,1979,766,582
100800,Kaitaia West,Northland,Far North District,2266,1741,2933,773,594
100900,Rangitihi,Northland,Far North District,606,481,784,773,614
101000,Oruru-Parapara,Northland,Far North District,597,482,807,740,597
101100,Taumarumaru,Northland,Far North District,1866,1675,2199,849,762
101200,Herekino-Takahue,Northland,Far North District,601,490,841,715,583
101300,Peria,Northland,Far North District,691,553,1030,671,537
101400,Taemaro-Oruaiti,Northland,Far North District,636,555,842,755,659
101500,Whakapaku,Northland,Far North District,442,384,639,692,601
101600,Hokianga North,Northland,Far North District,577,500,741,779,675
101700,Kohukohu-Broadwood,Northland,Far North District,520,449,676,769,664
101800,Whakarara,Northland,Far North District,854,761,1076,794,707
101900,Kaeo,Northland,Far North District,720,620,1003,718,618
102000,Omahuta Forest-Horeke,Northland,Far North District,630,496,946,666,524
102100,Hokianga South,Northland,Far North District,754,627,1122,672,559
102200,Lake Manuwai-Kapiro,Northland,Far North District,1662,1489,1957,849,761
102300,Okaihau,Northland,Far North District,786,661,985,798,671
102400,Rangitane-Purerua,Northland,Far North District,1008,872,1230,820,709
102500,Waipapa,Northland,Far North District,564,503,680,829,740
102600,Puketotara,Northland,Far North District,1324,1166,1556,851,749
102700,Waima Forest,Northland,Far North District,640,480,956,669,502
102800,Riverview,Northland,Far North District,1757,1589,1922,914,827
102900,Waipoua Forest,Northland,Far North District,755,632,1112,679,568
103000,Kerikeri Central,Northland,Far North District,2020,1797,2313,873,777
103100,Kerikeri South,Northland,Far North District,2164,1981,2455,881,807
103200,Ohaeawai-Waimate North,Northland,Far North District,857,746,1049,817,711
103300,Puketona-Waitangi,Northland,Far North District,1035,933,1252,827,745
103400,Ngapuhi,Northland,Far North District,906,718,1244,728,577
103500,Kaikohe,Northland,Far North District,2491,2007,3540,704,567
103600,Pakaraka,Northland,Far North District,428,371,533,803,696
103700,Haruru,Northland,Far North District,818,743,994,823,747
103800,Russell,Northland,Far North District,669,632,758,883,834
103900,Paihia,Northland,Far North District,1228,1102,1465,838,752
104000,Mataraua Forest,Northland,Far North District,327,245,452,723,542
104100,Matawaia-Taumarere,Northland,Far North District,859,706,1217,706,580
104200,Russell Peninsula,Northland,Far North District,481,447,598,804,747
104300,Opua (Far North District),Northland,Far North District,976,895,1149,849,779
104400,Russell Forest-Rawhiti,Northland,Far North District,475,425,607,783,700
104500,Moerewa,Northland,Far North District,1009,833,1332,758,625
104600,Kawakawa,Northland,Far North District,932,781,1201,776,650
104700,Maromaku,Northland,Far North District,419,342,578,725,592
104800,Mangakahia-Hukerenui,Northland,Whangarei District,1169,953,1525,767,625
104900,Whangaruru,Northland,Whangarei District,1743,1494,2125,820,703
105100,Matarau,Northland,Whangarei District,2343,2094,2739,855,765
105200,Hikurangi,Northland,Whangarei District,932,775,1197,779,647
105300,Kauri,Northland,Whangarei District,1276,1141,1502,850,760
105400,Maungatapere,Northland,Whangarei District,2527,2257,3001,842,752
105500,Kamo West,Northland,Whangarei District,1622,1477,1891,858,781
105600,Matapouri-Tutukaka,Northland,Whangarei District,1357,1230,1589,854,774
105700,Kiripaka,Northland,Whangarei District,717,626,873,821,717
105800,Kamo East,Northland,Whangarei District,2024,1719,2427,834,708
105900,Granfield Reserve,Northland,Whangarei District,2545,2322,2828,900,821
106000,Kamo Central,Northland,Whangarei District,1189,1024,1364,872,751
106100,Whau Valley,Northland,Whangarei District,2101,1888,2505,839,754
106200,Tikipunga North,Northland,Whangarei District,2369,2039,2764,857,738
106300,Pukenui,Northland,Whangarei District,1755,1640,1976,888,830
106400,Otangarei,Northland,Whangarei District,1202,885,1729,695,512
106500,Tikipunga South,Northland,Whangarei District,2675,2319,3164,845,733
106600,Kensington (Whangarei District),Northland,Whangarei District,2579,2326,2928,881,794
106700,Abbey Caves-Glenbervie,Northland,Whangarei District,1009,925,1168,864,792
106800,Mairtown,Northland,Whangarei District,1879,1706,2155,872,792
106900,Maunu-Horahora,Northland,Whangarei District,2608,2374,2986,873,795
107000,Woodhill-Vinetown,Northland,Whangarei District,2096,1856,2471,848,751
107100,Whangarei Central,Northland,Whangarei District,835,755,957,873,789
107200,Riverside,Northland,Whangarei District,1571,1393,1872,839,744
107300,Raumanga,Northland,Whangarei District,2025,1605,2672,758,601
107400,Tarewa,Northland,Whangarei District,1115,895,1506,740,594
107500,Morningside (Whangarei District),Northland,Whangarei District,1599,1325,1930,828,687
107600,Ngunguru,Northland,Whangarei District,915,830,1047,874,793
107700,Otaika-Portland,Northland,Whangarei District,918,822,1146,801,717
107800,Oakleigh-Mangapai,Northland,Whangarei District,1643,1481,1954,841,758
107900,Port-Limeburners,Northland,Whangarei District,155,134,186,833,720
108000,Pataua,Northland,Whangarei District,1166,1016,1442,809,705
108100,Onerahi Park,Northland,Whangarei District,1209,1095,1380,876,793
108200,Sherwood Rise,Northland,Whangarei District,1705,1490,2027,841,735
108300,Onerahi,Northland,Whangarei District,1660,1426,2095,792,681
108400,Inlet Whangarei Harbour,Northland,Whangarei District,10,8,17,588,471
108500,Parua Bay,Northland,Whangarei District,1980,1805,2217,893,814
108600,Bream Bay,Northland,Whangarei District,1551,1366,1840,843,742
108700,Marsden Bay,Northland,Whangarei District,2082,1943,2273,916,855
108800,Ruakaka,Northland,Whangarei District,2044,1812,2337,875,775
108900,Bream Head,Northland,Whangarei District,1073,989,1218,881,812
109000,Waipu,Northland,Whangarei District,2302,2082,2694,854,773
109100,Kaipara Coastal,Northland,Kaipara District,2379,2008,3153,755,637
109200,Maungaru,Northland,Kaipara District,1191,1020,1510,789,675
109300,Dargaville,Northland,Kaipara District,3319,2857,4255,780,671
109400,Ruawai-Matakohe,Northland,Kaipara District,1717,1512,2100,818,720
109500,Otamatea (Kaipara District),Northland,Kaipara District,1145,989,1518,754,652
109600,Maungaturoto,Northland,Kaipara District,858,741,1036,828,715
109700,Kaiwaka,Northland,Kaipara District,1505,1273,1981,760,643
109800,Mangawhai Rural,Northland,Kaipara District,1705,1500,2178,783,689
109900,Mangawhai Heads,Northland,Kaipara District,1809,1651,2112,857,782
110100,Mangawhai,Northland,Kaipara District,819,734,949,863,773
110200,Okahukura Peninsula,Waitemata,Auckland,1057,921,1283,824,718
110400,Cape Rodney,Waitemata,Auckland,2562,2337,3078,832,759
110500,Wellsford,Waitemata,Auckland,1323,1165,1608,823,725
110700,South Head,Waitemata,Auckland,1877,1692,2192,856,772
110800,Kaipara Hills,Waitemata,Auckland,1413,1225,1698,832,721
110900,Dome Valley-Matakana,Waitemata,Auckland,1221,1117,1385,882,806
111100,Warkworth West,Waitemata,Auckland,1980,1840,2184,907,842
111200,Puhoi Valley,Waitemata,Auckland,2857,2622,3271,873,802
111300,Warkworth East,Waitemata,Auckland,2760,2563,3023,913,848
111400,Sandspit,Waitemata,Auckland,780,731,899,868,813
111500,Tawharanui Peninsula,Waitemata,Auckland,1750,1645,1869,936,880
111600,Te Kuru,Waitemata,Auckland,1836,1674,2040,900,821
111700,Snells Beach,Waitemata,Auckland,2738,2504,3089,886,811
111800,Barrier Islands,Auckland,Auckland,667,624,845,789,738
111900,Algies Bay-Scotts Landing,Waitemata,Auckland,915,853,1092,838,781
112100,Wainui-Waiwera,Waitemata,Auckland,1370,1257,1568,874,802
112200,Parakai,Waitemata,Auckland,748,670,871,859,769
112300,Helensville Rural,Waitemata,Auckland,1189,1091,1343,885,812
112400,Helensville,Waitemata,Auckland,2050,1814,2335,878,777
112500,Waitoki,Waitemata,Auckland,1262,1160,1397,903,830
112600,Waikoukou Valley,Waitemata,Auckland,1271,1165,1419,896,821
112700,Orewa North,Waitemata,Auckland,3926,3759,4179,939,899
112800,Hatfields Beach,Waitemata,Auckland,1194,1111,1307,914,850
112900,Orewa South,Waitemata,Auckland,3159,3009,3367,938,894
113000,Orewa Central,Waitemata,Auckland,2727,2578,2968,919,869
113100,Millwater North,Waitemata,Auckland,2824,2683,3060,923,877
113200,Waipatukahu,Waitemata,Auckland,1009,919,1151,877,798
113300,Millwater South,Waitemata,Auckland,2866,2690,3017,950,892
113400,Dairy Flat North,Waitemata,Auckland,1807,1617,2032,889,796
113500,Dairy Flat West,Waitemata,Auckland,1137,1037,1265,899,820
113600,Kingsway,Waitemata,Auckland,1834,1714,2006,914,854
113700,Riverhead Forest,Waitemata,Auckland,5 or less,5 or less,masked,>950,>950
113800,Silverdale Central (Auckland),Waitemata,Auckland,380,347,409,929,848
113900,Red Beach West,Waitemata,Auckland,2156,2043,2404,897,850
114000,Red Beach East,Waitemata,Auckland,3155,2936,3406,926,862
114100,Silverdale South (Auckland),Waitemata,Auckland,1530,1408,1699,901,829
114200,Waimauku,Waitemata,Auckland,1038,968,1128,920,858
114300,Gulf Islands,Waitemata,Auckland,43,46,57,754,807
114300,Gulf Islands,Auckland,Auckland,47,46,57,825,807
114300,Gulf Islands,Counties Manukau,Auckland,47,46,57,825,807
114400,Vipond,Waitemata,Auckland,2252,2089,2460,915,849
114500,Muriwai,Waitemata,Auckland,836,790,940,889,840
114600,Stanmore Bay West,Waitemata,Auckland,1982,1817,2202,900,825
114700,Kumeu Rural West,Waitemata,Auckland,1327,1223,1473,901,830
114800,Okura Bush,Waitemata,Auckland,1065,974,1186,898,821
114900,Whangaparoa Central,Waitemata,Auckland,3369,3108,3679,916,845
115000,Kumeu-Huapai,Waitemata,Auckland,3693,3459,3912,944,884
115100,Stanmore Bay East,Waitemata,Auckland,2086,1910,2338,892,817
115200,Manly West,Waitemata,Auckland,1852,1700,2067,896,822
115300,Muriwai Valley-Bethells Beach,Waitemata,Auckland,781,718,908,860,791
115400,Tindalls-Matakatia,Waitemata,Auckland,1602,1500,1784,898,841
115500,Coatesville,Waitemata,Auckland,1774,1667,1979,896,842
115600,Dairy Flat South,Waitemata,Auckland,1288,1209,1427,903,847
115700,Gulf Harbour North,Waitemata,Auckland,2321,2193,2501,928,877
115800,Manly East,Waitemata,Auckland,2747,2577,3101,886,831
115900,Riverhead,Waitemata,Auckland,2284,2145,2454,931,874
116000,Army Bay,Waitemata,Auckland,1203,1123,1322,910,849
116100,Kumeu Rural East,Waitemata,Auckland,1915,1758,2176,880,808
116200,Gulf Harbour South,Waitemata,Auckland,2303,2162,2531,910,854
116300,Paremoremo West,Waitemata,Auckland,724,659,803,902,821
116400,Taupaki,Waitemata,Auckland,1315,1212,1479,889,819
116500,Long Bay,Waitemata,Auckland,masked,1806,1976,>950,914
116600,Paremoremo East,Waitemata,Auckland,1643,1508,1817,904,830
116700,Albany Heights,Waitemata,Auckland,masked,2740,3021,>950,907
116800,Awaruku,Waitemata,Auckland,3473,3283,3711,936,885
116900,Fairview Heights,Waitemata,Auckland,3140,2942,3305,950,890
117000,Whenuapai,Waitemata,Auckland,masked,3888,4458,>950,872
117100,Waitakere Ranges North,Waitemata,Auckland,958,862,1074,892,803
117200,Torbay,Waitemata,Auckland,3492,3274,3773,926,868
117300,Albany Central,Waitemata,Auckland,masked,917,1023,>950,896
117400,Albany West,Waitemata,Auckland,masked,2238,2443,>950,916
117500,Glamorgan,Waitemata,Auckland,masked,2390,2637,>950,906
117600,Oteha East,Waitemata,Auckland,2443,2327,2582,946,901
117700,Northcross,Waitemata,Auckland,masked,2522,2776,>950,909
117800,Oteha West,Waitemata,Auckland,masked,1548,1661,>950,932
