"sa2_code","sa2_name","dhb","dose1_cnt","dose2_cnt","pop_cnt","dose1_uptake","dose2_uptake"
"Unknown","Unknown","Unknown","masked","63307","67647",">950","936"
"100100","North Cape","Northland","1344","1266","1559","862","812"
"100200","Rangaunu Harbour","Northland","1583","1443","1929","821","748"
"100300","Inlets Far North District","Northland","20 or less","20 or less","masked",">950",">950"
"100400","Karikari Peninsula","Northland","1106","1023","1337","827","765"
"100500","Tangonge","Northland","825","774","963","857","804"
"100600","Ahipara","Northland","873","811","1059","824","766"
"100700","Kaitaia East","Northland","1698","1474","2023","839","729"
"100800","Kaitaia West","Northland","2483","2157","2959","839","729"
"100900","Rangitihi","Northland","645","597","795","811","751"
"101000","Oruru-Parapara","Northland","623","568","813","766","699"
"101100","Taumarumaru","Northland","1967","1862","2232","881","834"
"101200","Herekino-Takahue","Northland","668","599","868","770","690"
"101300","Peria","Northland","751","674","1046","718","644"
"101400","Taemaro-Oruaiti","Northland","675","625","850","794","735"
"101500","Whakapaku","Northland","489","451","655","747","689"
"101600","Hokianga North","Northland","617","564","760","812","742"
"101700","Kohukohu-Broadwood","Northland","551","509","680","810","749"
"101800","Whakarara","Northland","904","858","1093","827","785"
"101900","Kaeo","Northland","790","712","1044","757","682"
"102000","Omahuta Forest-Horeke","Northland","700","614","965","725","636"
"102100","Hokianga South","Northland","835","740","1146","729","646"
"102200","Lake Manuwai-Kapiro","Northland","1747","1660","1971","886","842"
"102300","Okaihau","Northland","832","783","995","836","787"
"102400","Rangitane-Purerua","Northland","1091","1017","1261","865","807"
"102500","Waipapa","Northland","611","577","709","862","814"
"102600","Puketotara","Northland","1394","1322","1590","877","831"
"102700","Waima Forest","Northland","713","617","953","748","647"
"102800","Riverview","Northland","1844","1770","1958","942","904"
"102900","Waipoua Forest","Northland","836","743","1133","738","656"
"103000","Kerikeri Central","Northland","2155","2035","2348","918","867"
"103100","Kerikeri South","Northland","2252","2167","2485","906","872"
"103200","Ohaeawai-Waimate North","Northland","893","843","1063","840","793"
"103300","Puketona-Waitangi","Northland","1069","1021","1252","854","815"
"103400","Ngapuhi","Northland","997","882","1268","786","696"
"103500","Kaikohe","Northland","2785","2451","3594","775","682"
"103600","Pakaraka","Northland","467","424","543","860","781"
"103700","Haruru","Northland","853","821","1011","844","812"
"103800","Russell","Northland","700","680","775","903","877"
"103900","Paihia","Northland","1326","1243","1503","882","827"
"104000","Mataraua Forest","Northland","357","317","459","778","691"
"104100","Matawaia-Taumarere","Northland","956","851","1245","768","684"
"104200","Russell Peninsula","Northland","512","506","617","830","820"
"104300","Opua (Far North District)","Northland","1030","977","1167","883","837"
"104400","Russell Forest-Rawhiti","Northland","525","482","626","839","770"
"104500","Moerewa","Northland","1094","960","1342","815","715"
"104600","Kawakawa","Northland","1026","922","1215","844","759"
"104700","Maromaku","Northland","449","408","589","762","693"
"104800","Mangakahia-Hukerenui","Northland","1295","1175","1565","827","751"
"104900","Whangaruru","Northland","1847","1716","2160","855","794"
"105100","Matarau","Northland","2455","2339","2770","886","844"
"105200","Hikurangi","Northland","1039","917","1213","857","756"
"105300","Kauri","Northland","1350","1290","1541","876","837"
"105400","Maungatapere","Northland","2639","2506","3027","872","828"
"105500","Kamo West","Northland","1731","1626","1933","895","841"
"105600","Matapouri-Tutukaka","Northland","1441","1376","1620","890","849"
"105700","Kiripaka","Northland","760","714","881","863","810"
"105800","Kamo East","Northland","2206","2008","2462","896","816"
"105900","Granfield Reserve","Northland","2652","2543","2854","929","891"
"106000","Kamo Central","Northland","1252","1181","1380","907","856"
"106100","Whau Valley","Northland","2240","2107","2542","881","829"
"106200","Tikipunga North","Northland","2543","2354","2812","904","837"
"106300","Pukenui","Northland","1852","1795","2015","919","891"
"106400","Otangarei","Northland","1404","1151","1758","799","655"
"106500","Tikipunga South","Northland","2872","2650","3194","899","830"
"106600","Kensington (Whangarei District)","Northland","2702","2563","2933","921","874"
"106700","Abbey Caves-Glenbervie","Northland","1062","1019","1181","899","863"
"106800","Mairtown","Northland","2001","1903","2206","907","863"
"106900","Maunu-Horahora","Northland","2729","2607","3007","908","867"
"107000","Woodhill-Vinetown","Northland","2233","2099","2510","890","836"
"107100","Whangarei Central","Northland","886","839","967","916","868"
"107200","Riverside","Northland","1654","1558","1885","877","827"
"107300","Raumanga","Northland","2276","1956","2709","840","722"
"107400","Tarewa","Northland","1259","1087","1514","832","718"
"107500","Morningside (Whangarei District)","Northland","1722","1580","1937","889","816"
"107600","Ngunguru","Northland","937","909","1056","887","861"
"107700","Otaika-Portland","Northland","991","926","1172","846","790"
"107800","Oakleigh-Mangapai","Northland","1727","1644","1976","874","832"
"107900","Port-Limeburners","Northland","165","153","186","887","823"
"108000","Pataua","Northland","1238","1166","1468","843","794"
"108100","Onerahi Park","Northland","1290","1231","1406","917","876"
"108200","Sherwood Rise","Northland","1807","1678","2029","891","827"
"108300","Onerahi","Northland","1794","1621","2103","853","771"
"108400","Inlet Whangarei Harbour","Northland","20 or less","20 or less","masked","588","588"
"108500","Parua Bay","Northland","2088","2021","2265","922","892"
"108600","Bream Bay","Northland","1666","1554","1871","890","831"
"108700","Marsden Bay","Northland","2190","2116","2320","944","912"
"108800","Ruakaka","Northland","2185","2042","2378","919","859"
"108900","Bream Head","Northland","1102","1063","1216","906","874"
"109000","Waipu","Northland","2402","2321","2753","873","843"
"109100","Kaipara Coastal","Northland","2552","2359","3207","796","736"
"109200","Maungaru","Northland","1277","1204","1546","826","779"
"109300","Dargaville","Northland","3589","3299","4312","832","765"
"109400","Ruawai-Matakohe","Northland","1815","1706","2136","850","799"
"109500","Otamatea (Kaipara District)","Northland","1227","1133","1531","801","740"
"109600","Maungaturoto","Northland","941","876","1063","885","824"
"109700","Kaiwaka","Northland","1604","1498","2004","800","748"
"109800","Mangawhai Rural","Northland","1804","1724","2227","810","774"
"109900","Mangawhai Heads","Northland","1893","1826","2134","887","856"
"110100","Mangawhai","Northland","857","823","957","896","860"
"110200","Okahukura Peninsula","Waitemata","1110","1054","1307","849","806"
"110400","Cape Rodney","Waitemata","2695","2596","3134","860","828"
"110500","Wellsford","Waitemata","1390","1314","1628","854","807"
"110700","South Head","Waitemata","1954","1881","2229","877","844"
"110800","Kaipara Hills","Waitemata","1492","1418","1736","859","817"
"110900","Dome Valley-Matakana","Waitemata","1247","1202","1399","891","859"
"111100","Warkworth West","Waitemata","2096","2022","2267","925","892"
"111200","Puhoi Valley","Waitemata","2951","2830","3302","894","857"
"111300","Warkworth East","Waitemata","2869","2791","3092","928","903"
"111400","Sandspit","Waitemata","809","785","906","893","866"
"111500","Tawharanui Peninsula","Waitemata","masked","1766","1903",">950","928"
"111600","Te Kuru","Waitemata","1916","1844","2083","920","885"
"111700","Snells Beach","Waitemata","2865","2777","3150","910","882"
"111800","Barrier Islands","Auckland","732","695","899","814","773"
"111900","Algies Bay-Scotts Landing","Waitemata","962","922","1116","862","826"
"112100","Wainui-Waiwera","Waitemata","1408","1363","1586","888","859"
"112200","Parakai","Waitemata","785","754","892","880","845"
"112300","Helensville Rural","Waitemata","1252","1212","1383","905","876"
"112400","Helensville","Waitemata","2155","2053","2401","898","855"
"112500","Waitoki","Waitemata","1281","1250","1406","911","889"
"112600","Waikoukou Valley","Waitemata","1324","1290","1459","907","884"
"112700","Orewa North","Waitemata","4056","3981","4288","946","928"
"112800","Hatfields Beach","Waitemata","1222","1199","1314","930","912"
"112900","Orewa South","Waitemata","masked","3225","3469",">950","930"
"113000","Orewa Central","Waitemata","2823","2751","3040","929","905"
"113100","Millwater North","Waitemata","2887","2810","3065","942","917"
"113200","Waipatukahu","Waitemata","1057","1025","1175","900","872"
"113300","Millwater South","Waitemata","masked","2857","3049",">950","937"
"113400","Dairy Flat North","Waitemata","1911","1826","2079","919","878"
"113500","Dairy Flat West","Waitemata","1174","1145","1289","911","888"
"113600","Kingsway","Waitemata","1879","1814","2018","931","899"
"113700","Riverhead Forest","Waitemata","20 or less","20 or less","masked",">950",">950"
"113800","Silverdale Central (Auckland)","Waitemata","masked","388","428",">950","907"
"113900","Red Beach West","Waitemata","2261","2211","2477","913","893"
"114000","Red Beach East","Waitemata","3278","3190","3469","945","920"
"114100","Silverdale South (Auckland)","Waitemata","1577","1528","1718","918","889"
"114200","Waimauku","Waitemata","1087","1055","1152","944","916"
"114300","Gulf Islands","Auckland","20 or less","20 or less","masked","833","792"
"114300","Gulf Islands","Waitemata","29","29","35","829","829"
"114400","Vipond","Waitemata","2311","2271","2488","929","913"
"114500","Muriwai","Waitemata","866","837","954","908","877"
"114600","Stanmore Bay West","Waitemata","2040","1963","2210","923","888"
"114700","Kumeu Rural West","Waitemata","1386","1324","1486","933","891"
"114800","Okura Bush","Waitemata","1072","1043","1192","899","875"
"114900","Whangaparoa Central","Waitemata","3467","3350","3703","936","905"
"115000","Kumeu-Huapai","Waitemata","masked","3716","3971",">950","936"
"115100","Stanmore Bay East","Waitemata","2150","2067","2364","909","874"
"115200","Manly West","Waitemata","1910","1843","2077","920","887"
"115300","Muriwai Valley-Bethells Beach","Waitemata","814","785","919","886","854"
"115400","Tindalls-Matakatia","Waitemata","1636","1604","1803","907","890"
"115500","Coatesville","Waitemata","1825","1763","1998","913","882"
"115600","Dairy Flat South","Waitemata","1357","1317","1469","924","897"
"115700","Gulf Harbour North","Waitemata","2364","2310","2501","945","924"
"115800","Manly East","Waitemata","2834","2771","3137","903","883"
"115900","Riverhead","Waitemata","2381","2321","2511","948","924"
"116000","Army Bay","Waitemata","1237","1201","1327","932","905"
"116100","Kumeu Rural East","Waitemata","2018","1956","2240","901","873"
"116200","Gulf Harbour South","Waitemata","2362","2325","2551","926","911"
"116300","Paremoremo West","Waitemata","750","718","822","912","873"
"116400","Taupaki","Waitemata","1359","1310","1502","905","872"
"116500","Long Bay","Waitemata","masked","masked","1995",">950",">950"
"116600","Paremoremo East","Waitemata","1688","1634","1831","922","892"
"116700","Albany Heights","Waitemata","masked","masked","3029",">950",">950"
"116800","Awaruku","Waitemata","masked","3479","3742",">950","930"
"116900","Fairview Heights","Waitemata","masked","3140","3329",">950","943"
"117000","Whenuapai","Waitemata","masked","4270","4523",">950","944"
"117100","Waitakere Ranges North","Waitemata","975","952","1086","898","877"
"117200","Torbay","Waitemata","3597","3514","3812","944","922"
"117300","Albany Central","Waitemata","masked","masked","1041",">950",">950"
"117400","Albany West","Waitemata","masked","masked","2493",">950",">950"
"117500","Glamorgan","Waitemata","masked","masked","2652",">950",">950"
"117600","Oteha East","Waitemata","masked","2492","2629",">950","948"
"117700","Northcross","Waitemata","masked","masked","2801",">950",">950"
"117800","Oteha West","Waitemata","masked","masked","1673",">950",">950"
"117900","Waiake","Waitemata","masked","3107","3311",">950","938"
"118000","Waitakere","Waitemata","1567","1513","1708","917","886"
"118100","Albany South","Waitemata","masked","2852","3028",">950","942"
"118200","Browns Bay South West","Waitemata","masked","3371","3604",">950","935"
"118300","Browns Bay Central","Waitemata","2564","2501","2713","945","922"
"118400","Schnapper Rock","Waitemata","masked","masked","3309",">950",">950"
"118500","Pinehill ","Waitemata","masked","masked","3984",">950",">950"
"118600","North Harbour","Waitemata","801","777","879","911","884"
"118700","Browns Bay South East","Waitemata","masked","masked","2476",">950",">950"
"118800","Westgate Central","Waitemata","masked","30","32",">950","938"
"118900","Greenhithe West","Waitemata","masked","2983","3184",">950","937"
"119000","Rothesay Bay","Waitemata","masked","2462","2601",">950","947"
"119100","Greenhithe East","Waitemata","masked","masked","2627",">950",">950"
"119200","Hobsonville","Waitemata","masked","masked","1290",">950",">950"
"119300","Inlet Waitemata Harbour","Area outside District Health Board","20 or less","20 or less","masked","500","500"
"119400","Greenhithe South","Waitemata","masked","1706","1828",">950","933"
"119500","Murrays Bay West","Waitemata","masked","masked","2240",">950",">950"
"119600","Westgate South","Waitemata","masked","1768","1929",">950","917"
"119700","Windsor Park","Waitemata","1428","1407","1539","928","914"
"119800","West Harbour West","Waitemata","3107","2932","3283","946","893"
"119900","Unsworth Heights West","Waitemata","masked","1982","2093",">950","947"
"120000","Murrays Bay East","Waitemata","masked","1833","1955",">950","938"
"120100","Birdwood West","Waitemata","663","630","718","923","877"
"120200","Hobsonville Point","Waitemata","masked","masked","7230",">950",">950"
"120300","West Harbour Clearwater Cove","Waitemata","masked","3577","3818",">950","937"
"120400","Unsworth Heights East","Waitemata","masked","3057","3232",">950","946"
"120500","Mairangi Bay North","Waitemata","masked","2453","2615",">950","938"
"120600","Massey Central","Waitemata","2499","2347","2648","944","886"
"120700","West Harbour Luckens Point","Waitemata","2299","2251","2424","948","929"
"120800","Mairangi Bay South","Waitemata","masked","2359","2486",">950","949"
"120900","Massey Royal Road West","Waitemata","masked","2250","2437",">950","923"
"121000","Bayview East","Waitemata","masked","masked","2882",">950",">950"
"121100","Swanson Rural","Waitemata","1850","1789","2034","910","880"
"121200","Sunnynook South","Waitemata","masked","masked","2104",">950",">950"
"121300","Sunnynook North","Waitemata","masked","masked","2331",">950",">950"
"121400","Bayview West","Waitemata","masked","masked","1894",">950",">950"
"121500","Totara Vale North","Waitemata","masked","masked","2531",">950",">950"
"121600","Royal Heights North","Waitemata","3091","2974","3270","945","909"
"121700","Massey West","Waitemata","1344","1280","1415","950","905"
"121800","Beach Haven West","Waitemata","2628","2556","2773","948","922"
"121900","Totara Vale South","Waitemata","masked","masked","3204",">950",">950"
"122000","Swanson","Waitemata","masked","2270","2414",">950","940"
"122100","Bayview South","Waitemata","masked","2355","2481",">950","949"
"122200","Campbells Bay","Waitemata","masked","masked","2566",">950",">950"
"122300","Royal Heights South","Waitemata","2864","2738","3092","926","886"
"122400","Beach Haven East","Waitemata","2956","2824","3165","934","892"
"122500","Massey East","Waitemata","2799","2654","2973","941","893"
"122600","Forrest Hill North","Waitemata","masked","masked","1988",">950",">950"
"122700","Glenfield North","Waitemata","masked","masked","2720",">950",">950"
"122800","Birkdale North","Waitemata","masked","3198","3386",">950","944"
"122900","Massey South","Waitemata","3465","3303","3702","936","892"
"123000","Ranui North","Waitemata","2944","2762","3200","920","863"
"123100","Glenfield West","Waitemata","masked","masked","2571",">950",">950"
"123200","Te Atatu Peninsula North West","Waitemata","2480","2384","2621","946","910"
"123300","Glenfield South West","Waitemata","masked","masked","3205",">950",">950"
"123400","Forrest Hill West","Waitemata","masked","masked","3529",">950",">950"
"123500","Wairau Valley ","Waitemata","209","196","228","917","860"
"123600","Forrest Hill East","Waitemata","masked","masked","2938",">950",">950"
"123700","Castor Bay","Waitemata","masked","masked","4085",">950",">950"
"123800","Ranui Domain","Waitemata","2650","2470","2875","922","859"
"123900","Beach Haven South","Waitemata","masked","2501","2658",">950","941"
"124000","Glenfield Central","Waitemata","masked","masked","3352",">950",">950"
"124100","Piha","Waitemata","747","728","853","876","853"
"124200","Ranui South West","Waitemata","2113","2005","2229","948","900"
"124300","Henderson Larnoch","Waitemata","masked","3131","3448",">950","908"
"124400","Birkdale South","Waitemata","masked","3564","3769",">950","946"
"124500","Te Atatu Peninsula Central","Waitemata","2587","2481","2780","931","892"
"124600","Glenfield East","Waitemata","masked","masked","1874",">950",">950"
"124700","Henderson Valley","Waitemata","1131","1092","1223","925","893"
"124800","Te Atatu Peninsula West","Waitemata","masked","2892","3137",">950","922"
"124900","Henderson Lincoln West","Waitemata","masked","2462","2719",">950","905"
"125000","Ranui South East","Waitemata","2209","2132","2389","925","892"
"125100","Henderson Lincoln East","Waitemata","masked","198","212",">950","934"
"125200","Birkenhead West","Waitemata","masked","3841","4051",">950","948"
"125300","Te Atatu Peninsula East","Waitemata","2499","2432","2643","946","920"
"125400","Milford West","Waitemata","masked","2458","2624",">950","937"
"125500","Westlake","Waitemata","masked","masked","2551",">950",">950"
"125600","Hillcrest North (Auckland)","Waitemata","masked","masked","3005",">950",">950"
"125700","Henderson Lincoln South","Waitemata","2012","1934","2137","942","905"
"125800","Hillcrest West (Auckland)","Waitemata","masked","masked","2715",">950",">950"
"125900","Milford Central","Waitemata","masked","1723","1833",">950","940"
"126000","Summerland South","Waitemata","2621","2567","2778","943","924"
"126100","Summerland North","Waitemata","masked","2091","2228",">950","939"
"126200","Hillcrest East (Auckland)","Waitemata","masked","masked","3281",">950",">950"
"126300","Chatswood","Waitemata","masked","2872","3046",">950","943"
"126400","Te Atatu South-Edmonton","Waitemata","2946","2809","3159","933","889"
"126500","Birkenhead North","Waitemata","masked","2280","2412",">950","945"
"126600","Takapuna West","Waitemata","masked","masked","4075",">950",">950"
"126700","Henderson North","Waitemata","3164","3046","3392","933","898"
"126800","Takapuna Central","Waitemata","2249","2217","2426","927","914"
"126900","Western Heights (Auckland)","Waitemata","masked","3542","3835",">950","924"
"127000","Te Atatu South-Central","Waitemata","masked","3344","3561",">950","939"
"127100","Northcote Central (Auckland)","Waitemata","masked","1616","1726",">950","936"
"127200","Akoranga","Waitemata","masked","1051","1120",">950","938"
"127300","Northcote South (Auckland)","Waitemata","masked","masked","2157",">950",">950"
"127400","Birkenhead South","Waitemata","masked","masked","2677",">950",">950"
"127500","Henderson Central","Waitemata","1225","1171","1324","925","884"
"127600","Waiatarua","Waitemata","1780","1734","1873","950","926"
"127700","Te Atatu South-McLeod North","Waitemata","2788","2670","2935","950","910"
"127800","Henderson Valley Park","Waitemata","1582","1483","1692","935","876"
"127900","Henderson North East","Waitemata","2168","2074","2324","933","892"
"128000","Waitakere Ranges South","Waitemata","851","816","961","886","849"
"128100","Northcote Tuff Crater","Waitemata","masked","masked","1862",">950",">950"
"128200","Northcote Point (Auckland)","Waitemata","masked","masked","2571",">950",">950"
"128300","McLaren Park","Waitemata","3287","3130","3581","918","874"
"128400","Henderson East","Waitemata","2247","2169","2384","943","910"
"128500","Te Atatu South-McLeod South","Waitemata","2963","2867","3162","937","907"
"128600","Takapuna South","Waitemata","masked","1290","1372",">950","940"
"128700","Rosebank Peninsula","Auckland","masked","masked","49",">950",">950"
"128800","Hauraki","Waitemata","masked","3429","3628",">950","945"
"128900","Glendene North","Waitemata","3807","3634","4071","935","893"
"129000","Sunnyvale West-Parrs Park","Waitemata","2033","1920","2183","931","880"
"129100","Sunnyvale East","Waitemata","3887","3710","4163","934","891"
"129200","Point Chevalier West","Auckland","3290","3217","3476","946","925"
"129300","Belmont (Auckland)","Waitemata","masked","masked","2465",">950",">950"
"129400","Bayswater","Waitemata","masked","2236","2386",">950","937"
"129500","Glendene South","Waitemata","masked","2328","2550",">950","913"
"129600","Glen Eden West","Waitemata","2949","2805","3138","940","894"
"129700","Herne Bay","Auckland","masked","2612","2766",">950","944"
