sa2_code,sa2_name,dhb,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
Unknown,Unknown,Unknown,58918,56615,55539,>950,>950
100100,North Cape,Northland,1414,1359,1760,803,772
100200,Rangaunu Harbour,Northland,1665,1596,2008,829,795
100300,Inlets Far North District,Northland,Masked,Masked,Masked,Masked,Masked
100400,Karikari Peninsula,Northland,1163,1136,1389,837,818
100500,Tangonge,Northland,876,838,1085,807,772
100600,Ahipara,Northland,890,865,1046,851,827
100700,Kaitaia East,Northland,1786,1704,2033,879,838
100800,Kaitaia West,Northland,2642,2478,3361,786,737
100900,Rangitihi,Northland,702,673,895,784,752
101000,Oruru-Parapara,Northland,678,644,881,770,731
101100,Taumarumaru,Northland,2010,1967,2256,891,872
101200,Herekino-Takahue,Northland,721,673,961,750,700
101300,Peria,Northland,762,718,1139,669,630
101400,Taemaro-Oruaiti,Northland,746,691,958,779,721
101500,Whakapaku,Northland,525,496,682,770,727
101600,Hokianga North,Northland,663,643,798,831,806
101700,Kohukohu-Broadwood,Northland,590,566,755,781,750
101800,Whakarara,Northland,988,949,1164,849,815
101900,Kaeo,Northland,882,822,1209,730,680
102000,Omahuta Forest-Horeke,Northland,738,704,984,750,715
102100,Hokianga South,Northland,920,862,1305,705,661
102200,Lake Manuwai-Kapiro,Northland,1819,1790,2004,908,893
102300,?kaihau,Northland,908,863,1126,806,766
102400,Rangitane-Purerua,Northland,1142,1106,1281,891,863
102500,Waipapa,Northland,656,635,746,879,851
102600,Puketotara,Northland,1485,1427,1727,860,826
102700,Waim? Forest,Northland,788,743,1119,704,664
102800,Riverview,Northland,1980,1890,2170,912,871
102900,Waipoua Forest,Northland,884,854,1152,767,741
103000,Kerikeri Central,Northland,2242,2187,2489,901,879
103100,Kerikeri South,Northland,2424,2338,2726,889,858
103200,?haeawai-Waimate North,Northland,927,900,1062,873,847
103300,Puketona-Waitangi,Northland,1135,1104,1322,859,835
103400,Ngapuhi,Northland,1051,1005,1260,834,798
103500,Kaikohe,Northland,3119,2871,4224,738,680
103600,Pakaraka,Northland,516,489,629,820,777
103700,Haruru,Northland,871,857,1034,842,829
103800,Russell,Northland,714,704,782,913,900
103900,Paihia,Northland,1365,1338,1532,891,873
104000,Mataraua Forest,Northland,365,341,451,809,756
104100,Matawaia-Taumarere,Northland,1067,998,1424,749,701
104200,Russell Peninsula,Northland,542,538,632,858,851
104300,Opua (Far North District),Northland,1085,1062,1210,897,878
104400,Russell Forest-Rawhiti,Northland,546,529,625,874,846
104500,Moerewa,Northland,1193,1115,1610,741,693
104600,Kawakawa,Northland,1090,1038,1232,885,843
104700,Maromaku,Northland,470,453,624,753,726
104800,Mangakahia-H?kerenui,Northland,1394,1326,1707,817,777
104900,Whangaruru,Northland,1970,1898,2326,847,816
105100,Matarau,Northland,2508,2470,2781,902,888
105200,Hikurangi,Northland,1121,1060,1349,831,786
105300,Kauri,Northland,1395,1364,1603,870,851
105400,Maungatapere,Northland,2696,2663,3050,884,873
105500,Kamo West,Northland,1806,1758,2073,871,848
105600,Matapouri-Tutukaka,Northland,1509,1461,1738,868,841
105700,Kiripaka,Northland,828,790,984,841,803
105800,Kamo East,Northland,2377,2252,2763,860,815
105900,Granfield Reserve,Northland,2814,2696,3146,894,857
106000,Kamo Central,Northland,1357,1311,1495,908,877
106100,Whau Valley,Northland,2364,2272,2786,849,816
106200,Tikipunga North,Northland,2771,2683,3032,914,885
106300,Pukenui,Northland,2021,1935,2231,906,867
106400,Otangarei,Northland,1496,1360,2052,729,663
106500,Tikipunga South,Northland,2972,2905,3215,924,904
106600,Kensington (Whangarei District),Northland,2807,2739,2979,942,919
106700,Abbey Caves-Glenbervie,Northland,1098,1086,1178,932,922
106800,Mairtown,Northland,2079,2033,2331,892,872
106900,Maunu-Horahora,Northland,2719,2689,2940,925,915
107000,Woodhill-Vinetown,Northland,2326,2253,2631,884,856
107100,Whang?rei Central,Northland,917,894,1012,906,883
107200,Riverside,Northland,1705,1681,1923,887,874
107300,Raumanga,Northland,2417,2310,2722,888,849
107400,Tarewa,Northland,1402,1307,1806,776,724
107500,Morningside (Whangarei District),Northland,1780,1719,1972,903,872
107600,Ngunguru,Northland,1008,968,1173,859,825
107700,Otaika-Portland,Northland,1086,1023,1309,830,782
107800,Oakleigh-Mangapai,Northland,1842,1779,2148,858,828
107900,Port-Limeburners,Northland,160,155,174,920,891
108000,Pataua,Northland,1289,1269,1491,865,851
108100,Onerahi Park,Northland,1390,1332,1534,906,868
108200,Sherwood Rise,Northland,1888,1819,2173,869,837
108300,Onerahi,Northland,1889,1803,2299,822,784
108400,Inlet Whang?rei Harbour,Northland,Masked,Masked,Masked,Masked,Masked
108500,Parua Bay,Northland,2100,2079,2259,930,920
108600,Bream Bay,Northland,1781,1701,2066,862,823
108700,Marsden Bay,Northland,2382,2312,2621,909,882
108800,Ruak?k?,Northland,2222,2184,2375,936,920
108900,Bream Head,Northland,1175,1134,1306,900,868
109000,Waipu,Northland,2539,2487,2999,847,829
109100,Kaipara Coastal,Northland,2768,2637,3567,776,739
109200,Maungaru,Northland,1345,1302,1635,823,796
109300,Dargaville,Northland,3756,3621,4609,815,786
109400,Ruawai-Matakohe,Northland,1854,1816,2142,866,848
109500,Otamatea (Kaipara District),Northland,1293,1251,1609,804,778
109600,Maungaturoto,Northland,1004,939,1195,840,786
109700,Kaiwaka,Northland,1684,1611,2131,790,756
109800,Mangawhai Rural,Northland,1874,1834,2312,811,793
109900,Mangawhai Heads,Northland,1954,1904,2195,890,867
110100,Mangawhai,Northland,882,870,967,912,900
110200,Okahukura Peninsula,Waitemata,1173,1124,1443,813,779
110400,Cape Rodney,Waitemata,2936,2808,3504,838,801
110500,Wellsford,Waitemata,1488,1437,1767,842,813
110700,South Head,Waitemata,2026,1991,2256,898,883
110800,Kaipara Hills,Waitemata,1614,1538,1974,818,779
110900,Dome Valley-Matakana,Waitemata,1278,1257,1415,903,888
111100,Warkworth West,Waitemata,2252,2195,2503,900,877
111200,Puhoi Valley,Waitemata,3144,3027,3617,869,837
111300,Warkworth East,Waitemata,3108,2996,3440,903,871
111400,Sandspit,Waitemata,854,837,943,906,888
111500,Tawharanui Peninsula,Waitemata,1869,1845,1939,>950,>950
111600,Te Kuru,Waitemata,2097,1990,2352,892,846
111700,Snells Beach,Waitemata,2953,2908,3232,914,900
111800,Barrier Islands,Auckland,792,775,950,834,816
111900,Algies Bay-Scotts Landing,Waitemata,1002,983,1158,865,849
112100,Wainui-Waiwera,Waitemata,1431,1416,1588,901,892
112200,Parakai,Waitemata,807,790,908,889,870
112300,Helensville Rural,Waitemata,1362,1319,1556,875,848
112400,Helensville,Waitemata,2216,2175,2392,926,909
112500,Waitoki,Waitemata,1388,1333,1588,874,839
112600,Waikoukou Valley,Waitemata,1377,1358,1495,921,908
112700,Orewa North,Waitemata,4279,4215,4556,939,925
112800,Hatfields Beach,Waitemata,1314,1267,1459,901,868
112900,Orewa South,Waitemata,3408,3391,3589,950,945
113000,Orewa Central,Waitemata,2871,2816,3142,914,896
113100,Millwater North,Waitemata,3111,2971,3380,920,879
113200,Waipatukahu,Waitemata,1165,1105,1315,886,840
113300,Millwater South,Waitemata,3231,3127,3325,>950,940
113400,Dairy Flat North,Waitemata,2240,2185,2358,950,927
113500,Dairy Flat West,Waitemata,1208,1196,1303,927,918
113600,Kingsway,Waitemata,1963,1916,2090,939,917
113700,Riverhead Forest,Waitemata,Masked,Masked,Masked,Masked,Masked
113800,Silverdale Central (Auckland),Waitemata,516,489,541,>950,904
113900,Red Beach West,Waitemata,2361,2329,2623,900,888
114000,Red Beach East,Waitemata,3365,3322,3516,>950,945
114100,Silverdale South (Auckland),Waitemata,1602,1568,1744,919,899
114200,Waimauku,Waitemata,1183,1131,1292,916,875
114300,Gulf Islands,Auckland,50,48,59,847,814
114400,Vipond,Waitemata,2489,2419,2728,912,887
114500,Muriwai,Waitemata,944,875,1050,899,833
114600,Stanmore Bay West,Waitemata,2194,2115,2457,893,861
114700,Kumeu Rural West,Waitemata,1468,1421,1604,915,886
114800,Okura Bush,Waitemata,1220,1163,1367,892,851
114900,Whangapar?oa Central,Waitemata,3535,3505,3736,946,938
115000,Kumeu-Huapai,Waitemata,3961,3924,4079,>950,>950
115100,Stanmore Bay East,Waitemata,2267,2179,2553,888,854
115200,Manly West,Waitemata,1951,1925,2109,925,913
115300,Muriwai Valley-Bethells Beach,Waitemata,860,839,959,897,875
115400,Tindalls-Matakatia,Waitemata,1727,1685,1909,905,883
115500,Coatesville,Waitemata,1942,1913,2087,931,917
115600,Dairy Flat South,Waitemata,1424,1396,1572,906,888
115700,Gulf Harbour North,Waitemata,2429,2399,2535,>950,946
115800,Manly East,Waitemata,2912,2873,3196,911,899
115900,Riverhead,Waitemata,2788,2656,2965,940,896
116000,Army Bay,Waitemata,1371,1301,1502,913,866
116100,Kumeu Rural East,Waitemata,2105,2080,2319,908,897
116200,Gulf Harbour South,Waitemata,2405,2393,2565,938,933
116300,Paremoremo West,Waitemata,815,793,908,898,873
116400,Taupaki,Waitemata,1410,1395,1562,903,893
116500,Long Bay,Waitemata,2321,2193,2395,>950,916
116600,Paremoremo East,Waitemata,1720,1680,1833,938,917
116700,Albany Heights,Waitemata,3180,3127,3200,>950,>950
116800,Awaruku,Waitemata,3671,3640,3766,>950,>950
116900,Fairview Heights,Waitemata,3326,3301,3325,>950,>950
117000,Whenuapai,Waitemata,4848,4720,4998,>950,944
117100,Waitakere Ranges North,Waitemata,1037,1014,1168,888,868
117200,Torbay,Waitemata,3819,3703,4108,930,901
117300,Albany Central,Waitemata,1164,1127,1109,>950,>950
117400,Albany West,Waitemata,2474,2440,2572,>950,949
117500,Glamorgan,Waitemata,2828,2737,2914,>950,939
117600,Oteha East,Waitemata,2746,2661,2830,>950,940
117700,Northcross,Waitemata,2834,2771,2930,>950,946
117800,Oteha West,Waitemata,1756,1740,1699,>950,>950
117900,Waiake,Waitemata,3264,3203,3354,>950,>950
118000,Waitakere,Waitemata,1675,1589,1864,899,852
118100,Albany South,Waitemata,3157,3082,3278,>950,940
118200,Browns Bay South West,Waitemata,3674,3607,3798,>950,950
118300,Browns Bay Central,Waitemata,2692,2645,2863,940,924
118400,Schnapper Rock,Waitemata,3340,3306,3303,>950,>950
118500,Pinehill,Waitemata,4067,4030,4000,>950,>950
118600,North Harbour,Waitemata,823,804,914,900,880
118700,Browns Bay South East,Waitemata,2695,2567,2791,>950,920
118800,Westgate Central,Waitemata,Masked,Masked,Masked,Masked,Masked
118900,Greenhithe West,Waitemata,3079,3062,3176,>950,>950
119000,Rothesay Bay,Waitemata,2671,2585,2843,940,909
119100,Greenhithe East,Waitemata,2603,2583,2606,>950,>950
119200,Hobsonville,Waitemata,1398,1350,1434,>950,941
119300,Inlet Waitemata Harbour,Area outside District Health Board,Masked,Masked,Masked,Masked,Masked
119400,Greenhithe South,Waitemata,1942,1856,2040,>950,910
119500,Murrays Bay West,Waitemata,2323,2259,2344,>950,>950
119600,Westgate South,Waitemata,2060,1982,2170,949,913
119700,Windsor Park,Waitemata,1489,1468,1591,936,923
119800,West Harbour West,Waitemata,3371,3209,3587,940,895
119900,Unsworth Heights West,Waitemata,2125,2056,2234,>950,920
120000,Murrays Bay East,Waitemata,1884,1870,1938,>950,>950
120100,Birdwood West,Waitemata,725,697,791,917,881
120200,Hobsonville Point,Waitemata,8523,8128,8524,>950,>950
120300,West Harbour Clearwater Cove,Waitemata,3884,3789,4021,>950,942
