sa2_code,sa2_name,dhb,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
Unknown,Unknown,Unknown,66904,63686,62816,>950,>950
100100,North Cape,Northland,1426,1354,1789,797,757
100200,Rangaunu Harbour,Northland,1669,1576,2129,784,740
100300,Inlets Far North District,Northland,Masked,Masked,Masked,Masked,Masked
100400,Karikari Peninsula,Northland,1141,1116,1338,853,834
100500,Tangonge,Northland,855,830,992,862,837
100600,Ahipara,Northland,951,877,1200,792,731
100700,Kaitaia East,Northland,1777,1683,2054,865,819
100800,Kaitaia West,Northland,2676,2475,3420,782,724
100900,Rangitihi,Northland,690,667,836,825,798
101000,Oruru-Parapara,Northland,660,637,815,810,782
101100,Taumarumaru,Northland,2069,1971,2448,845,805
101200,Herekino-Takahue,Northland,688,664,889,774,747
101300,Peria,Northland,764,729,1064,718,685
101400,Taemaro-Oruaiti,Northland,752,691,964,780,717
101500,Whakapaku,Northland,520,499,663,784,753
101600,Hokianga North,Northland,671,623,898,747,694
101700,Kohukohu-Broadwood,Northland,593,567,751,790,755
101800,Whakarara,Northland,964,918,1140,846,805
101900,Kaeo,Northland,850,809,1105,769,732
102000,Omahuta Forest-Horeke,Northland,737,702,970,760,724
102100,Hokianga South,Northland,880,841,1162,757,724
102200,Lake Manuwai-Kapiro,Northland,1806,1777,1979,913,898
102300,?kaihau,Northland,891,859,1079,826,796
102400,Rangitane-Purerua,Northland,1162,1108,1360,854,815
102500,Waipapa,Northland,674,630,806,836,782
102600,Puketotara,Northland,1462,1410,1667,877,846
102700,Waim? Forest,Northland,767,721,1098,699,657
102800,Riverview,Northland,1876,1828,2008,934,910
102900,Waipoua Forest,Northland,888,846,1227,724,689
103000,Kerikeri Central,Northland,2233,2159,2460,908,878
103100,Kerikeri South,Northland,2397,2285,2681,894,852
103200,?haeawai-Waimate North,Northland,940,897,1136,827,790
103300,Puketona-Waitangi,Northland,1130,1099,1342,842,819
103400,Ngapuhi,Northland,1047,998,1256,834,795
103500,Kaikohe,Northland,2988,2840,3584,834,792
103600,Pakaraka,Northland,480,468,544,882,860
103700,Haruru,Northland,881,852,1067,826,799
103800,Russell,Northland,708,693,782,905,886
103900,Paihia,Northland,1370,1328,1600,856,830
104000,Mataraua Forest,Northland,359,340,444,809,766
104100,Matawaia-Taumarere,Northland,1042,996,1293,806,770
104200,Russell Peninsula,Northland,542,533,646,839,825
104300,Opua (Far North District),Northland,1110,1077,1246,891,864
104400,Russell Forest-Rawhiti,Northland,542,525,624,869,841
104500,Moerewa,Northland,1189,1106,1607,740,688
104600,Kawakawa,Northland,1081,1028,1224,883,840
104700,Maromaku,Northland,492,458,683,720,671
104800,Mangakahia-H?kerenui,Northland,1381,1314,1695,815,775
104900,Whangaruru,Northland,1907,1863,2184,873,853
105100,Matarau,Northland,2659,2496,3150,844,792
105200,Hikurangi,Northland,1108,1048,1312,845,799
105300,Kauri,Northland,1377,1357,1547,890,877
105400,Maungatapere,Northland,2817,2706,3294,855,821
105500,Kamo West,Northland,1789,1732,2041,877,849
105600,Matapouri-Tutukaka,Northland,1499,1458,1700,882,858
105700,Kiripaka,Northland,793,773,910,871,849
105800,Kamo East,Northland,2442,2251,2890,845,779
105900,Granfield Reserve,Northland,2791,2657,3098,901,858
106000,Kamo Central,Northland,1409,1299,1604,878,810
106100,Whau Valley,Northland,2270,2228,2557,888,871
106200,Tikipunga North,Northland,2726,2615,3140,868,833
106300,Pukenui,Northland,1996,1915,2186,913,876
106400,Otangarei,Northland,1449,1350,1758,824,768
106500,Tikipunga South,Northland,2975,2898,3216,925,901
106600,Kensington (Whangarei District),Northland,2794,2732,3066,911,891
106700,Abbey Caves-Glenbervie,Northland,1143,1095,1308,874,837
106800,Mairtown,Northland,2086,2028,2314,901,876
106900,Maunu-Horahora,Northland,2757,2720,2976,926,914
107000,Woodhill-Vinetown,Northland,2309,2256,2523,915,894
107100,Whang?rei Central,Northland,912,881,1002,910,879
107200,Riverside,Northland,1764,1709,2008,878,851
107300,Raumanga,Northland,2410,2296,2742,879,837
107400,Tarewa,Northland,1391,1291,1783,780,724
107500,Morningside (Whangarei District),Northland,1813,1722,2054,883,838
