sa2_code,sa2,dhb,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
0,Unknown,Unknown,10458,9773,masked,>950,>950
100100,North Cape,Northland,776,754,856,907,881
100200,Rangaunu Harbour,Northland,860,813,1019,844,798
100400,Karikari Peninsula,Northland,436,408,525,830,777
100500,Tangonge,Northland,472,456,546,864,835
100600,Ahipara,Northland,489,467,583,839,801
100700,Kaitaia East,Northland,1120,1034,1302,860,794
100800,Kaitaia West,Northland,1635,1495,1862,878,803
100900,Rangitihi,Northland,325,305,389,835,784
101000,Oruru-Parapara,Northland,248,234,313,792,748
101100,Taumarumaru,Northland,508,479,573,887,836
101200,Herekino-Takahue,Northland,343,327,419,819,780
101300,Peria,Northland,271,249,345,786,722
101400,Taemaro-Oruaiti,Northland,230,211,299,769,706
101500,Whakapaku,Northland,214,198,267,801,742
101600,Hokianga North,Northland,541,515,637,849,808
101700,Kohukohu-Broadwood,Northland,292,279,365,800,764
101800,Whakarara,Northland,466,445,530,879,840
101900,Kaeo,Northland,363,331,459,791,721
102000,Omahuta Forest-Horeke,Northland,464,427,635,731,672
102100,Hokianga South,Northland,536,495,708,757,699
102200,Lake Manuwai-Kapiro,Northland,210,193,253,830,763
102300,Okaihau,Northland,260,244,303,858,805
102400,Rangitane-Purerua,Northland,306,283,343,892,825
102500,Waipapa,Northland,107,102,123,870,829
102600,Puketotara,Northland,202,197,230,878,857
102700,Waima Forest,Northland,576,546,759,759,719
102800,Riverview,Northland,208,200,masked,>950,>950
102900,Waipoua Forest,Northland,503,468,621,810,754
103000,Kerikeri Central,Northland,401,380,458,876,830
103100,Kerikeri South,Northland,202,191,231,874,827
103200,Ohaeawai-Waimate North,Northland,352,333,412,854,808
103300,Puketona-Waitangi,Northland,230,226,262,878,863
103400,Ngapuhi,Northland,763,719,940,812,765
103500,Kaikohe,Northland,2217,2045,2753,805,743
103600,Pakaraka,Northland,129,119,144,896,826
103700,Haruru,Northland,195,191,218,894,876
103800,Russell,Northland,127,125,135,941,926
103900,Paihia,Northland,404,380,484,835,785
104000,Mataraua Forest,Northland,259,236,329,787,717
104100,Matawaia-Taumarere,Northland,642,608,802,800,758
104200,Russell Peninsula,Northland,56,56,74,757,757
104300,Opua (Far North District),Northland,139,132,178,781,742
104400,Russell Forest-Rawhiti,Northland,332,315,389,853,810
104500,Moerewa,Northland,992,935,1180,841,792
104600,Kawakawa,Northland,700,655,809,865,810
104700,Maromaku,Northland,191,187,244,783,766
104800,Mangakahia-Hukerenui,Northland,532,502,597,891,841
104900,Whangaruru,Northland,570,543,657,868,826
