sa2_code,sa2_name,dhb,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
Unknown,NA,NA,9825,9125,12501,786,730
100100,North Cape,Northland,778,761,909,856,837
100200,Rangaunu Harbour,Northland,877,844,1043,841,809
100300,Inlets Far North District,Northland,Masked,Masked,Masked,Masked,Masked
100400,Karikari Peninsula,Northland,456,442,548,832,807
100500,Tangonge,Northland,499,487,591,844,824
100600,Ahipara,Northland,489,475,602,812,789
100700,Kaitaia East,Northland,1221,1092,1625,751,672
100800,Kaitaia West,Northland,1585,1494,1920,826,778
100900,Rangitihi,Northland,347,329,464,748,709
101000,Oruru-Parapara,Northland,246,233,321,766,726
101100,Taumarumaru,Northland,495,470,592,836,794
101200,Herekino-Takahue,Northland,377,335,533,707,629
101300,Peria,Northland,256,246,353,725,697
101400,Taemaro-Oruaiti,Northland,244,230,329,742,699
101500,Whakapaku,Northland,223,198,326,684,607
101600,Hokianga North,Northland,568,551,691,822,797
101700,Kohukohu-Broadwood,Northland,292,287,380,768,755
101800,Whakarara,Northland,474,457,565,839,809
101900,Kaeo,Northland,375,355,478,785,743
102000,Omahuta Forest-Horeke,Northland,460,433,662,695,654
102100,Hokianga South,Northland,567,524,836,678,627
102200,Lake Manuwai-Kapiro,Northland,229,204,327,700,624
102300,?kaihau,Northland,265,252,323,820,780
102400,Rangitane-Purerua,Northland,327,300,435,752,690
102500,Waipapa,Northland,117,108,162,722,667
102600,Puketotara,Northland,224,197,293,765,672
102700,Waim? Forest,Northland,609,580,812,750,714
102800,Riverview,Northland,218,212,244,893,869
102900,Waipoua Forest,Northland,528,497,750,704,663
103000,Kerikeri Central,Northland,436,400,580,752,690
103100,Kerikeri South,Northland,202,193,253,798,763
103200,?haeawai-Waimate North,Northland,363,340,498,729,683
103300,Puketona-Waitangi,Northland,247,244,293,843,833
103400,Ngapuhi,Northland,764,727,978,781,743
103500,Kaikohe,Northland,2348,2130,3439,683,619
103600,Pakaraka,Northland,130,125,151,861,828
103700,Haruru,Northland,191,188,223,857,843
103800,Russell,Northland,126,125,141,894,887
103900,Paihia,Northland,420,403,514,817,784
104000,Mataraua Forest,Northland,267,244,404,661,604
104100,Matawaia-Taumarere,Northland,688,630,1008,683,625
104200,Russell Peninsula,Northland,62,60,91,681,659
104300,Opua (Far North District),Northland,131,126,197,665,640
104400,Russell Forest-Rawhiti,Northland,356,332,479,743,693
104500,Moerewa,Northland,977,937,1203,812,779
104600,Kawakawa,Northland,714,675,840,850,804
104700,Maromaku,Northland,217,189,338,642,559
104800,Mangakahia-H?kerenui,Northland,561,517,761,737,679
104900,Whangaruru,Northland,576,558,702,821,795
105100,Matarau,Northland,352,328,483,729,679
105200,Hikurangi,Northland,457,412,630,725,654
105300,Kauri,Northland,210,207,249,843,831
105400,Maungatapere,Northland,427,393,551,775,713
105500,Kamo West,Northland,406,375,512,793,732
105600,Matapouri-Tutukaka,Northland,199,192,236,843,814
105700,Kiripaka,Northland,180,164,231,779,710
105800,Kamo East,Northland,847,813,999,848,814
105900,Granfield Reserve,Northland,459,421,578,794,728
